Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Durg,01/02/2020,11,Other,8000,9000,8500,
Durg,02/02/2020,14,Other,8000,10000,9000,
Durg,04/02/2020,16,Other,6000,10000,8000,
Durg,05/02/2020,14,Other,8000,10000,9000,
Durg,06/02/2020,11,Other,6000,8000,7000,
Durg,07/02/2020,8,Other,7000,8000,7500,
Durg,08/02/2020,0.7,Other,6000,10000,8000,
Durg,09/02/2020,9,Other,8000,10000,9000,
Durg,11/02/2020,12,Other,6000,10000,8000,
Durg,12/02/2020,12,Other,6000,10000,8000,
Durg,13/02/2020,14,Other,8000,10000,9000,
Durg,14/02/2020,16,Other,8000,10000,9000,
Durg,15/02/2020,18,Other,6000,10000,8000,
Durg,16/02/2020,14,Other,8000,12000,10000,
Durg,18/02/2020,16,Other,8000,10000,9000,
Durg,19/02/2020,18,Other,9000,9500,9250,
Durg,20/02/2020,16,Other,8000,9000,8500,
Durg,22/02/2020,18,Other,9000,10000,9500,
Durg,23/02/2020,20,Other,8000,10000,9000,
Durg,25/02/2020,16,Other,6000,10000,8000,
Durg,26/02/2020,14,Other,8000,10000,9000,
Durg,27/02/2020,10,Other,8000,9000,8500,
Durg,28/02/2020,8,Other,7000,10000,8500,
Durg,29/02/2020,11,Other,8000,9000,8500,
Rajnandgaon,01/02/2020,1.5, ,NR,NR,NR,
Rajnandgaon,02/02/2020,1.5,Apple,5600,5600,5600,
Rajnandgaon,04/02/2020,2.5,Apple,5600,5600,5600,
Rajnandgaon,05/02/2020,2.5,Apple,5600,5600,5600,
Rajnandgaon,06/02/2020,2.5,Apple,5600,5600,5600,
Rajnandgaon,07/02/2020,1.5,Apple,5600,5600,5600,
Rajnandgaon,08/02/2020,1.5,Apple,5600,5600,5600,
Rajnandgaon,09/02/2020,1.5,Apple,5600,5600,5600,
Rajnandgaon,11/02/2020,2.5,Apple,5600,5600,5600,
Rajnandgaon,12/02/2020,1.5,Apple,5600,5600,5600,
Rajnandgaon,13/02/2020,1.5,Apple,5600,5600,5600,
Rajnandgaon,14/02/2020,2,Apple,7500,7500,7500,
Rajnandgaon,15/02/2020,2,Apple,7500,7500,7500,
Rajnandgaon,16/02/2020,2,Apple,7500,7500,7500,
Rajnandgaon,18/02/2020,1,Apple,7500,7500,7500,
Rajnandgaon,19/02/2020,2,Apple,7500,7500,7500,
Rajnandgaon,20/02/2020,2.5,Apple,7500,7500,7500,
Rajnandgaon,21/02/2020,2,Apple,7500,7500,7500,
Rajnandgaon,22/02/2020,2,Apple,7500,7500,7500,
Rajnandgaon,23/02/2020,2, ,NR,NR,NR,
Rajnandgaon,25/02/2020,2, ,NR,NR,NR,
Rajnandgaon,26/02/2020,0.9,Apple,8300,8300,8300,
Rajnandgaon,27/02/2020,1.8,Apple,8300,8300,8300,
Rajnandgaon,28/02/2020,3.6,Apple,8300,8300,8300,
Rajnandgaon,29/02/2020,2,Apple,8300,8300,8300,
