Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Ambala Cantt.,01/11/2019,5,Apple,4400,8500,5500,
Ambala Cantt.,03/11/2019,8.5,Apple,5500,9500,6500,
Ambala Cantt.,12/11/2019,35,Apple,4000,8000,7500,
Ambala Cantt.,13/11/2019,4,Apple,4000,8000,7500,
Ambala Cantt.,14/11/2019,5,Apple,4500,8000,7500,
Ambala Cantt.,15/11/2019,4,Apple,4000,8000,5500,
Ambala Cantt.,16/11/2019,4.5,Apple,4500,8500,5500,
Ambala Cantt.,17/11/2019,3.5,Apple,4000,8000,6500,
Ambala Cantt.,19/11/2019,5,Apple,4000,8000,5500,
Ambala Cantt.,20/11/2019,3.5,Apple,4000,8000,5500,
Ambala Cantt.,21/11/2019,9,Apple,4000,7000,6500,
Ambala Cantt.,22/11/2019,6.5,Apple,4000,7500,6500,
Ambala Cantt.,23/11/2019,6.5,Apple,4000,7000,6500,
Ambala Cantt.,24/11/2019,8,Apple,4000,7000,6500,
Ambala Cantt.,26/11/2019,6.6,Apple,4500,7500,6500,
Ambala Cantt.,27/11/2019,7,Apple,4000,8000,5500,
Ambala Cantt.,28/11/2019,6.5,Apple,4000,8000,5500,
Ambala Cantt.,30/11/2019,8.5,Apple,4000,8000,6500,
Asandh,01/11/2019,2,Other,3800,4800,4650,
Asandh,02/11/2019,2.2,Other,3800,4800,4650,
Asandh,03/11/2019,2,Other,3800,4800,4600,
Asandh,04/11/2019,2,Other,3800,4800,4700,
Asandh,05/11/2019,2.1,Other,3850,4950,4650,
Asandh,06/11/2019,2,Other,3800,4800,4650,
Asandh,07/11/2019,1.8,Other,3800,4800,4650,
Asandh,08/11/2019,1.8,Other,3800,5000,4800,
Asandh,09/11/2019,1.9,Other,3800,4600,4500,
Asandh,10/11/2019,1.8,Other,4000,4800,4650,
Asandh,11/11/2019,1.7,Other,4000,4800,4650,
Asandh,12/11/2019,2,Other,3000,4600,4500,
Asandh,13/11/2019,2,Other,3800,4800,4650,
Asandh,14/11/2019,1.8,Other,4200,4800,4650,
Asandh,15/11/2019,2,Other,3800,4700,4650,
Asandh,16/11/2019,1.8,Other,3900,4700,4650,
Asandh,17/11/2019,1.8,Other,3900,4800,4650,
Asandh,18/11/2019,1.7,Other,3900,4800,4750,
Asandh,19/11/2019,1.8, ,NR,NR,NR,
Asandh,20/11/2019,1.8,Other,3800,4200,4000,
Asandh,21/11/2019,1.9,Other,3800,4200,4150,
Asandh,22/11/2019,2,Other,3800,4800,4650,
Asandh,23/11/2019,1.8,Other,3800,4800,4500,
Asandh,24/11/2019,1.9,Other,3800,4800,4650,
Asandh,25/11/2019,2,Other,3800,4800,4750,
Asandh,26/11/2019,1.8,Other,3650,4200,3950,
Asandh,27/11/2019,1.9,Other,3800,4200,4000,
Asandh,28/11/2019,2,Other,3800,4200,4000,
Asandh,29/11/2019,1.8,Other,3900,4200,4000,
Asandh,30/11/2019,1.9,Other,3800,4200,4150,
Bahadurgarh,06/11/2019,2.8,Other,3000,3800,3400,
Bahadurgarh,06/11/2019,2.8,Other,5500,6000,5800,
Bahadurgarh,13/11/2019,3,Other,4800,5200,4900,
Bahadurgarh,13/11/2019,3,Other,5500,6000,5800,
Bahadurgarh,14/11/2019,3.5,Other,5600,6000,5800,
Ballabhgarh,03/11/2019,1,Other,4000,6000,5000,
