Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Bilaspur,03/04/2018,0.1,Other,8000,16500,15000,
Bilaspur,06/04/2018,0.2,Other,8000,12000,11000,
Bilaspur,10/04/2018,0.2,Other,8000,15000,9500,
Bilaspur,13/04/2018,0.1,Other,8000,15000,8600,
Bilaspur,16/04/2018,0.1,Other,8000,15000,9500,
Dhanotu (Mandi),02/04/2018,0.2,Other,6000,13000,9500,
Dhanotu (Mandi),03/04/2018,0.1,Other,8000,12000,10000,
Dhanotu (Mandi),04/04/2018,0.2,Other,9000,10000,9550,
Dhanotu (Mandi),05/04/2018,0.1,Other,8000,8000,8000,
Dhanotu (Mandi),06/04/2018,0.2,Other,8000,13000,10500,
Dhanotu (Mandi),07/04/2018,0.2,Other,8000,13000,10500,
Dhanotu (Mandi),09/04/2018,0.2,Other,7000,10000,8500,
Dhanotu (Mandi),16/04/2018,0.1,Other,9000,15000,12000,
Dhanotu (Mandi),19/04/2018,0.1,Other,9000,14000,11500,
Dhanotu (Mandi),21/04/2018,0.1,Other,10000,10000,10000,
Dhanotu (Mandi),23/04/2018,0.2, ,NR,NR,NR,
Dhanotu (Mandi),24/04/2018,0.1,Other,6000,10000,8000,
Dhanotu (Mandi),25/04/2018,0.1,Other,9000,12000,10500,
Dhanotu (Mandi),26/04/2018,0.1,Other,10000,10000,10000,
Dhanotu (Mandi),27/04/2018,0.1,Other,8000,10000,9000,
Dhanotu (Mandi),28/04/2018,0.1,Other,10000,12000,11000,
Hamirpur,02/04/2018,0.35,American,15500,16500,16000,
Hamirpur,02/04/2018,0.35,Delicious,8500,9000,8750,
Hamirpur,03/04/2018,0.38,American,16000,17000,16500,
Hamirpur,03/04/2018,0.38,Delicious,8500,9000,8750,
Hamirpur,04/04/2018,0.43,American,16000,17000,16500,
Hamirpur,04/04/2018,0.43,Delicious,8500,9000,8750,
Hamirpur,05/04/2018,0.36,American,16000,16500,16250,
Hamirpur,05/04/2018,0.36,Royal Delicious,8000,9000,8500,
Hamirpur,06/04/2018,0.35,American,16000,16500,16250,
Hamirpur,06/04/2018,0.35,Royal Delicious,8000,9000,8500,
Hamirpur,07/04/2018,0.48,American,16000,16500,16250,
Hamirpur,07/04/2018,0.48,Royal Delicious,8000,9000,8500,
Hamirpur,09/04/2018,0.35,American,15000,16000,15500,
