Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Bandrol,02/09/2018,180,Delicious,1700,5000,3350,
Bandrol,02/09/2018,180,Golden,1300,2800,2050,
Bandrol,03/09/2018,130,Delicious,1500,5000,3250,
Bandrol,03/09/2018,130,Golden,1300,2700,2000,
Bandrol,04/09/2018,150,Delicious,1700,5000,3350,
Bandrol,04/09/2018,150,Golden,1100,2800,1950,
Bandrol,05/09/2018,115,Delicious,1500,5000,3250,
Bandrol,05/09/2018,115,Golden,1200,2500,1850,
Bandrol,06/09/2018,100,Delicious,1600,5200,3400,
Bandrol,06/09/2018,100,Golden,1300,2700,2000,
Bandrol,07/09/2018,170,Delicious,1600,5300,3450,
Bandrol,07/09/2018,170,Golden,1200,2800,2000,
Bandrol,09/09/2018,155,Delicious,1700,5000,3350,
Bandrol,09/09/2018,155,Golden,1000,2800,1900,
Bandrol,10/09/2018,117,Delicious,1600,4800,3200,
Bandrol,10/09/2018,117,Golden,1300,2800,2050,
Bandrol,11/09/2018,85,Delicious,1800,5200,3500,
Bandrol,11/09/2018,85,Golden,1200,3000,2100,
Bandrol,12/09/2018,76,Delicious,1500,4800,3150,
Bandrol,12/09/2018,76,Golden,1300,2800,2050,
Bandrol,13/09/2018,85,Delicious,1500,5200,3350,
Bandrol,13/09/2018,85,Golden,1200,2800,2000,
Bandrol,14/09/2018,96,Delicious,1800,5000,3400,
Bandrol,14/09/2018,96,Golden,1300,2700,2000,
Bandrol,16/09/2018,168,Delicious,1800,4900,3350,
Bandrol,16/09/2018,168,Golden,1200,2600,1900,
Bandrol,17/09/2018,86,Delicious,1600,5100,3350,
Bandrol,17/09/2018,86,Golden,1100,2800,1950,
Bandrol,18/09/2018,77,Delicious,1800,5400,3600,
Bandrol,18/09/2018,77,Golden,1300,2600,1950,
Bandrol,19/09/2018,44,Delicious,1600,5500,3550,
Bandrol,19/09/2018,44,Golden,1300,2800,2050,
Bandrol,20/09/2018,36,Delicious,1500,5000,3250,
Bandrol,20/09/2018,36,Golden,1200,3000,2100,
Bandrol,21/09/2018,33,Delicious,1600,4800,3200,
Bandrol,21/09/2018,33,Golden,1300,2700,2000,
Bandrol,23/09/2018,24,Delicious,1800,5000,3300,
Bandrol,23/09/2018,24,Golden,1300,2800,2100,
Bandrol,25/09/2018,4.5,Delicious,1800,4600,3200,
Bandrol,25/09/2018,4.5,Golden,1000,2500,1750,
Bandrol,26/09/2018,19.5,Delicious,1500,4600,3050,
Bandrol,26/09/2018,19.5,Golden,1200,2000,1600,
Bandrol,27/09/2018,24,Delicious,1500,5000,3250,
Bandrol,27/09/2018,24,Golden,1200,3000,2100,
Bandrol,28/09/2018,105,Delicious,1400,4800,3100,
Bandrol,28/09/2018,105,Golden,1000,2800,1900,
Bandrol,30/09/2018,107,Delicious,1600,5500,3550,
Bandrol,30/09/2018,107,Golden,1200,3200,2200,
Bhuntar,02/09/2018,80,Apple,2600,4500,3500,
Bhuntar,03/09/2018,41, ,NR,NR,NR,
Bhuntar,04/09/2018,60,Apple,2000,4500,3500,
Bhuntar,06/09/2018,24,Apple,1000,4500,2250,
Bhuntar,07/09/2018,20.5,Apple,1000,4500,2300,
Bhuntar,09/09/2018,21,Apple,1000,4500,2500,
Bhuntar,10/09/2018,13,Apple,1500,5000,3200,
Bhuntar,11/09/2018,10.5,Apple,1500,4500,3500,
Bhuntar,12/09/2018,11,Apple,2000,4800,3200,
Bhuntar,13/09/2018,10,Apple,2000,4600,3200,
Bhuntar,14/09/2018,8,Apple,2000,5000,3500,
Bhuntar,16/09/2018,9,Apple,2000,4800,3500,
Bhuntar,17/09/2018,14,Apple,2000,4500,3200,
Bhuntar,18/09/2018,7.5, ,NR,NR,NR,
Bhuntar,19/09/2018,6.8,Apple,3000,4500,3700,
Bhuntar,20/09/2018,6,Apple,2000,4600,3200,
Bhuntar,21/09/2018,13,Apple,1500,4800,3000,
Bhuntar,26/09/2018,8,Apple,2000,4200,3200,
Bhuntar,27/09/2018,4.5,Apple,2600,4500,3500,
Bhuntar,28/09/2018,3,Apple,1000,4000,2500,
Bilaspur,01/09/2018,0.1,Other,2500,3900,3200,
Bilaspur,01/09/2018,0.1,Other,5000,6500,5500,
Bilaspur,04/09/2018,0.1,Other,2300,4100,3200,
Bilaspur,04/09/2018,0.1,Other,4800,6500,5500,
Bilaspur,05/09/2018,0.1,Other,2300,3500,3200,
Bilaspur,05/09/2018,0.1,Other,3900,5200,4500,
Bilaspur,06/09/2018,0.1,Other,2500,4000,3500,
Bilaspur,06/09/2018,0.1,Other,4500,6500,5200,
Bilaspur,10/09/2018,0.1,Other,2500,5500,3500,
Bilaspur,15/09/2018,0.1,Other,3500,5000,4500,
Bilaspur,17/09/2018,0.1,Other,2500,4500,3500,
Bilaspur,17/09/2018,0.1,Other,5200,8000,6000,
Bilaspur,18/09/2018,0.2,Other,3500,5500,4200,
Bilaspur,18/09/2018,0.2,Other,5500,7500,6500,
Bilaspur,19/09/2018,0.1,Other,2500,4200,3200,
Bilaspur,19/09/2018,0.1,Other,4500,6500,5200,
Bilaspur,21/09/2018,0.1,Other,2300,4500,3500,
Bilaspur,21/09/2018,0.1,Other,4500,6500,5500,
Bilaspur,24/09/2018,0.1,Other,4500,5500,5200,
Bilaspur,26/09/2018,0.1,Other,2500,4500,3500,
Bilaspur,26/09/2018,0.1,Other,4500,7500,5500,
Bilaspur,27/09/2018,0.1,Other,4500,6500,5500,
Bilaspur,28/09/2018,0.1,Other,5200,7200,6500,
Bilaspur,28/09/2018,0.1,Other,5600,7500,6500,
Bilaspur,29/09/2018,0.1,Other,4500,6000,5200,
Bilaspur,29/09/2018,0.1,Other,4500,6600,5600,
Bilaspur,29/09/2018,0.1,Other,5500,7200,6000,
Chail Chowk,04/09/2018,0.6,Other,1500,2000,1750,
Chail Chowk,05/09/2018,0.3,Other,1400,1600,1500,
Chail Chowk,06/09/2018,0.2,Other,1500,1500,1500,
Chail Chowk,10/09/2018,0.5,Other,1000,1500,1250,
Chamba,18/09/2018,0.1,Royal Delicious,8000,8200,8100,
Chamba,26/09/2018,0.1,Royal Delicious,7000,7200,7100,
Chamba,28/09/2018,0.2,Royal Delicious,4900,5100,5000,
Dhanotu (Mandi),01/09/2018,2.1,Other,4000,5000,4500,
Dhanotu (Mandi),04/09/2018,1,Other,1000,6000,3500,
Dhanotu (Mandi),05/09/2018,1,Other,1000,4500,2750,
Dhanotu (Mandi),06/09/2018,1.4,Other,1500,5000,3250,
Dhanotu (Mandi),07/09/2018,0.8,Other,1500,6000,3750,
Dhanotu (Mandi),08/09/2018,0.7,Other,1000,5000,3000,
Dhanotu (Mandi),10/09/2018,1.3,Other,1000,6000,3500,
