Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Narwal Jammu (F&V),05/03/2018,45,Delicious,5000,7000,6000,
Narwal Jammu (F&V),07/03/2018,27,Delicious,6000,7000,6500,
Narwal Jammu (F&V),08/03/2018,27,Delicious,5000,6000,5500,
Narwal Jammu (F&V),10/03/2018,65,Delicious,2300,2400,2350,
Narwal Jammu (F&V),14/03/2018,45,Delicious,5000,7000,6000,
Narwal Jammu (F&V),28/03/2018,10,Delicious,6000,7000,6500,
Parimpore,01/03/2018,54,American,2200,2600,2400,
Parimpore,01/03/2018,54,American,3100,3400,3250,
Parimpore,01/03/2018,54,Delicious,2200,2500,2350,
Parimpore,01/03/2018,54,Delicious,3800,4100,4050,
Parimpore,01/03/2018,54,Maharaji,1600,2000,1800,
Parimpore,01/03/2018,54,Maharaji,2500,2800,2650,
Parimpore,02/03/2018,54,American,2500,2800,2650,
Parimpore,02/03/2018,54,American,3400,3800,3600,
Parimpore,02/03/2018,54,Delicious,2800,3100,2950,
Parimpore,02/03/2018,54,Delicious,3750,4250,4000,
Parimpore,02/03/2018,54,Maharaji,1600,1900,1750,
Parimpore,02/03/2018,54,Maharaji,2500,2800,2650,
Udhampur,02/03/2018,0.9,Delicious,4000,5000,4500,
Udhampur,03/03/2018,0.9,Golden,4000,5000,4500,
Udhampur,07/03/2018,1.5,Delicious,2800,3200,3000,
Udhampur,09/03/2018,0.6,Delicious,2700,3300,3000,
Udhampur,15/03/2018,0.9,Delicious,3000,4500,3700,
Udhampur,16/03/2018,0.6,Delicious,3000,4500,3700,
Udhampur,17/03/2018,0.6,Delicious,3000,4500,3800,
Udhampur,18/03/2018,0.9,Delicious,3000,4400,3700,
Udhampur,20/03/2018,0.6,Delicious,3400,4700,4000,
Udhampur,21/03/2018,1.5,Delicious,3400,4700,4000,
Udhampur,22/03/2018,0.9,Delicious,3400,4700,4000,
Udhampur,23/03/2018,1.5,Delicious,4000,6700,5700,
Udhampur,24/03/2018,1.2,Delicious,4000,6700,5700,
Udhampur,25/03/2018,1.2,Delicious,4000,6700,5400,
Udhampur,27/03/2018,3,Delicious,4000,6700,5400,
Udhampur,28/03/2018,1.8,Delicious,4000,6700,5400,
Udhampur,29/03/2018,0.9,Delicious,4000,6700,5400,
Udhampur,30/03/2018,1.8,Delicious,4000,6700,5400,
Udhampur,31/03/2018,1.8,Delicious,4000,6700,5400,
