Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Amrawati(Frui & Veg. Market),02/05/2019,9,Simla,10000,15000,12500,
Amrawati(Frui & Veg. Market),04/05/2019,9,Simla,10000,15000,12500,
Amrawati(Frui & Veg. Market),05/05/2019,15,Simla,10000,15000,12500,
Amrawati(Frui & Veg. Market),06/05/2019,12,Simla,10000,15000,12500,
Amrawati(Frui & Veg. Market),07/05/2019,12,Simla,10000,15000,12500,
Amrawati(Frui & Veg. Market),08/05/2019,13,Simla,10000,15000,12500,
Amrawati(Frui & Veg. Market),09/05/2019,13,Simla,12000,15000,13500,
Amrawati(Frui & Veg. Market),11/05/2019,12,Simla,10000,15000,12500,
Amrawati(Frui & Veg. Market),15/05/2019,11,Simla,10000,15000,12500,
Amrawati(Frui & Veg. Market),19/05/2019,11,Simla,10000,15000,12500,
Amrawati(Frui & Veg. Market),21/05/2019,11,Simla,10000,15000,12500,
Amrawati(Frui & Veg. Market),23/05/2019,11,Simla,10000,15000,12500,
Amrawati(Frui & Veg. Market),25/05/2019,8,Simla,10000,15000,12500,
Amrawati(Frui & Veg. Market),29/05/2019,13,Simla,10000,15000,12500,
Chandrapur(Ganjwad),01/05/2019,1,Other,10000,16500,13000,
Chandrapur(Ganjwad),02/05/2019,1,Other,11000,16500,13500,
Chandrapur(Ganjwad),04/05/2019,1,Other,10000,16000,13000,
Chandrapur(Ganjwad),05/05/2019,1,Other,12500,16500,14500,
Chandrapur(Ganjwad),06/05/2019,1,Other,10000,16500,14000,
Chandrapur(Ganjwad),08/05/2019,1,Other,13000,16500,14500,
Chandrapur(Ganjwad),09/05/2019,1,Other,11000,16500,14000,
Chandrapur(Ganjwad),10/05/2019,1,Other,12000,16500,14000,
Chandrapur(Ganjwad),11/05/2019,1,Other,13000,16500,14000,
Chandrapur(Ganjwad),12/05/2019,1,Other,10500,16500,14500,
Chandrapur(Ganjwad),13/05/2019,1,Other,10000,16000,14000,
Chandrapur(Ganjwad),14/05/2019,1,Other,11000,16000,14000,
Chandrapur(Ganjwad),18/05/2019,2,Other,11000,16500,14000,
Chandrapur(Ganjwad),19/05/2019,23,Other,12000,16500,14000,
Chandrapur(Ganjwad),20/05/2019,1,Other,13000,16000,15000,
Chandrapur(Ganjwad),21/05/2019,1,Other,14000,16500,15000,
Chandrapur(Ganjwad),22/05/2019,1,Other,14000,16500,15000,
Chandrapur(Ganjwad),23/05/2019,1,Other,14000,16000,15000,
Chandrapur(Ganjwad),24/05/2019,1,Other,14500,16500,15500,
Chandrapur(Ganjwad),25/05/2019,1,Other,13000,16500,15000,
Chandrapur(Ganjwad),26/05/2019,1,Other,14500,16500,15500,
Chandrapur(Ganjwad),27/05/2019,1,Other,13000,16500,15000,
Chandrapur(Ganjwad),28/05/2019,1,Other,10000,16500,14000,
Chandrapur(Ganjwad),29/05/2019,1,Other,14500,16500,15000,
Chandrapur(Ganjwad),30/05/2019,1,Other,14500,16500,15500,
Chandrapur(Ganjwad),31/05/2019,1,Other,14500,16000,15500,
Fruit Market,01/05/2019,14,Other,5000,7000,6000,
Fruit Market,04/05/2019,10,Other,5000,7000,6000,
Fruit Market,10/05/2019,21,Other,5500,7500,6500,
Fruit Market,14/05/2019,12,Other,5500,7500,6500,
Fruit Market,21/05/2019,7,Other,6000,8000,7000,
Fruit Market,23/05/2019,11,Other,6000,8000,7000,
Fruit Market,24/05/2019,2,Other,6000,8000,7000,
Fruit Market,25/05/2019,7,Other,6000,8000,7000,
Fruit Market,28/05/2019,10,Other,6000,8000,7000,
Fruit Market,30/05/2019,7,Other,6000,8000,7000,
Fruit Market,31/05/2019,15,Other,6000,8000,7000,
Karad,01/05/2019,1,Simla,7500,11000,11000,
Karad,02/05/2019,1,Simla,9000,10500,10500,
Karad,04/05/2019,1,Simla,7000,10500,10500,
Karad,05/05/2019,1,Simla,6400,10400,10400,
Karad,06/05/2019,1,Simla,7000,11000,11000,
Karad,07/05/2019,1,Simla,10000,17400,17400,
Kolhapur,01/05/2019,3,Other,9000,14250,11500,
Kolhapur,02/05/2019,2,Other,9000,14000,11500,
Kolhapur,04/05/2019,3,Other,9000,14000,11500,
Kolhapur,06/05/2019,2,Other,9000,13500,11000,
Kolhapur,08/05/2019,3,Other,9000,14000,11500,
Kolhapur,11/05/2019,3,Other,9000,15000,12000,
Kolhapur,12/05/2019,1,Other,9000,13500,11250,
Kolhapur,13/05/2019,2,Other,10000,15000,12500,
Kolhapur,15/05/2019,1,Other,11000,14000,12500,
Kolhapur,22/05/2019,2,Other,8000,13500,12000,
Kolhapur,25/05/2019,1,Other,10000,14000,11500,
Kolhapur,29/05/2019,1,Other,8000,13500,11000,
Nagpur,02/05/2019,7,Simla,6000,8000,7500,
Nagpur,04/05/2019,3,Simla,6000,8000,7500,
Nagpur,06/05/2019,7,Other,11000,13000,12500,
Nagpur,15/05/2019,6,Simla,6000,9000,8250,
Nagpur,30/05/2019,1,Simla,6000,8000,7500,
Nagpur,31/05/2019,2,Simla,6000,8000,7500,
Nasik,01/05/2019,2,Simla,8500,12000,9000,
Nasik,02/05/2019,5,Simla,8500,12000,9000,
Nasik,04/05/2019,3,Simla,8500,12000,9000,
Nasik,08/05/2019,4,Simla,8500,12000,9000,
Nasik,09/05/2019,8,Simla,8500,12000,9000,
Nasik,10/05/2019,6,Simla,8500,12000,9000,
Nasik,11/05/2019,8,Simla,8500,12000,9000,
Nasik,13/05/2019,5,Simla,8500,12000,9000,
Nasik,21/05/2019,7,Simla,7500,12000,9000,
Nasik,22/05/2019,16,Simla,7500,12000,9000,
Nasik,23/05/2019,5,Simla,7500,12000,9000,
Nasik,25/05/2019,5,Simla,7500,12500,9000,
Nasik,28/05/2019,15,Simla,7500,12500,9000,
Nasik,30/05/2019,7,Simla,8000,13000,9000,
Pune,02/05/2019,40,Other,3500,13000,6000,
Pune,03/05/2019,25,Other,3500,14000,6000,
Pune,05/05/2019,20,Other,5000,14000,6000,
Pune,06/05/2019,53,Other,4000,13500,6000,
Pune,07/05/2019,41,Other,4000,13500,6000,
Pune,08/05/2019,30,Other,4000,14000,6000,
Pune,09/05/2019,25,Other,4000,14500,6500,
Pune,10/05/2019,20,Other,4000,14000,7000,
Pune,12/05/2019,18,Other,4000,14000,6700,
Pune,13/05/2019,15,Other,4000,14000,6600,
Pune,14/05/2019,28,Other,4000,14500,6600,
Pune,15/05/2019,34,Other,4000,14500,7000,
Pune,21/05/2019,19,Other,3800,14500,7000,
Pune,22/05/2019,21,Other,3800,14000,7000,
Pune,23/05/2019,30,Other,3800,15000,7000,
Pune,24/05/2019,40,Other,4000,14500,7000,
Pune,26/05/2019,26,Other,3500,15000,6000,
Pune,27/05/2019,14,Other,3500,14000,7000,
Pune,28/05/2019,32,Other,3500,14500,7000,
Pune,29/05/2019,8,Other,3500,14500,7000,
Pune,30/05/2019,14,Other,3500,14000,8000,
Pune,31/05/2019,17,Other,4500,15000,7000,
Pune,08/05/2019,38,Other,3125,9375,7812,
Pune,09/05/2019,2,Other,3125,9375,7500,
Pune,13/05/2019,8,Other,3125,7500,6250,
Pune,21/05/2019,6,Other,12500,20000,15625,
Pune,24/05/2019,4,Other,12500,20625,15625,
Pune,25/05/2019,6,Other,12500,20000,15625,
