Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Amritsar(Amritsar Mewa Mandi),04/06/2018,5,American,2000,5000,3500,
Amritsar(Amritsar Mewa Mandi),07/06/2018,20,Apple,2000,5000,3500,
Amritsar(Amritsar Mewa Mandi),08/06/2018,12,American,2000,5500,3500,
Amritsar(Amritsar Mewa Mandi),11/06/2018,5,American,2000,5000,3500,
Amritsar(Amritsar Mewa Mandi),12/06/2018,5,Apple,2000,5000,3500,
Amritsar(Amritsar Mewa Mandi),13/06/2018,12,American,2000,5500,3500,
Amritsar(Amritsar Mewa Mandi),14/06/2018,12,American,2000,5500,3500,
Amritsar(Amritsar Mewa Mandi),16/06/2018,20,American,2000,5000,3500,
Amritsar(Amritsar Mewa Mandi),18/06/2018,20,American,2000,5000,3500,
Amritsar(Amritsar Mewa Mandi),19/06/2018,12,American,2000,5500,3500,
Amritsar(Amritsar Mewa Mandi),20/06/2018,5,American,2000,5000,3500,
Amritsar(Amritsar Mewa Mandi),25/06/2018,20,American,2000,5000,3500,
Amritsar(Amritsar Mewa Mandi),27/06/2018,5,American,2000,5000,3500,
Balachaur,07/06/2018,0.25,Other,8000,8000,8000,
Balachaur,08/06/2018,0.8,Other,8000,8000,8000,
Balachaur,09/06/2018,0.2,Other,8000,8500,8200,
Banga,08/06/2018,0.1,Other,10350,10350,10350,
Banga,09/06/2018,0.1,Other,5950,5950,5950,
Banga,20/06/2018,0.13,Other,5384,10000,8000,
Barnala,01/06/2018,0.4,Other,13000,15000,14000,
Barnala,04/06/2018,0.4,Other,14000,16000,15000,
Barnala,05/06/2018,0.4,Other,12000,16000,14000,
Barnala,07/06/2018,0.2,Other,16000,16000,16000,
Barnala,11/06/2018,1.2,Other,10000,15000,12500,
Barnala,12/06/2018,0.4,Other,15000,17000,16000,
Barnala,13/06/2018,0.7,Other,6000,9000,8000,
Barnala,14/06/2018,0.3,Other,15000,16000,15500,
Barnala,18/06/2018,0.7,Other,15000,16000,15500,
Barnala,21/06/2018,0.2,Other,16000,16000,16000,
Barnala,23/06/2018,0.3,Other,16000,17500,16750,
Barnala,24/06/2018,0.4,Other,15000,16500,16250,
Barnala,25/06/2018,0.3,Other,7000,9000,8000,
Barnala,26/06/2018,0.2,Other,15000,16000,15500,
Barnala,27/06/2018,0.3,Other,16000,16000,16000,
Barnala,28/06/2018,0.2,Other,16000,16000,16000,
Barnala,29/06/2018,0.3,Other,15000,15500,15250,
Bassi Pathana,01/06/2018,0.1,Apple,8000,9000,8500,
Bassi Pathana,02/06/2018,0.05,Apple,8500,9000,8800,
Bassi Pathana,05/06/2018,0.1,Apple,8000,9000,8500,
Bassi Pathana,06/06/2018,0.1,Apple,8500,9000,8800,
Bassi Pathana,07/06/2018,0.1,Apple,9000,9500,9000,
Bassi Pathana,08/06/2018,0.1,Apple,9000,9800,9500,
Bassi Pathana,09/06/2018,0.1,Apple,8000,9000,8500,
Bassi Pathana,11/06/2018,0.1,Apple,8500,9000,8800,
Bassi Pathana,12/06/2018,0.1,Apple,9000,9000,9000,
Bassi Pathana,13/06/2018,0.1,Apple,8000,9000,8500,
Bassi Pathana,14/06/2018,0.1,Apple,8500,9000,8800,
Bassi Pathana,15/06/2018,0.1,Apple,8800,9200,9000,
Bassi Pathana,16/06/2018,0.1,Apple,8200,9000,8500,
Bassi Pathana,18/06/2018,0.1,Apple,9000,9000,9000,
Bassi Pathana,19/06/2018,0.1,Apple,9000,9000,9000,
Bassi Pathana,20/06/2018,0.1,Apple,8000,8500,8200,
Bassi Pathana,21/06/2018,0.1,Apple,8000,8500,8200,
Bassi Pathana,22/06/2018,0.1,Apple,8800,9000,9000,
Bassi Pathana,23/06/2018,0.1,Apple,9000,9000,9000,
Bassi Pathana,25/06/2018,0.1,Apple,8500,9000,8800,
Bassi Pathana,26/06/2018,0.1,Apple,8800,9000,9000,
Batala,01/06/2018,0.2,Other,11000,14000,12500,
Batala,04/06/2018,0.1,Other,12000,15000,13500,
Batala,07/06/2018,0.2,Other,11000,13000,12000,
Batala,11/06/2018,0.2,Other,12000,15000,13500,
Batala,12/06/2018,0.2,Other,11000,14000,12500,
Batala,14/06/2018,0.1,Other,12000,14000,13000,
Batala,18/06/2018,0.2,Other,12000,14000,12500,
Batala,19/06/2018,0.1,Other,11000,12500,11500,
Batala,20/06/2018,0.1,Other,11000,12000,11500,
Batala,21/06/2018,0.1,Other,11000,12000,11500,
Batala,25/06/2018,0.2,Other,10000,12000,11500,
Batala,26/06/2018,0.2,Other,10000,14000,12500,
Batala,30/06/2018,0.2,Other,10000,12000,11000,
Bathinda,01/06/2018,5.7,Other,10000,13000,11000,
Bathinda,02/06/2018,5.7,Other,10000,14000,11000,
Bathinda,04/06/2018,6.1,Other,10000,14000,12000,
Bathinda,05/06/2018,5.9,Other,9000,13000,11000,
Bathinda,06/06/2018,1,Other,15000,18000,17000,
Bathinda,07/06/2018,9,Other,15000,18000,17000,
Bathinda,08/06/2018,8,Other,14500,18000,17000,
Bathinda,09/06/2018,1.1,Other,14500,17500,17000,
Bathinda,12/06/2018,1.1,Other,15000,18000,17000,
Bathinda,23/06/2018,2.1,Other,10000,15000,12000,
Bathinda,25/06/2018,19.1,Other,10000,14500,12000,
Bathinda,26/06/2018,19.5,Other,10000,14500,12000,
Bathinda,27/06/2018,1.8,Other,9000,14000,12000,
Bathinda,28/06/2018,2.1,Other,10000,15000,12000,
Bathinda,29/06/2018,1.8,Other,10000,15000,12000,
Budalada,01/06/2018,0.2,Other,7200,8500,8000,
Budalada,02/06/2018,0.1,Other,7500,8600,8400,
Budalada,03/06/2018,0.1,Other,7600,8700,8000,
Budalada,04/06/2018,0.1,Other,7700,8800,8200,
Budalada,05/06/2018,0.1,Other,7500,8800,8000,
Budalada,06/06/2018,0.2,Other,7500,8700,8000,
Budalada,07/06/2018,0.2,Other,8500,9700,9100,
Budalada,08/06/2018,0.2,Other,9000,10000,9500,
Budalada,09/06/2018,0.2,Other,8800,10000,9500,
Budalada,10/06/2018,0.2,Other,9200,12000,10000,
Budalada,12/06/2018,0.2,Other,9000,9800,9500,
Budalada,13/06/2018,0.2,Other,9100,9800,9400,
Budalada,14/06/2018,0.2,Other,9200,10000,9500,
Budalada,15/06/2018,0.3,Other,9200,9800,9500,
Budalada,16/06/2018,0.2,Other,9100,9700,9500,
Budalada,17/06/2018,0.2,Other,9000,9800,9500,
Budalada,18/06/2018,0.2,Other,9300,10500,10000,
Budalada,23/06/2018,0.3,Other,9000,11000,10500,
Budalada,24/06/2018,0.2,Other,9600,10600,10200,
Budalada,25/06/2018,0.2,Other,9650,10600,10300,
Budalada,26/06/2018,0.3,Other,9600,10600,10000,
Budalada,27/06/2018,0.2,Other,9700,11000,10400,
Budalada,28/06/2018,0.3,Other,9500,10500,10000,
Budalada,29/06/2018,0.3,Other,9700,10600,10200,
Dhuri,03/06/2018,0.1,Other,6000,7000,6500,
Faridkot,08/06/2018,0.64,Apple,10000,16500,16500,
Ferozepur Cantt.,01/06/2018,0.03,Apple,13000,13333,13200,
Ferozepur Cantt.,09/06/2018,0.06,Apple,10000,11416,10500,
Ferozepur Cantt.,11/06/2018,0.06,Apple,11000,11830,11500,
Ferozepur Cantt.,16/06/2018,0.03,Apple,14000,14315,14250,
Firozepur City,11/06/2018,0.2,Other,10000,12500,11500,
Firozepur City,14/06/2018,0.2,Other,10000,12500,11500,
Garh Shankar,01/06/2018,0.3,Other,7000,8000,8000,
Garh Shankar,08/06/2018,0.2,Other,10000,13000,12000,
Garh Shankar(Mahalpur),01/06/2018,0.3,Other,800,10000,10000,
Gurdaspur,04/06/2018,0.1,Apple,15000,17000,16000,
Gurdaspur,06/06/2018,0.2,Apple,10000,15000,12000,
Gurdaspur,07/06/2018,0.2,Apple,8000,15000,12000,
Gurdaspur,11/06/2018,0.2, ,NR,NR,NR,
Gurdaspur,12/06/2018,0.3,Apple,13000,17000,15000,
Gurdaspur,13/06/2018,0.2,Apple,17000,20000,18000,
Gurdaspur,14/06/2018,0.3,Apple,15000,18000,16000,
Gurdaspur,15/06/2018,0.2,Apple,15000,20000,16000,
Gurdaspur,21/06/2018,0.2,Apple,8000,15000,13000,
Gurdaspur,26/06/2018,0.2,Apple,15000,17000,16000,
Gurdaspur,27/06/2018,0.1,Apple,15000,18000,16000,
Jalandhar City(Jalandhar),01/06/2018,1.8,Other,4000,8000,6500,
Jalandhar City(Jalandhar),02/06/2018,0.4,Other,3000,7500,6000,
Jalandhar City(Jalandhar),04/06/2018,4,Other,3500,6500,5000,
