Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Ajmer(F&V),01/12/2019,3,Other,4500,6000,5300,
Ajmer(F&V),02/12/2019,15.6,Other,4000,6500,5500,
Ajmer(F&V),03/12/2019,28.4,Other,4500,6500,5500,
Ajmer(F&V),04/12/2019,40.4,Other,4000,6500,5300,
Ajmer(F&V),05/12/2019,0.2,Other,2500,6000,4300,
Ajmer(F&V),06/12/2019,41.5,Other,2500,5500,4000,
Ajmer(F&V),07/12/2019,40.3,Other,2500,5000,4000,
Ajmer(F&V),08/12/2019,0.2,Other,3000,5500,4300,
Ajmer(F&V),09/12/2019,43.3,Other,3000,5500,4500,
Ajmer(F&V),10/12/2019,37.3,Other,3000,5500,4300,
Ajmer(F&V),11/12/2019,12.1,Other,3000,5500,4300,
Ajmer(F&V),13/12/2019,44.3,Other,3000,5500,4500,
Ajmer(F&V),14/12/2019,15.7,Other,3000,6000,4500,
Ajmer(F&V),15/12/2019,0.2,Other,3500,6500,5000,
Ajmer(F&V),16/12/2019,0.5,Other,4000,6500,5300,
Ajmer(F&V),17/12/2019,9.2,Other,4000,6500,5500,
Ajmer(F&V),18/12/2019,1.9,Other,3500,6500,5000,
Ajmer(F&V),19/12/2019,1,Other,4000,6500,5500,
Ajmer(F&V),20/12/2019,7.3,Other,3500,6500,5000,
Ajmer(F&V),21/12/2019,14.5,Other,3500,6500,5200,
Ajmer(F&V),22/12/2019,2.6,Other,4000,6500,5300,
Ajmer(F&V),23/12/2019,0.6,Other,4000,6500,5500,
Ajmer(F&V),24/12/2019,3.9,Other,3500,6500,5000,
Ajmer(F&V),25/12/2019,10.1,Other,4000,6500,5500,
Ajmer(F&V),26/12/2019,16,Other,3500,6500,5000,
Ajmer(F&V),27/12/2019,4,Other,3500,6500,5200,
Ajmer(F&V),28/12/2019,27.9,Other,3500,6500,5500,
Ajmer(F&V),29/12/2019,61.2,Other,3500,6500,5000,
Ajmer(F&V),30/12/2019,2.9,Other,4000,6500,5300,
Ajmer(F&V),31/12/2019,16.2,Other,3500,6500,5000,
Alwar(FV),02/12/2019,9,Other,4200,6000,5100,
Alwar(FV),03/12/2019,30.3,Other,4300,6000,5150,
Alwar(FV),04/12/2019,18.5,Other,4300,6200,5250,
Alwar(FV),05/12/2019,7.4,Other,4000,6400,5200,
Alwar(FV),06/12/2019,25.9,Other,3800,6200,5000,
Alwar(FV),07/12/2019,17.9,Other,4000,6200,5100,
Alwar(FV),08/12/2019,0.9,Other,4200,6250,5200,
Alwar(FV),09/12/2019,31,Other,4000,6400,5200,
Alwar(FV),10/12/2019,12.6,Other,4000,6400,5200,
Alwar(FV),11/12/2019,9.8,Other,4200,6200,5200,
Alwar(FV),13/12/2019,38.4,Other,4000,6200,5100,
Alwar(FV),19/12/2019,0.5,Other,4400,8400,6400,
Alwar(FV),20/12/2019,0.2,Other,4000,6200,5100,
Alwar(FV),21/12/2019,10.6,Other,4000,6000,5000,
Alwar(FV),23/12/2019,188.3,Other,3500,8750,6200,
Alwar(FV),27/12/2019,23.6,Other,4200,6200,5200,
Alwar(FV),28/12/2019,16.3,Other,4200,6000,5100,
Alwar(FV),29/12/2019,23.7,Other,4000,6200,5100,
Alwar(FV),30/12/2019,8.7,Other,4000,6500,5250,
Alwar(FV),31/12/2019,10.6,Other,4000,6400,5200,
Bikaner(F&V),02/12/2019,38,Other,3500,4500,4000,
Bikaner(F&V),03/12/2019,70,Other,3500,4500,4000,
Bikaner(F&V),04/12/2019,32,Other,3500,4500,4000,
Bikaner(F&V),05/12/2019,50,Other,3500,4500,4000,
Bikaner(F&V),06/12/2019,22,Other,3500,4500,4000,
Bikaner(F&V),10/12/2019,60,Other,3500,4500,4000,
Bikaner(F&V),11/12/2019,14,Other,3500,4500,4000,
Bikaner(F&V),13/12/2019,46,Other,4200,4800,4500,
Bikaner(F&V),17/12/2019,22,Other,3800,4200,4000,
Bikaner(F&V),18/12/2019,16,Other,4200,4800,4500,
Bikaner(F&V),19/12/2019,18,Other,4200,4800,4500,
Bikaner(F&V),27/12/2019,34,Other,4000,5000,4500,
Bikaner(F&V),30/12/2019,55.6,Other,4000,5000,4500,
Bikaner(F&V),31/12/2019,42,Other,4000,5000,4500,
Chittorgarh,01/12/2019,7.9,Other,7000,11000,9000,
Chittorgarh,02/12/2019,7.2,Other,7000,19000,12000,
Chittorgarh,03/12/2019,4.8,Other,7500,19000,12000,
Chittorgarh,04/12/2019,7,Other,8000,17000,14000,
Chittorgarh,05/12/2019,12.2,Other,7000,19000,14000,
Chittorgarh,06/12/2019,7,Other,6000,14000,12000,
Chittorgarh,07/12/2019,13.2,Other,6500,18000,12000,
Chittorgarh,08/12/2019,4.2,Other,8000,19000,16000,
Chittorgarh,09/12/2019,5.8,Other,8000,19000,15000,
Chittorgarh,10/12/2019,13.3,Other,8000,14000,12000,
Chittorgarh,13/12/2019,7.1,Other,7500,16000,12000,
Chittorgarh,17/12/2019,10.2,Other,7000,18000,15000,
Chittorgarh,18/12/2019,8.4,Other,7500,18000,12000,
Chittorgarh,19/12/2019,10.8,Other,7000,14000,10000,
Chittorgarh,20/12/2019,7,Other,7500,16500,12000,
Chittorgarh,21/12/2019,11.6,Other,7500,18000,13000,
Chittorgarh,22/12/2019,4.5,Other,5500,16500,12000,
Chittorgarh,23/12/2019,4.9,Other,7000,18000,13000,
Chittorgarh,24/12/2019,6.6,Other,5000,16500,12000,
Chittorgarh,29/12/2019,10.2,Other,7000,19000,15000,
Chittorgarh,30/12/2019,5.4,Other,5000,16000,11000,
Chittorgarh,31/12/2019,4.8,Other,6000,16500,12000,
Jaipur(F&V),09/12/2019,181.9,Other,3500,6000,4750,
Jaipur(F&V),10/12/2019,373.5,Other,3500,6000,4750,
Jaipur(F&V),11/12/2019,168.2,Other,3500,6000,4750,
Jaipur(F&V),19/12/2019,85.9,Other,3000,5500,4250,
Jaipur(F&V),20/12/2019,76.9,Other,3000,5500,4250,
Jaipur(F&V),26/12/2019,84.1,Other,2500,5000,3750,
Jalore,02/12/2019,0.75,Apple,6000,6500,6300,
Jalore,03/12/2019,1.3,Apple,6000,6500,6300,
Jalore,04/12/2019,2,Apple,5500,6000,5700,
Jalore,13/12/2019,1.05,Apple,6500,7000,6700,
Jalore,18/12/2019,1.1,Apple,6500,7000,6800,
Jalore,24/12/2019,0.15,Apple,7500,8000,7700,
Jodhpur(F&V)(Bhadwasia),07/12/2019,99,Other,2000,6000,4000,
Jodhpur(F&V)(Bhadwasia),09/12/2019,130,Other,3000,7000,5000,
Jodhpur(F&V)(Bhadwasia),10/12/2019,28.6,Other,3000,7000,5000,
Jodhpur(F&V)(Bhadwasia),11/12/2019,23.5,Other,3000,7000,5000,
Jodhpur(F&V)(Bhadwasia),12/12/2019,55,Other,4000,6000,5000,
Jodhpur(F&V)(Bhadwasia),14/12/2019,32,Other,4000,6000,5000,
Jodhpur(F&V)(Bhadwasia),16/12/2019,37.5,Other,3000,7000,5000,
Jodhpur(F&V)(Bhadwasia),17/12/2019,2,Other,4000,8000,6000,
Jodhpur(F&V)(Bhadwasia),18/12/2019,13.5,Other,4000,6000,5000,
Jodhpur(F&V)(Bhadwasia),20/12/2019,20.5,Other,3000,7000,5000,
Jodhpur(F&V)(Bhadwasia),24/12/2019,6.5,Other,4000,6000,5000,
Jodhpur(F&V)(Bhadwasia),25/12/2019,27.5,Other,4000,6000,5000,
Jodhpur(F&V)(Bhadwasia),26/12/2019,28,Other,3000,7000,5000,
Jodhpur(F&V)(Bhadwasia),27/12/2019,50,Other,4000,7000,5000,
Jodhpur(F&V)(Bhadwasia),28/12/2019,147,Other,4000,8000,6000,
Jodhpur(F&V)(Bhadwasia),29/12/2019,198,Other,3000,7000,5000,
Jodhpur(F&V)(Bhadwasia),30/12/2019,198,Other,3000,7000,5000,
Jodhpur(F&V)(Bhadwasia),31/12/2019,59.5,Other,4000,7000,5500,
Kota (FV),02/12/2019,8.2,Other,1500,4000,2750,
Kota (FV),05/12/2019,26.8,Other,2500,5500,4000,
Kota (FV),07/12/2019,46.5,Other,2500,5000,3750,
Kota (FV),09/12/2019,1.3,Other,2000,3500,2750,
Kota (FV),10/12/2019,38.2,Other,2000,5000,3500,
Kota (FV),11/12/2019,40.5,Other,2000,5500,3750,
Kota (FV),12/12/2019,13.2,Other,2500,4500,3500,
Kota (FV),17/12/2019,9,Other,2500,4000,3250,
Kota (FV),20/12/2019,2.3,Other,2500,3500,3000,
Kota (FV),22/12/2019,1.15,Other,3500,4500,4000,
Kota (FV),23/12/2019,1.9,Other,3000,5000,4000,
Kota (FV),28/12/2019,58.3,Other,2500,5500,4000,
Kota (FV),29/12/2019,18.2,Other,3500,5500,4500,
Kota (FV),30/12/2019,45.5,Other,2500,5500,4000,
Kota (FV),31/12/2019,21.2,Other,3500,5500,4500,
Sanchor,02/12/2019,0.08, ,NR,NR,NR,
Sanchor,20/12/2019,0.06, ,NR,NR,NR,
Sriganganagar(F&V),02/12/2019,50,Apple,2800,3000,2900,
Sriganganagar(F&V),04/12/2019,30,Apple,2800,3000,2900,
Sriganganagar(F&V),05/12/2019,20,Apple,3200,3400,3300,
Sriganganagar(F&V),06/12/2019,300,Apple,2700,2900,2800,
Sriganganagar(F&V),07/12/2019,30,Apple,2700,2900,2800,
Sriganganagar(F&V),09/12/2019,4,Apple,1000,1200,1100,
Sriganganagar(F&V),10/12/2019,30,Apple,2800,3000,2900,
Sriganganagar(F&V),11/12/2019,15,Apple,3000,3200,3100,
Sriganganagar(F&V),17/12/2019,4,Apple,4000,4200,4100,
Sriganganagar(F&V),18/12/2019,3,Apple,4000,4200,4100,
Sriganganagar(F&V),20/12/2019,30,Apple,3500,3700,3600,
Sriganganagar(F&V),21/12/2019,30,Apple,3500,3700,3600,
Sriganganagar(F&V),23/12/2019,20,Apple,3500,3700,3600,
Sriganganagar(F&V),30/12/2019,40,Apple,2500,2700,2600,
Udaipur(F&V),01/12/2019,164.7,Other,400,1200,800,
Udaipur(F&V),04/12/2019,43.2,Other,2000,5500,3750,
Udaipur(F&V),05/12/2019,31.3,Other,3000,5000,4000,
Udaipur(F&V),06/12/2019,22.5,Other,2000,4000,3000,
Udaipur(F&V),08/12/2019,26.6,Other,2000,8000,5000,
Udaipur(F&V),09/12/2019,2.5,Other,3500,3500,3500,
Udaipur(F&V),10/12/2019,27.9,Other,3000,4000,3500,
Udaipur(F&V),11/12/2019,21.2,Other,3000,4000,3500,
Udaipur(F&V),12/12/2019,34.3,Other,2000,4000,3000,
Udaipur(F&V),14/12/2019,50.5,Other,2000,4500,3250,
Udaipur(F&V),16/12/2019,11.8,Other,2000,4000,3000,
Udaipur(F&V),18/12/2019,6.1,Other,2000,4000,3000,
Udaipur(F&V),20/12/2019,4.8,Other,2500,5500,4000,
Udaipur(F&V),23/12/2019,3,Other,3000,5000,4000,
Udaipur(F&V),24/12/2019,3.8,Other,3000,5500,4250,
Udaipur(F&V),27/12/2019,5.1,Other,2500,3500,3000,
Udaipur(F&V),28/12/2019,4.2,Other,2500,4500,3500,
Udaipur(F&V),29/12/2019,21.2,Other,2000,4000,3000,
Udaipur(F&V),30/12/2019,58.2,Other,2000,5000,3500,
Udaipur(F&V),31/12/2019,62.3,Other,2000,6000,4000,
