Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Achalda,01/01/2020,1.2,Delicious,5400,5600,5500,
Achalda,02/01/2020,1.2,Delicious,5400,5600,5500,
Achalda,03/01/2020,1,Delicious,5300,5500,5400,
Achalda,04/01/2020,1.2,Delicious,5400,5600,5500,
Achalda,06/01/2020,1,Delicious,5500,5700,5600,
Achalda,07/01/2020,1.2,Delicious,5400,5600,5500,
Achalda,09/01/2020,1,Delicious,5400,5600,5500,
Achalda,10/01/2020,1.2,Delicious,5400,5600,5500,
Achalda,11/01/2020,1.2,Delicious,5400,5600,5500,
Achalda,13/01/2020,1,Delicious,5400,5640,5600,
Achalda,14/01/2020,1,Delicious,5400,5600,5500,
Achalda,15/01/2020,1.2,Delicious,5400,5600,5500,
Achalda,16/01/2020,1,Delicious,5000,5600,5050,
Achalda,17/01/2020,1.2,Delicious,4900,5100,5000,
Achalda,18/01/2020,1,Delicious,4900,5100,5000,
Achalda,20/01/2020,2,Delicious,5300,5500,5400,
Achalda,21/01/2020,1.2,Delicious,5400,5600,5500,
Achalda,22/01/2020,1,Delicious,5400,5600,5500,
Achalda,23/01/2020,1,Delicious,5400,5600,5500,
Achalda,24/01/2020,1.2,Delicious,5400,5600,5500,
Achalda,25/01/2020,1,Delicious,5400,5500,5450,
Achalda,27/01/2020,1.2,Delicious,5400,5600,5500,
Achalda,28/01/2020,1.2,Delicious,5500,5700,5600,
Achalda,29/01/2020,1,Delicious,5400,5600,5500,
Achalda,30/01/2020,1, ,NR,NR,NR,
Achalda,31/01/2020,1,Delicious,5400,5600,5500,
Agra,02/01/2020,45, ,NR,NR,NR,
Agra,03/01/2020,47,Delicious,4600,4850,4720,
Agra,04/01/2020,45,Delicious,4600,4900,4750,
Agra,06/01/2020,48,Delicious,4550,4850,4700,
Agra,07/01/2020,51,Delicious,4500,4800,4650,
Agra,08/01/2020,48,Delicious,4450,4750,4600,
Agra,09/01/2020,50,Delicious,4500,4800,4670,
Agra,10/01/2020,57,Delicious,4450,4750,4600,
Agra,11/01/2020,50,Delicious,4550,4780,4650,
Agra,13/01/2020,52,Delicious,4500,4750,4620,
Agra,14/01/2020,50,Delicious,4500,4750,4650,
Agra,15/01/2020,55,Delicious,4550,4800,4700,
Agra,16/01/2020,52,Delicious,4600,4850,4720,
Agra,17/01/2020,57, ,NR,NR,NR,
Agra,18/01/2020,52,Delicious,4600,4900,4750,
Agra,20/01/2020,55,Delicious,4600,4850,4740,
Agra,21/01/2020,50,Delicious,4600,4900,4750,
Agra,22/01/2020,57,Delicious,4600,4900,4740,
Agra,23/01/2020,61, ,NR,NR,NR,
Agra,24/01/2020,48,Delicious,4600,4900,4780,
Agra,25/01/2020,50,Delicious,4550,4850,4700,
Agra,27/01/2020,40,Delicious,4600,4850,4720,
Agra,28/01/2020,37,Delicious,4600,4900,4750,
Agra,29/01/2020,35,Delicious,4650,4900,4780,
Agra,30/01/2020,41,Delicious,4600,4900,4750,
Agra,31/01/2020,37,Delicious,4650,5000,4780,
Akbarpur,01/01/2020,1.2,Delicious,4800,5020,5000,
Akbarpur,03/01/2020,7,Delicious,5100,5300,5200,
Akbarpur,04/01/2020,1,Delicious,5100,5300,5200,
Akbarpur,05/01/2020,1.2,Delicious,4890,5100,5020,
Akbarpur,06/01/2020,1.5,Delicious,4950,5100,5050,
Akbarpur,08/01/2020,1.2,Delicious,5000,5150,5100,
Akbarpur,09/01/2020,1,Delicious,5000,5100,5060,
Akbarpur,10/01/2020,1.5,Delicious,5100,5200,5150,
Akbarpur,11/01/2020,1.5,Delicious,5000,5120,5060,
Akbarpur,12/01/2020,0.6,Delicious,5000,5100,5060,
Akbarpur,13/01/2020,1,Delicious,4900,5020,5000,
Akbarpur,15/01/2020,1, ,NR,NR,NR,
Akbarpur,16/01/2020,1.2, ,NR,NR,NR,
Akbarpur,17/01/2020,1.4,Delicious,5100,5120,5110,
Akbarpur,18/01/2020,0.6,Delicious,5100,5250,5200,
Akbarpur,19/01/2020,0.8, ,NR,NR,NR,
Akbarpur,20/01/2020,1.2,Delicious,5100,5250,5200,
Akbarpur,22/01/2020,1,Delicious,5100,5250,5200,
Akbarpur,23/01/2020,1.4,Delicious,5200,5300,5220,
Akbarpur,24/01/2020,1.5,Delicious,5100,5250,5210,
Akbarpur,25/01/2020,2,Delicious,5100,5250,5200,
Akbarpur,27/01/2020,1.4,Delicious,5100,5220,5150,
Akbarpur,29/01/2020,1.4,Delicious,5300,5500,5450,
Akbarpur,31/01/2020,1.1,Delicious,5400,5420,5410,
Aligarh,01/01/2020,20, ,NR,NR,NR,
Aligarh,02/01/2020,30,Delicious,4400,4500,4450,
Aligarh,03/01/2020,25,Delicious,4350,4450,4400,
Aligarh,04/01/2020,650,Delicious,4400,4500,4450,
