Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Dhing,01/10/2019,40,Bengal Gram Dal,6800,6950,6850,
Dhing,01/10/2019,40,White (Whole),6600,6700,6700,
Dhing,03/10/2019,30,Bengal Gram Dal,6800,6950,6850,
Dhing,03/10/2019,30,White (Whole),6500,6700,6600,
Dhing,04/10/2019,35,Bengal Gram Dal,6800,6950,6850,
Dhing,04/10/2019,35,White (Whole),6500,6800,6700,
Dhing,11/10/2019,39,Bengal Gram Dal,5600,6000,5850,
Dhing,11/10/2019,39,White (Whole),5400,5800,5600,
Dhing,13/10/2019,38,Bengal Gram Dal,5600,6000,5850,
Dhing,13/10/2019,38,White (Whole),5400,5800,5500,
Dhing,14/10/2019,31,Bengal Gram Dal,6700,6850,6800,
Dhing,14/10/2019,31,White (Whole),6500,6650,6600,
Dhing,15/10/2019,32,Bengal Gram Dal,6700,6820,6800,
Dhing,15/10/2019,32,White (Whole),6500,6650,6600,
Dhing,16/10/2019,40,Bengal Gram Dal,6700,6850,6800,
Dhing,16/10/2019,40,White (Whole),6500,6600,6500,
Dhing,17/10/2019,35,Bengal Gram Dal,6700,6800,6800,
Dhing,17/10/2019,35,White (Whole),6500,6700,6600,
Dhing,19/10/2019,35,Bengal Gram Dal,6500,6800,6700,
Dhing,19/10/2019,35,White (Whole),6300,6600,6500,
Dhing,21/10/2019,28,Bengal Gram Dal,6820,6990,6850,
Dhing,21/10/2019,28,White (Whole),6650,6750,6700,
Dhing,22/10/2019,25,Bengal Gram Dal,6820,6990,6850,
Dhing,22/10/2019,25,White (Whole),6650,6700,6700,
Dhing,23/10/2019,40,Bengal Gram Dal,6820,6990,6850,
Dhing,23/10/2019,40,White (Whole),6650,6750,6700,
Dhing,24/10/2019,40,Bengal Gram Dal,6820,6990,6850,
Dhing,24/10/2019,40,White (Whole),6650,6800,6700,
Dhing,25/10/2019,30,Bengal Gram Dal,6850,6990,6870,
Dhing,25/10/2019,30,White (Whole),6500,6700,6650,
Dhing,29/10/2019,40,Bengal Gram Dal,6700,7000,6900,
