Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Amreli,01/11/2019,3.6,Other,2625,4310,4000,
Amreli,02/11/2019,5,Other,2750,4300,4105,
Amreli,04/11/2019,1.7,Other,3060,4630,4020,
Amreli,05/11/2019,5.8,Other,2975,4495,3750,
Amreli,06/11/2019,11.5, ,NR,NR,NR,
Amreli,07/11/2019,5,Other,3250,4330,4150,
Amreli,08/11/2019,5.7,Other,3450,4750,4055,
Amreli,09/11/2019,5.1,Other,4045,4265,4205,
Amreli,11/11/2019,8.9,Other,3750,4780,4100,
Amreli,12/11/2019,13.9,Other,3425,4680,4150,
Amreli,13/11/2019,7.5,Other,3000,4610,4095,
Amreli,14/11/2019,6.7,Other,3200,4625,4150,
Amreli,15/11/2019,8,Other,3005,4755,4175,
Amreli,16/11/2019,14.3,Other,3000,4435,4100,
Amreli,18/11/2019,12.6,Other,3305,4505,4100,
Amreli,19/11/2019,15,Other,3130,4385,4130,
Amreli,20/11/2019,7.2,Other,3000,4440,4235,
Amreli,21/11/2019,4.9,Other,3260,4675,4225,
Amreli,22/11/2019,6.6,Other,3000,4720,4000,
Amreli,23/11/2019,6.5,Other,3025,4360,4000,
Amreli,25/11/2019,16.5, ,NR,NR,NR,
Amreli,26/11/2019,10,Other,3000,4355,4060,
Amreli,27/11/2019,5,Other,3510,4250,4060,
Amreli,28/11/2019,8.2,Other,3075,4485,4125,
Amreli,29/11/2019,4.3,Other,2500,4090,3940,
Amreli,30/11/2019,0.6,Other,2680,4505,4050,
Bhavnagar,02/11/2019,0.4,Other,4300,4300,4300,
Bhavnagar,04/11/2019,0.1,Other,2905,2905,2905,
Bhavnagar,06/11/2019,1.4,Other,3470,4685,4685,
Bhavnagar,08/11/2019,0.3,Other,3680,3885,3750,
Bhavnagar,09/11/2019,0.2,Other,3600,3600,3600,
Bhavnagar,11/11/2019,2.5,Other,3910,4705,4500,
Bhavnagar,13/11/2019,1.5,Other,3875,4195,4000,
Bhavnagar,14/11/2019,3.9,Other,3945,4200,4000,
Bhavnagar,16/11/2019,0.6,Other,3880,3900,3900,
Bhavnagar,18/11/2019,0.9,Other,4405,5055,5055,
Bhavnagar,19/11/2019,1.3,Other,3805,4040,4000,
Bhavnagar,20/11/2019,0.4,Other,4600,4600,4600,
Bhavnagar,22/11/2019,1,Other,3685,4000,3750,
Bhavnagar,23/11/2019,1.8,Other,3615,4100,4000,
Bhavnagar,25/11/2019,0.9,Other,3875,4100,4000,
Bhavnagar,26/11/2019,1.3,Other,3500,3500,3500,
Bhavnagar,27/11/2019,2.9,Other,3000,4405,4405,
Bhavnagar,28/11/2019,0.2,Other,3700,3700,3700,
Bhavnagar,29/11/2019,1.1,Other,4280,4280,4280,
Bhesan,09/11/2019,3,Other,3500,4130,3815,
Bhesan,11/11/2019,3,Other,3500,4250,3875,
Bhesan,13/11/2019,16,Other,3500,4400,3950,
Bhesan,26/11/2019,10,Other,3500,4100,3800,
Bhiloda,02/11/2019,3,Desi (Whole),4000,4100,4050,
Bhiloda,04/11/2019,13,Desi (Whole),4000,4400,4200,
