Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Bhattu Kalan,07/12/2019,7.8, ,NR,NR,NR,
Ellanabad,03/12/2019,2.1,Desi (Whole),3945,4167,4167,
Ellanabad,05/12/2019,7.2,Desi (Whole),3876,4101,4091,
Ellanabad,16/12/2019,3.4,Desi (Whole),3750,4062,4000,
Ellanabad,17/12/2019,4.7,Desi (Whole),4000,4075,4000,
Ellanabad,19/12/2019,3,Desi (Whole),3891,4197,4197,
Ellanabad,20/12/2019,0.5,Desi (Whole),4181,4181,4181,
Ellanabad,23/12/2019,0.5,Desi (Whole),4175,4175,4175,
Ellanabad,24/12/2019,1.1,Desi (Whole),4175,4175,4175,
Ellanabad,27/12/2019,6.9,Desi (Whole),4100,4400,4105,
Ellanabad,31/12/2019,25.5,Desi (Whole),4269,4311,4300,
