Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Achalpur,05/12/2019,4,Other,3850,4250,4050,
Achalpur,12/12/2019,5,Other,4000,4150,4075,
Achalpur,19/12/2019,3,Other,3200,4000,3600,
Achalpur,26/12/2019,3,Other,3500,4000,3750,
Ahmednagar,03/12/2019,2,Other,3850,3850,3850,
Ahmednagar,04/12/2019,3,Kabul Small,6000,6000,6000,
Ahmednagar,04/12/2019,3,Other,3561,4500,4030,
Ahmednagar,05/12/2019,2,Other,3500,3850,3675,
Ahmednagar,06/12/2019,1,Other,3500,3800,3650,
Ahmednagar,07/12/2019,1,Other,3500,3800,3650,
Ahmednagar,08/12/2019,4,Other,3500,3800,3650,
Ahmednagar,09/12/2019,4,Other,3500,3800,3650,
Ahmednagar,10/12/2019,8,Kabul Small,3500,5301,4400,
Ahmednagar,11/12/2019,2,Other,3450,3750,3600,
Ahmednagar,12/12/2019,1,Kabul Small,3750,3800,3775,
Ahmednagar,14/12/2019,10,Other,3000,3700,3350,
Ahmednagar,16/12/2019,3,Other,3600,4000,3800,
Ahmednagar,17/12/2019,1,Other,3451,3700,3575,
Ahmednagar,18/12/2019,8,Other,3450,4000,3725,
Ahmednagar,23/12/2019,2,Other,3450,3800,3625,
Ahmednagar,24/12/2019,1,Other,3450,3750,3600,
Ahmednagar,26/12/2019,1,Other,3450,3750,3600,
Ahmednagar,28/12/2019,2,Other,3500,3651,3575,
Ahmednagar,30/12/2019,2,Kabul Small,3800,4700,4250,
Ahmedpur,02/12/2019,1,Other,4000,4000,4000,
Ahmedpur,07/12/2019,1,Other,3400,3500,3450,
Ahmedpur,09/12/2019,2,Other,3000,3700,3350,
Ahmedpur,19/12/2019,1,Other,3550,3550,3550,
Akhadabalapur,12/12/2019,5,Other,4000,4200,4100,
Akhadabalapur,16/12/2019,5,Other,4000,4100,4050,
Akhadabalapur,28/12/2019,5,Other,4000,4100,4050,
Akkalkot,06/12/2019,1,Other,3500,3500,3500,
Akluj,11/12/2019,1,Average (Whole),3850,3850,3850,
Akola,02/12/2019,26,Average (Whole),3750,4500,3825,
Akola,03/12/2019,61,Average (Whole),3700,4400,4250,
Akola,04/12/2019,70,Average (Whole),3550,4400,4050,
Akola,05/12/2019,39,Average (Whole),3700,4500,4400,
Akola,07/12/2019,53,Average (Whole),3900,5000,4500,
Akola,09/12/2019,14,Average (Whole),3500,4400,4300,
Akola,10/12/2019,31,Average (Whole),3650,4800,4400,
Akola,11/12/2019,34,Average (Whole),3550,4300,4175,
Akola,12/12/2019,33,Average (Whole),3325,4000,3900,
Akola,13/12/2019,17,Average (Whole),3000,4000,3800,
Akola,14/12/2019,12,Average (Whole),3450,4150,3850,
Akola,16/12/2019,14,Average (Whole),3300,3950,3800,
Akola,17/12/2019,36,Average (Whole),3450,4500,4400,
Akola,18/12/2019,34,Average (Whole),3375,4000,3900,
Akola,19/12/2019,29,Average (Whole),3550,4000,3800,
Akola,20/12/2019,39,Average (Whole),3300,4150,3800,
Akola,21/12/2019,35,Average (Whole),3500,4060,4000,
Akola,23/12/2019,20,Average (Whole),3400,4100,3600,
Akola,24/12/2019,33,Average (Whole),3550,4300,4200,
Akola,25/12/2019,27,Average (Whole),3650,4300,4150,
Akola,26/12/2019,24,Average (Whole),3500,4225,4150,
Akola,27/12/2019,19,Average (Whole),3600,4150,3800,
Akola,28/12/2019,11,Average (Whole),3500,4200,3900,
Akola,30/12/2019,33,Average (Whole),3400,4200,4000,
Akola,31/12/2019,1,Average (Whole),3400,4300,4100,
Akola,31/12/2019,1,Kabul Small,4000,4500,4250,
Akot,02/12/2019,17,Average (Whole),3600,4160,4100,
Akot,04/12/2019,23,Average (Whole),3550,4100,4000,
Akot,05/12/2019,20,Average (Whole),3400,4050,4000,
Akot,07/12/2019,8,Average (Whole),3500,4050,4000,
Akot,10/12/2019,4,Average (Whole),3450,4100,4000,
Akot,11/12/2019,12,Average (Whole),3400,4030,4000,
Akot,12/12/2019,6,Average (Whole),3405,4050,4000,
Akot,14/12/2019,6,Average (Whole),3400,4095,4000,
Akot,16/12/2019,7,Average (Whole),3450,3950,3900,
Akot,26/12/2019,3,Average (Whole),3650,4150,4100,
Akot,28/12/2019,6,Average (Whole),3500,4075,4000,
