Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Ahmednagar,01/06/2019,3,Other,4125,4350,4237,
Ahmednagar,03/06/2019,3,Other,3850,4425,4138,
Ahmednagar,07/06/2019,3,Other,3650,4175,3913,
Ahmednagar,10/06/2019,3,Other,4200,4350,4275,
Ahmednagar,14/06/2019,9,Other,3950,4300,4125,
Ahmednagar,15/06/2019,1,Other,3850,4250,4050,
Ahmednagar,17/06/2019,6,Other,3925,4255,4090,
Ahmednagar,18/06/2019,2,Other,3500,4250,3875,
Ahmednagar,19/06/2019,1,Other,3701,3701,3701,
Ahmednagar,21/06/2019,4,Other,4000,4225,4113,
Ahmednagar,22/06/2019,1,Other,3550,4000,3775,
Ahmednagar,24/06/2019,2,Other,3501,4200,3850,
Ahmednagar,25/06/2019,2,Other,3625,3625,3625,
Ahmednagar,26/06/2019,1,Other,3575,4225,3900,
Ahmednagar,27/06/2019,1,Other,4000,4000,4000,
Ahmednagar,28/06/2019,1,Other,3500,4100,3850,
Ahmedpur,01/06/2019,2,Other,4000,4375,4170,
Ahmedpur,04/06/2019,6,Other,4000,4350,4150,
Ahmedpur,06/06/2019,2,Other,4200,4360,4270,
Ahmedpur,07/06/2019,2,Other,4100,4250,4175,
Ahmedpur,08/06/2019,5,Other,4000,4251,4125,
Ahmedpur,10/06/2019,3,Other,4200,4260,4230,
Ahmedpur,11/06/2019,4,Other,4000,4200,4100,
Ahmedpur,12/06/2019,3,Other,4100,4211,4155,
Ahmedpur,14/06/2019,2,Other,4000,4225,4112,
Ahmedpur,15/06/2019,4,Other,4000,4225,4112,
Ahmedpur,17/06/2019,4,Other,4000,4200,4100,
Ahmedpur,18/06/2019,1,Other,4100,4190,4135,
Ahmedpur,19/06/2019,6,Other,4000,4161,4080,
Ahmedpur,20/06/2019,2,Other,3800,4100,3950,
Ahmedpur,21/06/2019,2,Other,4000,4200,4100,
Ahmedpur,22/06/2019,3,Other,3550,4146,3900,
Ahmedpur,24/06/2019,4,Other,3500,4100,3800,
Ahmedpur,25/06/2019,4,Other,3800,4150,3975,
Ahmedpur,26/06/2019,5,Other,4000,4091,4045,
Ahmedpur,28/06/2019,1,Other,3850,4100,3975,
Ahmedpur,29/06/2019,1,Other,3800,4050,3925,
