Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Aarni,23/09/2019,6,Other,3800,4060,3900,
Ahmednagar,06/09/2019,5,Other,3475,3475,3475,
Ahmednagar,11/09/2019,1,Other,3450,3475,3462,
Ahmednagar,13/09/2019,1,Other,3400,3500,3450,
Ahmednagar,20/09/2019,1,Other,4300,4300,4300,
Ahmednagar,21/09/2019,1,Other,3450,3750,3600,
Ahmednagar,26/09/2019,3,Kabul Small,5000,5000,5000,
Ahmednagar,26/09/2019,3,Other,3500,4000,3750,
Ahmedpur,04/09/2019,1,Other,3000,4000,3500,
Ahmedpur,14/09/2019,1,Other,3400,3800,3550,
Ahmedpur,19/09/2019,2,Other,3111,3912,3500,
Ahmedpur,21/09/2019,1,Other,3500,3900,3700,
Akhadabalapur,03/09/2019,5,Other,4100,4200,4150,
Akhadabalapur,04/09/2019,5,Other,4100,4200,4150,
Akhadabalapur,16/09/2019,4,Other,4000,4100,4050,
Akhadabalapur,18/09/2019,4,Other,4000,4100,4050,
Akhadabalapur,23/09/2019,5,Other,4200,4300,4250,
Akhadabalapur,26/09/2019,4,Other,4200,4300,4250,
Akola,02/09/2019,14,Average (Whole),3400,4300,4250,
Akola,03/09/2019,21,Average (Whole),3650,4225,3900,
Akola,04/09/2019,1,Average (Whole),3600,4250,4000,
Akola,04/09/2019,1,Other,3900,4050,3975,
Akola,05/09/2019,35,Average (Whole),3400,4200,3900,
Akola,06/09/2019,31,Average (Whole),3400,4150,3950,
Akola,07/09/2019,15,Average (Whole),3250,4200,3810,
Akola,09/09/2019,26,Average (Whole),3600,4250,4150,
Akola,11/09/2019,1,Average (Whole),3750,4250,4100,
Akola,11/09/2019,1,Kabul Small,4100,4100,4100,
Akola,13/09/2019,37,Average (Whole),3650,4300,4150,
Akola,14/09/2019,2,Average (Whole),3500,4225,4180,
Akola,14/09/2019,2,Other,4000,4590,4100,
Akola,16/09/2019,32,Average (Whole),4075,4300,4200,
Akola,18/09/2019,21,Average (Whole),3500,4260,4200,
