Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Aklera,06/02/2019,2,Other,3400,3680,3540,
Aklera,07/02/2019,2.5,Other,3400,3641,3520,
Aklera,11/02/2019,1,Other,2500,2800,2650,
Aklera,13/02/2019,2,Other,2000,3000,2500,
Aklera,16/02/2019,1,Other,3300,3500,3400,
Aklera,22/02/2019,1.5,Other,3200,3500,3350,
Aklera,25/02/2019,1,Other,3200,3550,3375,
Aklera,26/02/2019,2,Other,3400,3600,3500,
Aklera,27/02/2019,5,Other,3150,3450,3300,
Aklera,28/02/2019,5,Other,3050,3550,3300,
Alwar,02/02/2019,0.3,Other,4000,4100,4050,
Alwar,07/02/2019,2,Other,3900,4000,3950,
Alwar,12/02/2019,3.7,Other,3900,4000,3950,
Alwar,13/02/2019,7,Other,3900,4000,3950,
Alwar,14/02/2019,0.8,Other,3900,4000,3950,
Alwar,15/02/2019,6.4,Other,3900,4000,3950,
Alwar,16/02/2019,5.1,Other,3900,4000,3950,
Alwar,18/02/2019,5.6,Other,3900,4000,3950,
Alwar,20/02/2019,0.2,Other,3900,4000,3950,
Alwar,21/02/2019,2,Other,3900,4000,3950,
Alwar,22/02/2019,0.6,Other,3900,4000,3950,
Alwar,23/02/2019,9.8,Other,3900,4000,3950,
Alwar,25/02/2019,1,Other,3850,3950,3900,
Alwar,26/02/2019,12.9,Other,3800,3900,3850,
Alwar,27/02/2019,0.2,Other,3800,3900,3850,
Alwar,28/02/2019,0.5,Other,3800,3875,3850,
Anoopgarh,02/02/2019,0.1,Other,3050,3050,3050,
Anoopgarh,18/02/2019,0.5,Other,3924,3924,3924,
Anoopgarh,25/02/2019,0.3,Other,3850,3850,3850,
Atru,01/02/2019,2,Other,3650,3890,3770,
Atru,05/02/2019,0.1,Other,3700,3700,3700,
Atru,06/02/2019,2.4,Other,3875,3975,3925,
Atru,07/02/2019,0.4,Other,3900,3909,3904,
Atru,08/02/2019,0.4,Other,3834,3834,3834,
Atru,09/02/2019,0.1,Other,3740,3740,3740,
Atru,11/02/2019,0.4,Other,3735,3800,3767,
Atru,12/02/2019,0.3,Other,3768,3850,3809,
Atru,13/02/2019,0.2,Other,3850,3850,3850,
Atru,14/02/2019,0.7,Other,3700,3750,3725,
Atru,18/02/2019,0.4,Other,3800,3800,3800,
Atru,19/02/2019,0.3,Other,3100,3720,3410,
Atru,23/02/2019,0.7,Other,3700,3800,3750,
Atru,25/02/2019,0.1,Other,3770,3770,3770,
Atru,26/02/2019,0.3,Other,3768,3768,3768,
Atru,27/02/2019,0.1,Other,3535,3535,3535,
Atru(Kawai Salpura),01/02/2019,0.3,Other,3745,3931,3838,
Atru(Kawai Salpura),02/02/2019,0.2,Other,3840,3891,3881,
Atru(Kawai Salpura),04/02/2019,0.1,Other,3972,3972,3972,
Atru(Kawai Salpura),05/02/2019,0.1,Other,3965,3965,3965,
Atru(Kawai Salpura),06/02/2019,0.1,Other,2700,2700,2700,
Atru(Kawai Salpura),07/02/2019,0.2,Other,4005,4005,4005,
Atru(Kawai Salpura),08/02/2019,0.1,Other,3976,3976,3976,
Atru(Kawai Salpura),11/02/2019,0.1,Other,3891,3891,3891,
Atru(Kawai Salpura),12/02/2019,0.1,Other,3881,3881,3881,
Atru(Kawai Salpura),15/02/2019,0.6,Other,3411,3880,3646,
Atru(Kawai Salpura),19/02/2019,0.1,Other,3301,3301,3301,
Atru(Kawai Salpura),20/02/2019,0.8,Other,3460,3699,3580,
Atru(Kawai Salpura),22/02/2019,0.1,Other,2450,2450,2450,
Atru(Kawai Salpura),23/02/2019,0.1,Other,3770,3770,3770,
Atru(Kawai Salpura),27/02/2019,2,Other,3725,3725,3725,
Atru(Kawai Salpura),28/02/2019,0.5,Other,3599,3670,3635,
Bandikui,01/02/2019,1.3,999,3815,3835,3825,
Bandikui,03/02/2019,0.6,999,3700,3780,3740,
Bandikui,04/02/2019,0.6,999,3700,3780,3740,
Bandikui,05/02/2019,0.1,999,3650,3650,3650,
Bandikui,06/02/2019,2.6,999,3790,3855,3823,
Bandikui,07/02/2019,0.6,999,3850,3878,3864,
Bandikui,08/02/2019,0.6,999,3730,3730,3730,
Bandikui,09/02/2019,0.2,999,3891,3891,3891,
Bandikui,10/02/2019,0.2,999,3800,3845,3823,
Bandikui,11/02/2019,0.8,999,3700,3880,3790,
Bandikui,14/02/2019,0.9,999,3420,3420,3420,
Bandikui,17/02/2019,1.1,999,3820,3870,3845,
Bandikui,18/02/2019,0.4,999,3800,3845,3823,
Bandikui,20/02/2019,0.4,999,3775,3800,3788,
Bandikui,21/02/2019,4,999,3776,3870,3820,
Bandikui,23/02/2019,4.1,999,3700,3787,3744,
Bandikui,25/02/2019,0.2,999,3701,3750,3726,
Bandikui,27/02/2019,4,999,3400,3785,3593,
Baran,01/02/2019,12.7,Other,3800,4000,3900,
Baran,02/02/2019,12.7,Other,3750,3990,3840,
Baran,04/02/2019,3.4,Other,3737,4086,3901,
Baran,05/02/2019,17,Other,3800,4017,3901,
Baran,06/02/2019,17,Other,3800,4047,3900,
Baran,07/02/2019,23.8,Other,3800,4001,3902,
Baran,08/02/2019,6.8,Other,3801,3975,3875,
Baran,09/02/2019,21.2,Other,3830,4040,3922,
Baran,11/02/2019,6.8,Other,3800,4014,3950,
Baran,12/02/2019,12.7,Other,3800,3959,3900,
Baran,13/02/2019,8, ,NR,NR,NR,
Baran,14/02/2019,25.5,Other,3780,3950,3901,
Baran,15/02/2019,6.8,Other,3690,3999,3967,
Baran,16/02/2019,6.8,Other,3774,4024,3925,
Baran,18/02/2019,8.5,Other,3734,3992,3900,
Baran,19/02/2019,5.9,Other,3800,4000,3964,
Baran,20/02/2019,8.5,Other,3851,3986,3951,
Baran,21/02/2019,8.6,Other,3745,3967,3820,
Baran,22/02/2019,9.3,Other,3800,3957,3900,
Baran,23/02/2019,4.2,Other,3680,3886,3799,
Baran,25/02/2019,34,Other,3500,3878,3700,
Baran,26/02/2019,85,Other,3600,3841,3711,
Baran,27/02/2019,9.3,Other,3700,3901,3750,
