Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Aklera,01/05/2019,15,Other,3886,3946,3916,
Aklera,02/05/2019,18,Other,3612,3951,3782,
Aklera,03/05/2019,15,Other,3790,3900,3845,
Aklera,04/05/2019,16,Other,3850,3990,3920,
Aklera,06/05/2019,13,Other,3800,3935,3867,
Aklera,07/05/2019,10,Other,3850,3970,3910,
Aklera,08/05/2019,15,Other,3800,3967,3883,
Aklera,09/05/2019,8,Other,3896,4080,3988,
Aklera,10/05/2019,20,Other,4100,4199,4150,
Aklera,11/05/2019,12,Other,4000,4100,4050,
Aklera,13/05/2019,20,Other,4050,4142,4096,
Aklera,14/05/2019,15,Other,4000,4100,4050,
Aklera,15/05/2019,10,Other,4060,4100,4080,
Aklera,16/05/2019,15,Other,4050,4215,4132,
Aklera,17/05/2019,30,Other,4100,4230,4165,
Aklera,18/05/2019,35,Other,4001,4215,4108,
Aklera,20/05/2019,20,Other,4250,4315,4282,
Aklera,21/05/2019,35,Other,4150,4305,4227,
Aklera,22/05/2019,20,Other,4250,4320,4285,
Aklera,23/05/2019,20, ,NR,NR,NR,
Aklera,24/05/2019,12.5,Other,4200,4315,4258,
Aklera,25/05/2019,10,Other,4170,4222,4196,
Aklera,27/05/2019,10,Other,4000,4100,4050,
Aklera,28/05/2019,20,Other,4050,4149,4100,
Aklera,29/05/2019,30,Other,4050,4140,4095,
Aklera,30/05/2019,25,Other,4080,4150,4115,
Aklera,31/05/2019,20,Other,4085,4209,4147,
Alwar,01/05/2019,24.7,Other,4040,4075,4060,
Alwar,02/05/2019,33.1,Other,4050,4075,4065,
Alwar,07/05/2019,67.6,Other,4000,4100,4075,
Alwar,08/05/2019,38.2,Other,4050,4100,4075,
Alwar,09/05/2019,33.8,Other,4150,4200,4175,
Alwar,10/05/2019,29.3,Other,4200,4250,4225,
Alwar,11/05/2019,24.4,Other,4200,4250,4225,
Alwar,13/05/2019,6.8,Other,4200,4250,4225,
Alwar,14/05/2019,18.3,Other,4200,4250,4225,
Alwar,15/05/2019,9.9,Other,4200,4250,4225,
Alwar,16/05/2019,9.5,Other,4260,4310,4285,
Alwar,17/05/2019,28.4,Other,4250,4300,4275,
Alwar,18/05/2019,13.1,Other,4250,4300,4275,
Alwar,20/05/2019,37.8,Other,4300,4350,4325,
Alwar,21/05/2019,15.8,Other,4300,4375,4350,
Alwar,22/05/2019,13.4,Other,4340,4400,4370,
Alwar,23/05/2019,40.4,Other,4325,4375,4350,
Alwar,24/05/2019,24.8,Other,4350,4415,4385,
Alwar,25/05/2019,33.8,Other,4325,4380,4355,
