Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Palamaner,01/09/2018,6,Cauliflower,500,1200,800,
Palamaner,02/09/2018,3.34,Cauliflower,400,1000,700,
Palamaner,03/09/2018,6,Cauliflower,400,1000,700,
Palamaner,04/09/2018,7.8,Cauliflower,500,1500,1000,
Palamaner,05/09/2018,11.87,Cauliflower,300,1500,900,
Palamaner,06/09/2018,8.31,Cauliflower,500,1300,900,
Palamaner,07/09/2018,3.35,Cauliflower,500,1200,800,
Palamaner,08/09/2018,9.4,Cauliflower,500,1000,750,
Palamaner,09/09/2018,6.33,Cauliflower,500,1000,750,
Palamaner,10/09/2018,3.27,Cauliflower,200,700,500,
Palamaner,11/09/2018,10.5,Cauliflower,500,1000,750,
Palamaner,13/09/2018,6.1, ,NR,NR,NR,
Palamaner,14/09/2018,1.53,Cauliflower,300,800,500,
Palamaner,15/09/2018,6.65,Cauliflower,200,500,350,
Palamaner,16/09/2018,8.77,Cauliflower,200,500,350,
Palamaner,17/09/2018,16.64,Cauliflower,500,1000,750,
Palamaner,18/09/2018,16.23,Cauliflower,200,700,400,
Palamaner,19/09/2018,7.1,Cauliflower,500,1000,750,
Palamaner,20/09/2018,17.75,Cauliflower,300,700,500,
Palamaner,21/09/2018,19.32, ,NR,NR,NR,
Palamaner,22/09/2018,8.6,Cauliflower,300,1000,700,
Palamaner,23/09/2018,5.96,Cauliflower,300,1000,700,
Palamaner,24/09/2018,7.33, ,NR,NR,NR,
Palamaner,25/09/2018,5.82,Cauliflower,300,700,500,
Palamaner,26/09/2018,8.28,Cauliflower,300,700,500,
Palamaner,27/09/2018,12.23,Cauliflower,300,700,500,
Palamaner,28/09/2018,7.17,Cauliflower,300,700,500,
Palamaner,29/09/2018,4.78,Cauliflower,300,700,500,
Palamaner,30/09/2018,9.8,Cauliflower,400,800,600,
