Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Bhuntar,03/02/2020,0.9,Other,2000,2100,2050,
Bhuntar,06/02/2020,0.8,Other,1800,2000,1900,
Bhuntar,07/02/2020,0.7,Other,2000,2200,2100,
Bhuntar,09/02/2020,0.5,Other,2300,2400,2350,
Bhuntar,10/02/2020,1,Other,2300,2400,2350,
Bhuntar,11/02/2020,0.9,Other,2400,2500,2450,
Bhuntar,12/02/2020,1,Other,2200,2400,2300,
Bhuntar,13/02/2020,0.8,Other,2200,2500,2400,
Bhuntar,14/02/2020,0.8,Other,2000,2200,2150,
Bhuntar,16/02/2020,0.6,Other,1500,2000,1800,
Bhuntar,17/02/2020,0.6,Other,2000,2100,2050,
Bhuntar,18/02/2020,0.9,Other,1600,1700,1650,
Bhuntar,19/02/2020,1,Other,1500,1600,1550,
Bhuntar,20/02/2020,0.9,Other,1200,1600,1400,
Bhuntar,21/02/2020,0.8,Other,1500,1600,1550,
Bhuntar,23/02/2020,0.9,Other,1200,1600,1400,
Bhuntar,24/02/2020,1,Other,1400,1600,1500,
Bhuntar,25/02/2020,0.8,Other,1200,1400,1300,
Bhuntar,26/02/2020,0.9,Other,1200,1400,1300,
Bhuntar,27/02/2020,0.8,Other,1300,1500,1400,
Bhuntar,28/02/2020,0.7,Other,1300,1500,1400,
Bilaspur,01/02/2020,0.7, ,NR,NR,NR,
Bilaspur,03/02/2020,0.2, ,NR,NR,NR,
Bilaspur,04/02/2020,0.4,Other,1000,1600,1300,
Bilaspur,05/02/2020,1.5,Other,1200,1800,1400,
Bilaspur,07/02/2020,0.3,Other,800,1500,1200,
Bilaspur,10/02/2020,0.5,Other,1200,1800,1400,
Bilaspur,11/02/2020,0.8,Other,1200,1600,1400,
Bilaspur,12/02/2020,0.5,Other,1200,1800,1400,
Bilaspur,13/02/2020,0.4,Other,1200,1800,1500,
Bilaspur,14/02/2020,0.3,Other,1000,1500,1200,
Bilaspur,15/02/2020,0.6,Other,1000,1600,1200,
Bilaspur,17/02/2020,0.2,Other,1000,1600,1400,
