Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Akhnoor,01/11/2018,1,Other,1000,1200,1100,
Akhnoor,02/11/2018,1,Other,800,900,850,
Akhnoor,03/11/2018,1,Other,1000,1200,1100,
Akhnoor,05/11/2018,2,Other,1500,1600,1550,
Akhnoor,06/11/2018,2,Other,800,900,850,
Akhnoor,08/11/2018,0.4,Other,2600,2700,2650,
Akhnoor,09/11/2018,2,Other,2000,2200,2100,
Akhnoor,10/11/2018,2,Other,1800,2000,1900,
Akhnoor,12/11/2018,2,Other,1500,1600,1550,
Akhnoor,13/11/2018,2,Other,1500,1600,1550,
Akhnoor,14/11/2018,1,Other,1500,1600,1550,
Akhnoor,15/11/2018,1,Other,1500,1700,1600,
Akhnoor,16/11/2018,0.6,Other,1800,2000,1900,
Akhnoor,17/11/2018,2,Other,1500,1700,1600,
Akhnoor,19/11/2018,2,Other,1500,1600,1550,
Akhnoor,20/11/2018,2,Other,1200,1300,1250,
Akhnoor,22/11/2018,2,Other,1200,1300,1250,
Akhnoor,23/11/2018,1,Other,1200,1400,1300,
Akhnoor,24/11/2018,1,Other,1200,1400,1300,
Akhnoor,26/11/2018,1,Other,1000,1200,1100,
Akhnoor,27/11/2018,2,Other,900,1000,950,
Akhnoor,28/11/2018,2,Other,1000,1200,1100,
Akhnoor,29/11/2018,2,Other,800,1000,900,
Batote,01/11/2018,0.4, ,NR,NR,NR,
Batote,02/11/2018,0.4, ,NR,NR,NR,
Batote,03/11/2018,0.4, ,NR,NR,NR,
Batote,05/11/2018,0.4, ,NR,NR,NR,
Batote,06/11/2018,0.4, ,NR,NR,NR,
Batote,07/11/2018,0.5, ,NR,NR,NR,
Batote,08/11/2018,0.4, ,NR,NR,NR,
Batote,09/11/2018,0.4, ,NR,NR,NR,
Batote,10/11/2018,0.4, ,NR,NR,NR,
Batote,11/11/2018,0.4, ,NR,NR,NR,
Batote,12/11/2018,0.4, ,NR,NR,NR,
Batote,13/11/2018,0.4, ,NR,NR,NR,
Batote,14/11/2018,0.5, ,NR,NR,NR,
Batote,15/11/2018,0.4, ,NR,NR,NR,
Batote,16/11/2018,0.4, ,NR,NR,NR,
Batote,17/11/2018,0.4, ,NR,NR,NR,
Batote,18/11/2018,0.4, ,NR,NR,NR,
Batote,19/11/2018,0.4, ,NR,NR,NR,
Batote,20/11/2018,0.4, ,NR,NR,NR,
Batote,21/11/2018,0.4, ,NR,NR,NR,
Batote,22/11/2018,0.4, ,NR,NR,NR,
Batote,23/11/2018,0.4, ,NR,NR,NR,
Batote,24/11/2018,0.4, ,NR,NR,NR,
Batote,25/11/2018,0.4, ,NR,NR,NR,
Batote,26/11/2018,0.4, ,NR,NR,NR,
Batote,27/11/2018,0.4, ,NR,NR,NR,
Batote,28/11/2018,0.4, ,NR,NR,NR,
Batote,29/11/2018,0.4, ,NR,NR,NR,
Batote,30/11/2018,0.4, ,NR,NR,NR,
Narwal Jammu (F&V),01/11/2018,55,Other,500,600,550,
Narwal Jammu (F&V),02/11/2018,60,Other,1100,1200,1150,
Narwal Jammu (F&V),03/11/2018,55,Other,1100,1200,1150,
Narwal Jammu (F&V),05/11/2018,60,Other,1100,1200,1150,
Narwal Jammu (F&V),08/11/2018,50,Other,1400,1500,1450,
Narwal Jammu (F&V),10/11/2018,60,Other,1400,1500,1450,
Narwal Jammu (F&V),12/11/2018,60,Other,1400,1500,1450,
Narwal Jammu (F&V),13/11/2018,60,Other,1000,1400,1200,
Narwal Jammu (F&V),14/11/2018,60,Other,1300,1400,1350,
Narwal Jammu (F&V),15/11/2018,60,Other,1300,1400,1350,
Narwal Jammu (F&V),16/11/2018,60,Other,1100,1200,1150,
Narwal Jammu (F&V),17/11/2018,60,Other,1400,1500,1450,
Narwal Jammu (F&V),19/11/2018,60,Other,1400,1500,1450,
Narwal Jammu (F&V),26/11/2018,20,Other,1500,1600,1550,
Narwal Jammu (F&V),27/11/2018,18,Other,1200,1600,1500,
Narwal Jammu (F&V),28/11/2018,20,Other,1200,1500,1200,
Narwal Jammu (F&V),29/11/2018,25,Other,1000,1200,1000,
Narwal Jammu (F&V),30/11/2018,20,Other,1200,1500,1200,
Parimpore,01/11/2018,36,Other,1300,1500,1400,
Parimpore,02/11/2018,36,Other,1200,1400,1300,
Parimpore,03/11/2018,45,Other,1200,1600,1400,
Parimpore,05/11/2018,18,Other,1300,1500,1400,
Parimpore,06/11/2018,9,Other,1400,1600,1500,
Parimpore,08/11/2018,27,Other,1800,2000,1900,
Parimpore,09/11/2018,27,Other,1800,2000,1900,
Parimpore,12/11/2018,27,Other,1200,1500,1350,
Parimpore,14/11/2018,27,Other,1300,1500,1400,
Parimpore,16/11/2018,18,Other,1500,1600,1550,
Parimpore,19/11/2018,36,Other,1400,1500,1450,
Parimpore,20/11/2018,45,Other,1800,2200,2000,
Parimpore,26/11/2018,27,Other,1500,1600,1550,
Parimpore,28/11/2018,45,Other,1400,1600,1500,
Parimpore,29/11/2018,36,Other,1000,1200,1100,
Parimpore,30/11/2018,27,Other,1000,1100,1050,
Rajouri (F&V),16/11/2018,0.8,Other,3400,3600,3500,
Rajouri (F&V),17/11/2018,1,Other,3400,3600,3500,
Rajouri (F&V),19/11/2018,1,Other,2900,3100,3000,
Rajouri (F&V),20/11/2018,1,Other,1900,2100,2000,
Rajouri (F&V),22/11/2018,1.2,Other,1900,2100,2000,
Rajouri (F&V),24/11/2018,1,Other,1900,2100,2000,
Rajouri (F&V),26/11/2018,1,Other,1900,2100,2000,
Rajouri (F&V),28/11/2018,0.9,Other,1900,2100,2000,
Rajouri (F&V),29/11/2018,1.2,Other,2200,2400,2300,
Rajouri (F&V),30/11/2018,0.8,Other,1900,2100,2000,
Reasi,05/11/2018,0.5,Other,2000,3000,2500,
Reasi,06/11/2018,0.5,Other,2000,3000,2500,
Reasi,07/11/2018,0.5,Other,3000,3500,3250,
Reasi,08/11/2018,0.5,Other,2000,3000,2500,
Reasi,09/11/2018,0.5,Other,2000,3000,2500,
Reasi,10/11/2018,0.4,Other,2000,3000,2500,
Reasi,12/11/2018,0.5,Other,2000,3000,2500,
Reasi,13/11/2018,0.5,Other,1500,1900,1700,
Reasi,14/11/2018,0.5,Other,1600,2000,1800,
Reasi,15/11/2018,0.4,Other,1500,2000,1750,
Reasi,16/11/2018,0.5,Other,1600,2000,1800,
Reasi,17/11/2018,0.5,Other,1500,2000,1750,
Reasi,19/11/2018,0.5,Other,1600,2000,1800,
Reasi,20/11/2018,0.5,Other,1600,2000,1800,
Reasi,21/11/2018,0.4,Other,1800,2200,2000,
Reasi,22/11/2018,0.5,Other,1600,2000,1800,
Reasi,23/11/2018,0.5,Other,1000,1400,1200,
Reasi,24/11/2018,0.5,Other,1000,1500,1250,
Reasi,26/11/2018,0.5,Other,1500,2000,1750,
Reasi,27/11/2018,0.5,Other,1400,1800,1600,
Reasi,28/11/2018,0.5,Other,1600,2000,1800,
Reasi,29/11/2018,0.5,Other,1400,1800,1600,
Reasi,30/11/2018,0.6,Other,1400,1800,1600,
Samba,01/11/2018,1.7,Cauliflower,1200,1600,1400,
Samba,02/11/2018,2,Cauliflower,1300,1500,1400,
Samba,03/11/2018,1.8,Cauliflower,1400,1600,1500,
Samba,05/11/2018,2,Cauliflower,1400,1500,1450,
Samba,24/11/2018,3.2,Cauliflower,1100,1600,1350,
Samba,26/11/2018,3.5,Cauliflower,1000,1500,1250,
Samba,27/11/2018,3.4,Cauliflower,1000,1200,1100,
Samba,28/11/2018,3,Cauliflower,1000,1500,1250,
Samba,29/11/2018,3.5,Cauliflower,900,1100,1000,
Udhampur,04/11/2018,5,Other,1500,2000,1750,
Udhampur,06/11/2018,5,Other,1500,2000,1750,
Udhampur,08/11/2018,5,Other,1500,2000,1750,
Udhampur,09/11/2018,5,Other,1500,2500,2000,
Udhampur,10/11/2018,5,Other,1500,NR,2000,
Udhampur,13/11/2018,6,Other,1500,2000,1750,
Udhampur,15/11/2018,5,Other,1500,2000,1750,
Udhampur,16/11/2018,5,Other,1500,2000,1750,
Udhampur,17/11/2018,5,Other,1500,2000,1750,
Udhampur,19/11/2018,5,Other,1500,2000,1750,
Udhampur,20/11/2018,6,Other,1200,1600,1400,
Udhampur,22/11/2018,5,Other,1200,1600,1400,
Udhampur,27/11/2018,5,Other,1200,1500,1400,
Udhampur,28/11/2018,5,Other,1200,1600,1400,
Udhampur,29/11/2018,5,Other,1200,1600,1400,
Udhampur,30/11/2018,5,Other,1200,1600,1400,
