Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Akhnoor,08/04/2020,1,Other,1100,1200,1150,
Akhnoor,09/04/2020,0.5,Other,1400,1500,1450,
Akhnoor,10/04/2020,1,Other,1500,1600,1550,
Akhnoor,11/04/2020,1,Other,1400,1600,1500,
Akhnoor,15/04/2020,1,Other,1000,1200,1100,
Akhnoor,16/04/2020,1,Other,1000,1200,1100,
Akhnoor,17/04/2020,1,Other,1000,1200,1100,
Akhnoor,18/04/2020,0.5,Other,1400,1500,1450,
Akhnoor,20/04/2020,1,Other,1000,1200,1100,
Akhnoor,25/04/2020,1,Other,1000,1200,1100,
Akhnoor,27/04/2020,1,Other,1000,1200,1100,
Akhnoor,28/04/2020,1,Other,900,1000,950,
Batote,07/04/2020,0.4, ,NR,NR,NR,
Batote,09/04/2020,0.4, ,NR,NR,NR,
Batote,10/04/2020,0.3, ,NR,NR,NR,
Batote,11/04/2020,0.4, ,NR,NR,NR,
Batote,12/04/2020,0.4, ,NR,NR,NR,
Batote,13/04/2020,0.4, ,NR,NR,NR,
Batote,14/04/2020,0.5, ,NR,NR,NR,
Batote,15/04/2020,0.4, ,NR,NR,NR,
Batote,16/04/2020,0.4, ,NR,NR,NR,
Batote,17/04/2020,0.4, ,NR,NR,NR,
Batote,18/04/2020,0.3,Other,1600,2000,1800,
Batote,20/04/2020,0.4, ,NR,NR,NR,
Batote,21/04/2020,0.4, ,NR,NR,NR,
Batote,22/04/2020,0.4, ,NR,NR,NR,
Batote,23/04/2020,0.4, ,NR,NR,NR,
Batote,24/04/2020,0.4, ,NR,NR,NR,
Batote,25/04/2020,0.4, ,NR,NR,NR,
Batote,27/04/2020,0.3, ,NR,NR,NR,
Batote,28/04/2020,0.4,Other,1600,1800,1700,
Kathua,01/04/2020,2.5,Other,1500,1800,1650,
Kathua,03/04/2020,2,Other,1000,1200,1100,
Kathua,04/04/2020,2,Other,1800,2000,1900,
Kathua,07/04/2020,2,Other,1500,2000,1750,
Kathua,08/04/2020,1.8,Other,1500,2000,1750,
Kathua,09/04/2020,1.9,Other,1500,1800,1650,
Kathua,10/04/2020,2.2,Other,1600,1800,1700,
Kathua,11/04/2020,1.5,Other,1800,2000,1900,
Kathua,13/04/2020,1.9,Other,1400,1600,1500,
Kathua,14/04/2020,1.9, ,NR,NR,NR,
Kathua,15/04/2020,2.3,Other,1500,1800,1650,
Kathua,16/04/2020,2.4,Other,1400,1600,1500,
Kathua,17/04/2020,2.3,Other,1400,1600,1500,
Kathua,18/04/2020,2.3,Other,1500,1700,1600,
Kathua,20/04/2020,2.4,Other,1500,1700,1600,
Kathua,21/04/2020,2.3,Other,900,1000,950,
Kathua,22/04/2020,2.7,Other,900,1000,950,
Kathua,23/04/2020,2.4,Other,1100,1200,1150,
Kathua,24/04/2020,2.3,Other,800,1000,900,
Kathua,25/04/2020,1.8,Other,1100,1200,1150,
Kathua,27/04/2020,2.4,Other,900,1000,950,
Kathua,28/04/2020,2.3,Other,900,1000,950,
Narwal Jammu (F&V),03/04/2020,45,Other,1600,2000,1800,
Narwal Jammu (F&V),04/04/2020,44,Other,1500,1900,1700,
Narwal Jammu (F&V),06/04/2020,38,Other,1300,1500,1400,
Narwal Jammu (F&V),07/04/2020,41,Other,1200,1400,1300,
Narwal Jammu (F&V),08/04/2020,34,Other,1200,1500,1350,
Narwal Jammu (F&V),09/04/2020,38,Other,1300,1700,1500,
Narwal Jammu (F&V),10/04/2020,41,Other,1200,1600,1400,
Narwal Jammu (F&V),11/04/2020,52,Other,1000,1200,1100,
Narwal Jammu (F&V),13/04/2020,52,Other,1000,1300,1150,
Narwal Jammu (F&V),14/04/2020,48,Other,600,800,700,
Narwal Jammu (F&V),15/04/2020,52,Other,600,800,700,
Narwal Jammu (F&V),16/04/2020,52,Other,600,800,700,
Narwal Jammu (F&V),17/04/2020,52,Other,600,800,700,
Narwal Jammu (F&V),18/04/2020,48,Other,500,700,600,
Narwal Jammu (F&V),20/04/2020,52,Other,600,800,700,
Narwal Jammu (F&V),21/04/2020,51,Other,500,700,600,
Narwal Jammu (F&V),22/04/2020,47,Other,600,800,700,
Narwal Jammu (F&V),23/04/2020,53,Other,400,600,500,
Narwal Jammu (F&V),24/04/2020,52,Other,500,700,600,
Narwal Jammu (F&V),25/04/2020,48,Other,600,800,700,
Narwal Jammu (F&V),27/04/2020,41,Other,700,900,800,
Narwal Jammu (F&V),28/04/2020,350,Other,1000,1200,1100,
Parimpore,04/04/2020,36,Other,2400,2800,2600,
Parimpore,07/04/2020,54,Other,2400,2600,2500,
Parimpore,08/04/2020,18,Other,2000,2400,2200,
Parimpore,09/04/2020,54,Other,2600,3000,2800,
Parimpore,10/04/2020,9,Other,2600,2800,2700,
Parimpore,11/04/2020,18,Other,1800,2200,2000,
Parimpore,13/04/2020,36,Other,2500,2800,2650,
Parimpore,14/04/2020,18,Other,1400,1500,1450,
Parimpore,15/04/2020,9,Other,1600,1800,1700,
Parimpore,16/04/2020,27,Other,1500,2000,1750,
Parimpore,17/04/2020,18,Other,2000,2400,2200,
Parimpore,18/04/2020,1,Other,2000,2300,2150,
Parimpore,20/04/2020,18,Other,2000,2500,2250,
Parimpore,21/04/2020,36,Other,2000,2500,2250,
Parimpore,22/04/2020,36,Other,2000,2200,2100,
Parimpore,23/04/2020,27,Other,1500,2000,1750,
Parimpore,24/04/2020,45,Other,1500,2000,1750,
Parimpore,25/04/2020,72,Other,1500,2000,1750,
Parimpore,27/04/2020,45,Other,1500,1800,1650,
Parimpore,28/04/2020,36,Other,1500,2000,1750,
Rajouri (F&V),10/04/2020,2,Other,1200,1800,1500,
Rajouri (F&V),11/04/2020,2,Other,1300,1500,1400,
Rajouri (F&V),13/04/2020,3,Other,1800,2200,2000,
Rajouri (F&V),15/04/2020,3, ,NR,NR,NR,
Rajouri (F&V),17/04/2020,3,Other,1800,2200,2000,
Rajouri (F&V),21/04/2020,4,Other,800,1200,1000,
Rajouri (F&V),23/04/2020,2,Other,1200,1400,1300,
Rajouri (F&V),24/04/2020,2,Other,1200,1400,1300,
Rajouri (F&V),25/04/2020,3,Other,1200,1400,1300,
Rajouri (F&V),28/04/2020,2,Other,1250,1450,1350,
Udhampur,07/04/2020,3.1,Other,1500,3500,1500,
Udhampur,08/04/2020,3.1,Other,1400,3500,1400,
Udhampur,10/04/2020,2, ,NR,NR,NR,
