Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Betul,01/08/2018,0.1,African Sarson,4000,5000,4500,
Betul,05/08/2018,0.9,African Sarson,1500,2500,2000,
Betul,07/08/2018,0.4,African Sarson,4000,5000,4500,
Betul,12/08/2018,0.4,African Sarson,4000,5000,4500,
Bhopal(F&V),01/08/2018,8,Other,1000,1500,1200,
Bhopal(F&V),02/08/2018,14,Other,800,1200,1000,
Bhopal(F&V),03/08/2018,5,Other,800,1200,1000,
Bhopal(F&V),07/08/2018,3,Other,800,1200,1000,
Bhopal(F&V),08/08/2018,12.5,Other,800,1200,1000,
Bhopal(F&V),09/08/2018,2,Other,800,1200,1000,
Bhopal(F&V),10/08/2018,13,Other,800,1200,1000,
Bhopal(F&V),11/08/2018,18.5,Other,800,1200,1000,
Bhopal(F&V),12/08/2018,3,Other,800,1200,1000,
Bhopal(F&V),14/08/2018,10,Other,800,1200,1000,
Bhopal(F&V),15/08/2018,16.1,Other,800,1200,1000,
Bhopal(F&V),16/08/2018,5,Other,800,1200,1000,
Bhopal(F&V),17/08/2018,33,Other,800,1200,1000,
Bhopal(F&V),20/08/2018,6.5,Other,800,1200,1000,
Bhopal(F&V),22/08/2018,17,Other,800,1200,1000,
Bhopal(F&V),23/08/2018,4,Other,800,1200,1000,
Bhopal(F&V),25/08/2018,7.5,Other,800,1200,1000,
Bhopal(F&V),27/08/2018,10.3,Other,800,1200,1000,
Bhopal(F&V),28/08/2018,15.5,Other,800,1200,1000,
Bhopal(F&V),31/08/2018,5,Other,800,1200,1000,
Burhanpur(F&V),01/08/2018,0.3,Local,600,1000,700,
Burhanpur(F&V),02/08/2018,0.2,Local,500,1000,800,
Burhanpur(F&V),03/08/2018,0.2,Local,500,800,700,
Burhanpur(F&V),04/08/2018,0.2,Local,500,1000,800,
Burhanpur(F&V),05/08/2018,0.2,Local,600,1000,800,
Burhanpur(F&V),06/08/2018,0.1,Local,800,1200,1000,
Burhanpur(F&V),07/08/2018,0.3,Local,600,1000,800,
Burhanpur(F&V),08/08/2018,0.3,Local,700,1000,800,
Burhanpur(F&V),09/08/2018,0.3,Local,700,1200,1000,
Burhanpur(F&V),10/08/2018,0.2,Local,1200,2000,1400,
Burhanpur(F&V),11/08/2018,0.2,Local,800,1500,1000,
Burhanpur(F&V),12/08/2018,0.2,Local,1000,2000,1500,
Burhanpur(F&V),13/08/2018,0.2,Local,500,800,600,
Burhanpur(F&V),14/08/2018,0.2,Local,1000,1500,1200,
Burhanpur(F&V),15/08/2018,0.2,Local,700,1200,1000,
Burhanpur(F&V),16/08/2018,0.1,Local,1200,1800,1500,
Burhanpur(F&V),17/08/2018,0.3,Local,800,1200,1000,
Burhanpur(F&V),18/08/2018,0.4,Local,600,1000,800,
Burhanpur(F&V),19/08/2018,0.3,Local,800,1200,1000,
Burhanpur(F&V),20/08/2018,0.4,Local,500,800,600,
Burhanpur(F&V),21/08/2018,0.2,Local,800,1200,1000,
Burhanpur(F&V),23/08/2018,0.2,Local,500,1200,700,
Burhanpur(F&V),24/08/2018,0.2, ,NR,NR,NR,
Burhanpur(F&V),25/08/2018,0.6,Local,600,1000,800,
Burhanpur(F&V),26/08/2018,0.3,Local,2000,3000,2000,
Burhanpur(F&V),27/08/2018,0.3,Local,600,1000,800,
Burhanpur(F&V),28/08/2018,0.2,Local,600,800,700,
Burhanpur(F&V),29/08/2018,0.3,Local,1200,2000,1500,
Burhanpur(F&V),30/08/2018,0.4,Local,500,800,700,
Burhanpur(F&V),31/08/2018,0.8,Local,500,800,600,
Chhindwara(F&V),01/08/2018,0.3,Other,400,600,500,
Chhindwara(F&V),02/08/2018,4.64,Other,500,700,600,
Chhindwara(F&V),03/08/2018,0.2,Other,400,600,500,
Chhindwara(F&V),04/08/2018,0.24,Other,400,600,500,
Chhindwara(F&V),05/08/2018,2.24,Other,400,600,500,
Chhindwara(F&V),07/08/2018,0.4,Other,400,600,500,
Chhindwara(F&V),08/08/2018,2.4,Other,600,1100,1000,
Chhindwara(F&V),09/08/2018,4.8,Other,400,600,500,
Chhindwara(F&V),10/08/2018,0.5,Other,400,600,500,
Chhindwara(F&V),11/08/2018,11.2,Other,400,600,500,
Chhindwara(F&V),12/08/2018,8.4,Other,400,600,450,
Chhindwara(F&V),14/08/2018,7.6,Other,400,500,450,
Chhindwara(F&V),15/08/2018,5.2,Other,400,600,500,
Chhindwara(F&V),16/08/2018,4.4,Other,400,500,450,
Chhindwara(F&V),24/08/2018,0.4,Other,400,600,500,
Chhindwara(F&V),25/08/2018,2.3,Other,500,700,600,
Chhindwara(F&V),26/08/2018,1,Other,400,600,500,
Chhindwara(F&V),28/08/2018,0.9,Other,400,600,500,
Chhindwara(F&V),29/08/2018,1.4,Other,500,700,600,
Chhindwara(F&V),30/08/2018,0.4,Other,400,600,500,
Dewas(F&V),01/08/2018,0.3,Other,950,1450,1200,
Dewas(F&V),02/08/2018,0.2,Other,1050,1350,1200,
Dewas(F&V),03/08/2018,0.2,Other,900,1100,1000,
Dewas(F&V),04/08/2018,0.4,Other,800,1000,900,
Dewas(F&V),05/08/2018,0.2,Other,950,1250,1100,
Dewas(F&V),06/08/2018,0.6,Other,950,1350,1150,
Dewas(F&V),07/08/2018,0.6,Other,850,1050,950,
Dewas(F&V),08/08/2018,0.5,Other,1000,1200,1100,
Dewas(F&V),09/08/2018,0.3,Other,1150,1350,1250,
Dewas(F&V),10/08/2018,0.4,Other,900,1200,1050,
Dewas(F&V),11/08/2018,0.2,Other,1100,1300,1200,
Dewas(F&V),12/08/2018,0.6,Other,800,1000,900,
Dewas(F&V),13/08/2018,0.4,Other,950,1250,1100,
Dewas(F&V),14/08/2018,0.5,Other,1050,1350,1200,
Dewas(F&V),15/08/2018,0.2,Other,1100,1400,1250,
Dewas(F&V),16/08/2018,0.3,Other,1000,1400,1200,
Dewas(F&V),17/08/2018,0.8,Other,1500,2000,1700,
Dewas(F&V),18/08/2018,0.8,Other,1000,2000,1500,
Dewas(F&V),19/08/2018,0.3,Other,800,1500,900,
Dewas(F&V),20/08/2018,0.3,Other,700,1200,900,
Dewas(F&V),21/08/2018,0.3,Other,900,1500,1000,
Dewas(F&V),22/08/2018,0.5,Other,700,1000,800,
Dewas(F&V),23/08/2018,0.6,Other,900,1500,1000,
Dewas(F&V),24/08/2018,0.1,Other,900,1500,1000,
Dewas(F&V),25/08/2018,0.4,Other,600,1700,1200,
Dewas(F&V),26/08/2018,0.6,Other,800,1200,900,
Dhamnod,02/08/2018,0.7,Other,700,820,750,
Dhamnod,04/08/2018,0.3,Other,700,800,750,
Dhamnod,05/08/2018,0.7,Other,600,700,650,
Dhamnod,06/08/2018,0.4,Other,600,800,700,
Dhamnod,07/08/2018,0.4,Other,600,800,650,
Dhamnod,08/08/2018,0.4,Other,600,800,700,
Dhamnod,09/08/2018,0.5,Other,600,700,650,
Dhamnod,10/08/2018,0.4,Other,600,800,700,
Dhamnod,11/08/2018,1.1,Other,700,800,750,
Dhamnod,12/08/2018,0.3,Other,600,800,700,
Dhamnod,13/08/2018,0.5,Other,600,800,700,
Dhamnod,14/08/2018,0.5,Other,800,1000,900,
Dhamnod,15/08/2018,0.5,Other,800,1000,900,
Dhamnod,16/08/2018,0.5,Other,800,1000,900,
Dhamnod,17/08/2018,2.7,Other,500,800,605,
Dhamnod,18/08/2018,2,Other,500,700,600,
Dhamnod,19/08/2018,1.9,Other,500,700,600,
Dhamnod,20/08/2018,1.6,Other,500,700,600,
Dhamnod,21/08/2018,1.5,Other,500,700,600,
Dhamnod,22/08/2018,1,Other,500,700,600,
Dhamnod,23/08/2018,0.55,Other,500,700,600,
Dhamnod,24/08/2018,1.2,Other,400,800,650,
Dhamnod,25/08/2018,1,Other,500,600,550,
Dhamnod,26/08/2018,0.6,Other,800,1000,900,
Dhamnod,27/08/2018,0.57,Other,500,700,600,
Dhamnod,28/08/2018,0.5,Other,500,700,600,
Dhamnod,29/08/2018,1,Other,600,800,700,
Dhamnod,30/08/2018,1.5,Other,600,700,650,
Dhamnod,31/08/2018,0.9,Other,600,711,650,
Haatpipliya,01/08/2018,0.03,Cauliflower,1200,1800,1500,
Haatpipliya,02/08/2018,0.04,Cauliflower,1000,1500,1250,
Haatpipliya,03/08/2018,0.08,Cauliflower,1000,1400,1200,
Haatpipliya,04/08/2018,0.1,Cauliflower,900,1200,1050,
Haatpipliya,05/08/2018,0.04,Cauliflower,1000,1500,1250,
Haatpipliya,06/08/2018,0.07,Cauliflower,1000,2000,1500,
Haatpipliya,07/08/2018,0.07,Cauliflower,1200,1800,1500,
Haatpipliya,08/08/2018,0.03,Cauliflower,1200,1700,1450,
Haatpipliya,09/08/2018,0.1,Cauliflower,800,1200,1000,
Haatpipliya,10/08/2018,0.08,Cauliflower,1200,1500,1350,
Haatpipliya,11/08/2018,0.07,Cauliflower,1200,1500,1350,
Haatpipliya,12/08/2018,0.04,Cauliflower,1000,1500,1250,
Haatpipliya,13/08/2018,0.07,Cauliflower,1200,1600,1400,
Haatpipliya,14/08/2018,0.08,Cauliflower,1000,1400,1200,
Haatpipliya,15/08/2018,0.04,Cauliflower,1000,1400,1200,
Haatpipliya,16/08/2018,0.04,Cauliflower,1000,1300,1150,
Haatpipliya,17/08/2018,0.08,Cauliflower,1000,1400,1200,
Haatpipliya,18/08/2018,0.08,Cauliflower,1000,1500,1250,
Haatpipliya,19/08/2018,0.04,Cauliflower,1000,1500,1250,
Haatpipliya,20/08/2018,0.07,Cauliflower,1200,1500,1350,
Haatpipliya,22/08/2018,0.18,Cauliflower,700,1000,850,
Haatpipliya,23/08/2018,0.14,Cauliflower,600,800,700,
Haatpipliya,24/08/2018,0.12,Cauliflower,500,1200,850,
Haatpipliya,25/08/2018,0.06,Cauliflower,600,1200,900,
Haatpipliya,27/08/2018,0.13,Cauliflower,600,900,750,
Haatpipliya,28/08/2018,0.13,Cauliflower,700,900,850,
Haatpipliya,29/08/2018,0.15,Cauliflower,500,800,650,
Haatpipliya,30/08/2018,0.13,Cauliflower,600,1000,800,
Haatpipliya,31/08/2018,0.12,Cauliflower,700,1000,850,
Harda(F&V),02/08/2018,0.2,Other,2000,2200,2100,
Harda(F&V),03/08/2018,0.3,Other,2100,2300,2200,
Harda(F&V),04/08/2018,0.3,Other,2100,2300,2200,
Harda(F&V),05/08/2018,0.5,Other,1300,1500,1400,
Harda(F&V),06/08/2018,0.4,Other,800,1000,900,
Harda(F&V),07/08/2018,0.3,Other,1400,1600,1500,
Harda(F&V),08/08/2018,0.2,Other,900,1200,1000,
Harda(F&V),09/08/2018,0.3,Other,1000,1200,1100,
Harda(F&V),10/08/2018,0.3,Other,2000,2200,2100,
Harda(F&V),11/08/2018,0.2,Other,1500,2000,1700,
Harda(F&V),12/08/2018,0.2,Other,1200,1400,1300,
Harda(F&V),13/08/2018,0.3,Other,1000,1200,1100,
Harda(F&V),17/08/2018,0.4,Other,1000,1200,1100,
Harda(F&V),18/08/2018,0.3,Other,500,700,600,
Harda(F&V),19/08/2018,0.4,Other,600,800,700,
Harda(F&V),20/08/2018,0.3,Other,700,900,800,
