Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Betul,02/01/2018,1.6,African Sarson,1500,2000,1700,
Betul,03/01/2018,1.1,African Sarson,1500,2000,1700,
Betul,04/01/2018,2.5,African Sarson,1500,2000,1700,
Betul,05/01/2018,1.1,African Sarson,1500,2000,1700,
Betul,06/01/2018,1.4,African Sarson,1500,2000,1700,
Betul,09/01/2018,1.4,African Sarson,1500,2000,1700,
Betul,10/01/2018,0.5,African Sarson,1500,2000,1700,
Betul,11/01/2018,1.8,African Sarson,2500,3000,2800,
Betul,12/01/2018,1.1,African Sarson,2500,3000,2800,
Betul,13/01/2018,3.6,African Sarson,1000,1200,1100,
Betul,16/01/2018,5.2,African Sarson,2500,3000,2700,
Betul,17/01/2018,2.8,African Sarson,2000,2500,2200,
Betul,18/01/2018,2.6,African Sarson,2000,2500,2200,
Betul,19/01/2018,2,African Sarson,2000,2500,2200,
Betul,24/01/2018,2.2,African Sarson,500,700,600,
Betul,25/01/2018,3.7,African Sarson,700,1000,800,
Betul,30/01/2018,6.4,African Sarson,1000,1200,1100,
Bhopal(F&V),01/01/2018,1.5,Other,1000,1500,1200,
Bhopal(F&V),02/01/2018,1.5,Other,1000,1500,1200,
Bhopal(F&V),04/01/2018,3,Other,800,1200,1000,
Bhopal(F&V),10/01/2018,15,Other,800,1200,1000,
Bhopal(F&V),11/01/2018,1.5,Other,1000,1500,1200,
Bhopal(F&V),12/01/2018,7,Other,800,1200,1000,
Bhopal(F&V),13/01/2018,5.7,Other,800,1200,1000,
Bhopal(F&V),14/01/2018,5,Other,800,1200,1000,
Bhopal(F&V),15/01/2018,10,Other,800,1200,1000,
Bhopal(F&V),16/01/2018,21,Other,400,800,500,
Bhopal(F&V),17/01/2018,5.6,Other,500,900,600,
Bhopal(F&V),18/01/2018,19.2,Other,700,1300,900,
Bhopal(F&V),20/01/2018,9.7,Other,800,1200,1000,
Bhopal(F&V),21/01/2018,19.7,Other,800,1200,1000,
Bhopal(F&V),24/01/2018,5,Other,400,600,500,
Bhopal(F&V),25/01/2018,4,Other,400,800,600,
Bhopal(F&V),26/01/2018,4,Other,400,600,500,
Bhopal(F&V),27/01/2018,7,Other,400,600,500,
Bhopal(F&V),28/01/2018,28.3,Other,400,600,500,
Bhopal(F&V),29/01/2018,10.6,Other,400,600,500,
Bhopal(F&V),30/01/2018,7.3,Other,400,600,500,
Burhanpur(F&V),01/01/2018,0.2,Local,1200,2000,1500,
Burhanpur(F&V),02/01/2018,0.3,Local,2000,3000,2000,
Burhanpur(F&V),03/01/2018,0.2,Local,2000,3000,2500,
Burhanpur(F&V),04/01/2018,0.2,Local,2000,3000,2500,
Burhanpur(F&V),05/01/2018,0.2,Local,2000,3000,2000,
Burhanpur(F&V),06/01/2018,0.1,Local,2000,3000,2000,
Burhanpur(F&V),07/01/2018,0.2,Local,3000,4000,3500,
Burhanpur(F&V),08/01/2018,0.1,Local,3000,4000,3500,
Burhanpur(F&V),09/01/2018,0.3,Local,1000,3000,2000,
Burhanpur(F&V),10/01/2018,0.1,Local,2000,4000,3000,
Burhanpur(F&V),11/01/2018,0.1,Local,1000,2000,1500,
Burhanpur(F&V),12/01/2018,0.1,Local,2000,3000,2000,
Burhanpur(F&V),13/01/2018,0.2,Local,2000,3000,3000,
Burhanpur(F&V),14/01/2018,0.1,Local,2000,4000,3000,
Burhanpur(F&V),15/01/2018,0.1,Local,2000,4000,3000,
Burhanpur(F&V),16/01/2018,0.1,Local,2000,4000,3000,
Burhanpur(F&V),17/01/2018,0.1,Local,2000,4000,3000,
Burhanpur(F&V),18/01/2018,0.2,Local,2000,4000,3000,
Burhanpur(F&V),19/01/2018,0.1,Local,3000,4000,3500,
Burhanpur(F&V),20/01/2018,0.1,Local,2000,4000,3000,
Burhanpur(F&V),21/01/2018,0.2,Local,2000,4000,3000,
Burhanpur(F&V),22/01/2018,0.1,Local,2000,4000,3000,
Burhanpur(F&V),23/01/2018,0.3,Local,2000,4000,3000,
Burhanpur(F&V),24/01/2018,0.2,Local,3000,4000,3500,
Burhanpur(F&V),25/01/2018,0.3,Local,2000,4000,3000,
Burhanpur(F&V),27/01/2018,0.1,Local,2000,4000,3000,
Burhanpur(F&V),28/01/2018,0.2,Local,2000,4000,3000,
Burhanpur(F&V),29/01/2018,0.2,Local,3000,4000,3500,
Burhanpur(F&V),30/01/2018,0.2,Local,3000,4000,3500,
Burhanpur(F&V),31/01/2018,0.3,Local,2000,4000,3000,
Chhindwara(F&V),01/01/2018,5.6,Other,400,500,450,
Chhindwara(F&V),02/01/2018,3.2,Other,500,600,550,
Chhindwara(F&V),03/01/2018,7.5,Other,500,600,550,
Chhindwara(F&V),04/01/2018,3.3,Other,500,600,550,
Chhindwara(F&V),05/01/2018,2.2,Other,500,600,550,
Chhindwara(F&V),06/01/2018,5.6,Other,500,600,550,
Chhindwara(F&V),07/01/2018,2.4,Other,500,600,550,
Chhindwara(F&V),09/01/2018,0.8,Other,400,600,500,
Chhindwara(F&V),10/01/2018,2,Other,500,600,550,
Chhindwara(F&V),11/01/2018,1.8,Other,500,600,550,
Chhindwara(F&V),12/01/2018,3.3,Other,500,600,550,
Chhindwara(F&V),13/01/2018,1.8,Other,500,650,600,
Chhindwara(F&V),14/01/2018,5.3,Other,500,600,550,
Chhindwara(F&V),15/01/2018,2.9,Other,500,600,550,
Chhindwara(F&V),16/01/2018,7.2,Other,500,600,550,
Chhindwara(F&V),17/01/2018,4.2,Other,500,600,550,
Chhindwara(F&V),18/01/2018,11.8,Other,550,650,580,
Chhindwara(F&V),19/01/2018,7.1,Other,450,550,520,
Chhindwara(F&V),20/01/2018,19.3,Other,450,550,500,
Chhindwara(F&V),21/01/2018,8.7,Other,400,600,500,
Chhindwara(F&V),22/01/2018,10,Other,400,500,450,
