Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Bishenpur,01/02/2018,0.5,Cauliflower,3800,4500,4000,
Bishenpur,02/02/2018,0.9,Cauliflower,3800,4500,4000,
Bishenpur,03/02/2018,0.8,Cauliflower,3300,4000,3500,
Bishenpur,05/02/2018,1,Cauliflower,3300,4000,3500,
Bishenpur,06/02/2018,0.9,Cauliflower,3300,4000,3500,
Bishenpur,07/02/2018,0.8,Cauliflower,3300,4000,3500,
Bishenpur,08/02/2018,1,Cauliflower,3300,4000,3500,
Bishenpur,09/02/2018,0.9,Cauliflower,3300,4000,3500,
Bishenpur,12/02/2018,0.8,Cauliflower,3300,4000,3500,
Bishenpur,13/02/2018,1,Cauliflower,3300,4000,3500,
Bishenpur,14/02/2018,0.9,Cauliflower,3300,4000,3500,
Bishenpur,16/02/2018,0.8,Cauliflower,3300,4000,3500,
Bishenpur,17/02/2018,1,Cauliflower,3300,4000,3500,
Bishenpur,19/02/2018,0.9,Cauliflower,3300,4000,3500,
Bishenpur,20/02/2018,1,Cauliflower,3300,4000,3500,
Bishenpur,22/02/2018,0.9,Cauliflower,3300,4000,3500,
Bishenpur,23/02/2018,1,Cauliflower,3300,4000,3500,
Bishenpur,24/02/2018,0.9,Cauliflower,3300,4000,3500,
Bishenpur,28/02/2018,1,Cauliflower,2800,3500,3000,
Imphal,01/02/2018,1.9,Other,NR,3500,3500,
Imphal,02/02/2018,2.3,Other,NR,3500,3500,
Imphal,03/02/2018,2.1,Other,NR,3500,3500,
Imphal,05/02/2018,2.5,Other,NR,3500,3500,
Imphal,06/02/2018,2.3,Other,NR,3500,3500,
Imphal,07/02/2018,2.1,Other,NR,3500,3500,
Imphal,08/02/2018,2.5,Other,NR,3500,3500,
Imphal,09/02/2018,2.3,Other,NR,3500,3500,
Imphal,12/02/2018,2.1,Other,NR,3500,3500,
Imphal,13/02/2018,2.5,Other,NR,3500,3500,
Imphal,14/02/2018,2.3,Other,NR,3000,3000,
Imphal,17/02/2018,2.5,Other,NR,3500,3500,
Imphal,19/02/2018,2.3,Other,NR,3500,3500,
Imphal,20/02/2018,2.1,Other,NR,3500,3500,
Imphal,21/02/2018,2.5,Other,NR,3500,3500,
Imphal,22/02/2018,2.3,Other,NR,3500,3500,
Imphal,23/02/2018,2.1,Other,NR,3000,3000,
Imphal,24/02/2018,2.5,Other,NR,2500,2500,
Imphal,28/02/2018,2.5,Other,NR,2500,2500,
Lamlong Bazaar,01/02/2018,0.8,Cauliflower,NR,3500,3500,
Lamlong Bazaar,02/02/2018,0.9,Cauliflower,NR,3500,3500,
Lamlong Bazaar,03/02/2018,1,Cauliflower,NR,3500,3500,
Lamlong Bazaar,05/02/2018,0.8,Cauliflower,NR,3500,3500,
Lamlong Bazaar,06/02/2018,0.8,Cauliflower,NR,3500,3500,
Lamlong Bazaar,07/02/2018,0.9,Cauliflower,NR,3500,3500,
Lamlong Bazaar,08/02/2018,1,Cauliflower,NR,3500,3500,
Lamlong Bazaar,09/02/2018,0.7,Cauliflower,NR,3500,3500,
Lamlong Bazaar,12/02/2018,1.1,Cauliflower,NR,3500,3500,
Lamlong Bazaar,13/02/2018,1,Cauliflower,NR,3500,3500,
Lamlong Bazaar,14/02/2018,0.9,Cauliflower,NR,3500,3500,
Lamlong Bazaar,16/02/2018,0.8,Cauliflower,NR,3000,3000,
Lamlong Bazaar,17/02/2018,0.9,Cauliflower,NR,3500,3500,
Lamlong Bazaar,19/02/2018,0.9,Cauliflower,NR,3500,3500,
Lamlong Bazaar,20/02/2018,1,Cauliflower,NR,3500,3500,
Lamlong Bazaar,21/02/2018,0.8,Cauliflower,NR,4000,4000,
Lamlong Bazaar,22/02/2018,1.1,Cauliflower,NR,4000,4000,
Lamlong Bazaar,23/02/2018,0.7,Cauliflower,NR,4000,4000,
Lamlong Bazaar,24/02/2018,0.9,Cauliflower,NR,3500,3500,
Lamlong Bazaar,28/02/2018,0.8,Cauliflower,NR,3500,3500,
Moreh,05/02/2018,0.9,Other,4300,4500,4500,
Moreh,12/02/2018,0.9,Other,4200,4500,4500,
Moreh,20/02/2018,0.9,Other,4300,4500,4500,
Moreh,28/02/2018,0.9,Other,4200,4500,4500,
Thoubal,01/02/2018,1,Cauliflower,4200,5000,4500,
Thoubal,02/02/2018,0.9,Cauliflower,4200,5000,4500,
Thoubal,03/02/2018,0.7,Cauliflower,4200,5000,4500,
Thoubal,05/02/2018,0.7,Cauliflower,4200,5000,4500,
Thoubal,06/02/2018,1.1,Cauliflower,3200,4000,3500,
Thoubal,07/02/2018,0.9,Cauliflower,3200,4000,3500,
Thoubal,08/02/2018,0.9,Cauliflower,3200,4000,3500,
Thoubal,09/02/2018,0.7,Cauliflower,2700,3500,3000,
Thoubal,12/02/2018,0.7,Cauliflower,2700,3500,3000,
Thoubal,13/02/2018,1.1,Cauliflower,2700,3500,3000,
Thoubal,14/02/2018,1.1,Cauliflower,2700,3500,3000,
Thoubal,16/02/2018,0.9,Cauliflower,2700,3500,3000,
Thoubal,17/02/2018,0.9,Cauliflower,2700,3500,3000,
Thoubal,19/02/2018,0.7,Cauliflower,2700,3500,3000,
Thoubal,20/02/2018,1.1,Cauliflower,2700,3500,3000,
Thoubal,21/02/2018,1.1,Cauliflower,2700,3500,3000,
Thoubal,22/02/2018,0.9,Cauliflower,2700,3500,3000,
Thoubal,23/02/2018,0.9,Cauliflower,2700,3500,3000,
Thoubal,24/02/2018,0.7,Cauliflower,2700,3500,3000,
Thoubal,28/02/2018,1.1,Cauliflower,2200,3000,2500,
