Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Azadpur,02/04/2018,94.1,Cauliflower,250,750,429,
Azadpur,03/04/2018,138,Cauliflower,250,750,433,
Azadpur,04/04/2018,97.7,Cauliflower,250,1125,500,
Azadpur,05/04/2018,109.5,Cauliflower,250,950,467,
Azadpur,06/04/2018,104.3,Cauliflower,250,950,479,
Azadpur,07/04/2018,110.5,Cauliflower,300,1250,771,
Azadpur,09/04/2018,50.2,Cauliflower,300,1250,758,
Azadpur,10/04/2018,88.8,Cauliflower,300,1000,571,
Azadpur,11/04/2018,105.4,Cauliflower,300,1000,571,
Azadpur,12/04/2018,133.9,Cauliflower,300,1000,563,
Azadpur,13/04/2018,86,Cauliflower,300,875,504,
Azadpur,14/04/2018,117.4,Cauliflower,300,875,504,
Azadpur,16/04/2018,86,Cauliflower,300,1125,554,
Azadpur,17/04/2018,117.3,Cauliflower,300,1375,675,
Azadpur,18/04/2018,149.3,Cauliflower,300,1375,742,
Azadpur,19/04/2018,96,Cauliflower,500,1750,1083,
Azadpur,20/04/2018,124.5,Cauliflower,500,1750,1083,
Azadpur,21/04/2018,98.1, ,NR,NR,NR,
Azadpur,23/04/2018,75.5, ,NR,NR,NR,
Azadpur,25/04/2018,92.9, ,NR,NR,NR,
Azadpur,26/04/2018,114.5, ,NR,NR,NR,
Azadpur,27/04/2018,86.1, ,NR,NR,NR,
Azadpur,28/04/2018,113.8, ,NR,NR,NR,
Azadpur,30/04/2018,74.9, ,NR,NR,NR,
Keshopur,01/04/2018,71.73,Cauliflower,200,600,400,
Keshopur,02/04/2018,71.73,Cauliflower,200,600,400,
Keshopur,03/04/2018,91.31,Cauliflower,300,800,600,
Keshopur,07/04/2018,65.53,Cauliflower,500,1200,900,
Keshopur,08/04/2018,52.45,Cauliflower,600,1400,1100,
Keshopur,10/04/2018,61.64,Cauliflower,300,1200,800,
Keshopur,15/04/2018,56.81,Cauliflower,650,1350,1150,
Keshopur,16/04/2018,61.57,Cauliflower,400,1200,850,
Keshopur,19/04/2018,44,Cauliflower,580,1250,1050,
Keshopur,20/04/2018,63.65,Cauliflower,500,1200,1000,
Keshopur,21/04/2018,63.3,Cauliflower,450,1250,950,
Keshopur,22/04/2018,47.14, ,NR,NR,NR,
Keshopur,26/04/2018,52.3,Cauliflower,600,1300,1000,
Keshopur,27/04/2018,44.45,Cauliflower,700,1300,1000,
Keshopur,28/04/2018,51.58,Cauliflower,750,1350,1050,
Keshopur,29/04/2018,65.91,Cauliflower,700,1400,1100,
Keshopur,30/04/2018,57.18,Cauliflower,700,1420,1120,
Shahdara,02/04/2018,55.33,Cauliflower,300,500,400,
Shahdara,03/04/2018,48.12,Cauliflower,400,600,500,
Shahdara,04/04/2018,70.28,Cauliflower,500,700,600,
Shahdara,06/04/2018,50.89,Cauliflower,500,700,600,
Shahdara,07/04/2018,42.13,Cauliflower,500,700,600,
Shahdara,08/04/2018,62.04,Cauliflower,500,700,600,
Shahdara,09/04/2018,55.59,Cauliflower,600,800,700,
Shahdara,10/04/2018,37.37,Cauliflower,500,700,600,
Shahdara,11/04/2018,96.09,Cauliflower,400,600,500,
Shahdara,12/04/2018,49.72,Cauliflower,400,600,500,
Shahdara,13/04/2018,48.87,Cauliflower,700,1100,900,
Shahdara,14/04/2018,55.27,Cauliflower,700,1100,900,
Shahdara,16/04/2018,63.49,Cauliflower,700,1100,900,
Shahdara,17/04/2018,90.46,Cauliflower,800,1600,1200,
Shahdara,18/04/2018,46.46,Cauliflower,1000,1600,1400,
Shahdara,19/04/2018,66.91,Cauliflower,600,1000,800,
Shahdara,20/04/2018,52.91,Cauliflower,600,1000,800,
Shahdara,21/04/2018,57.08, ,NR,NR,NR,
Shahdara,25/04/2018,49.79,Cauliflower,800,1600,1200,
Shahdara,26/04/2018,58.28,Cauliflower,800,1600,1200,
Shahdara,28/04/2018,55.02,Cauliflower,700,1300,1000,
Shahdara,30/04/2018,47.42,Cauliflower,600,1400,1000,
