Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Abohar,02/09/2019,3.33,Cauliflower,1835,3430,2701,
Abohar,03/09/2019,2.25,Cauliflower,1800,2878,2713,
Abohar,04/09/2019,1.46,Cauliflower,3293,3500,3493,
Abohar,05/09/2019,1.66,Cauliflower,1595,3500,2960,
Abohar,06/09/2019,2.5,Cauliflower,2326,3670,2899,
Abohar,09/09/2019,1.61,Cauliflower,1500,3430,2631,
Abohar,10/09/2019,1.87,Cauliflower,2459,3300,2689,
Abohar,11/09/2019,2.24,Cauliflower,2712,3404,2873,
Abohar,12/09/2019,1.62,Cauliflower,2497,3134,2600,
Abohar,13/09/2019,1.86,Cauliflower,2271,3360,2417,
Abohar,14/09/2019,1.87,Cauliflower,1561,2682,2500,
Abohar,16/09/2019,2.3,Cauliflower,2200,3445,2595,
Abohar,17/09/2019,1.83,Cauliflower,2394,3012,2500,
Abohar,18/09/2019,1.88,Cauliflower,2400,3596,2485,
Abohar,19/09/2019,1.48,Cauliflower,2500,3000,2709,
Abohar,20/09/2019,1.75,Cauliflower,1900,4313,2452,
Abohar,21/09/2019,1.38,Cauliflower,2222,2727,2561,
Abohar,23/09/2019,1.45,Cauliflower,2683,3757,2683,
Abohar,24/09/2019,2.05,Cauliflower,2000,3548,2758,
Abohar,25/09/2019,1.57,Cauliflower,2536,5231,2536,
Abohar,26/09/2019,1.23,Cauliflower,3027,3678,3651,
Abohar,27/09/2019,2.23,Cauliflower,2935,4189,3670,
Abohar,28/09/2019,1.29,Cauliflower,3750,4491,4417,
Abohar,30/09/2019,3.59,Cauliflower,2908,4525,4237,
Adampur,02/09/2019,0.4,Other,3200,3500,3500,
Adampur,04/09/2019,0.8,Other,2500,3200,3200,
Adampur,05/09/2019,0.4,Other,3000,3500,3500,
Adampur,06/09/2019,0.8,Other,2500,3000,3000,
Adampur,07/09/2019,0.5,Other,2000,2500,2500,
Adampur,09/09/2019,0.8,Other,2500,3000,3000,
Adampur,10/09/2019,0.6, ,NR,NR,NR,
Adampur,11/09/2019,0.7,Other,2500,3000,3000,
Adampur,12/09/2019,0.5,Other,2500,3000,3000,
Adampur,13/09/2019,0.5,Other,1200,3000,3000,
Adampur,14/09/2019,0.8,Other,1500,2500,2500,
Adampur,16/09/2019,0.7,Other,2200,3200,3200,
Adampur,17/09/2019,0.7,Other,3500,3500,3500,
Adampur,18/09/2019,0.8,Other,2000,3600,3600,
Adampur,20/09/2019,1.1,Other,2000,3500,3500,
Adampur,21/09/2019,1,Other,2500,3500,3500,
Adampur,23/09/2019,0.6,Other,3000,5500,5500,
Adampur,24/09/2019,0.9,Other,3000,4000,4000,
Adampur,25/09/2019,0.6,Other,3000,4000,4000,
Adampur,26/09/2019,0.6,Other,3000,5500,5500,
Adampur,27/09/2019,0.5,Other,2500,5500,5500,
Adampur,28/09/2019,0.9,Other,2200,3000,3000,
Adampur,30/09/2019,0.6,Other,2000,3500,3500,
Ahmedgarh,01/09/2019,0.1,Other,1900,2100,2000,
Ahmedgarh,02/09/2019,0.1,Other,2000,2200,2100,
Ahmedgarh,03/09/2019,0.1,Other,2000,2200,2100,
Ahmedgarh,04/09/2019,0.1,Other,2100,2300,2200,
Ahmedgarh,05/09/2019,0.1,Other,2100,2300,2200,
Ahmedgarh,06/09/2019,0.1,Other,1900,2100,2000,
Ahmedgarh,07/09/2019,0.1,Other,2100,2300,2200,
Ahmedgarh,08/09/2019,0.1,Other,1900,2100,2000,
Ahmedgarh,09/09/2019,0.1,Other,1800,2000,1900,
Ahmedgarh,10/09/2019,0.1,Other,1800,2000,1900,
Ahmedgarh,11/09/2019,0.1,Other,1800,2000,1900,
Ahmedgarh,12/09/2019,0.1,Other,2000,2200,2100,
Ahmedgarh,13/09/2019,0.1,Other,2000,2200,2100,
Ahmedgarh,14/09/2019,0.1,Other,2400,2600,2500,
Ahmedgarh,15/09/2019,0.1,Other,2600,2800,2700,
Ahmedgarh,16/09/2019,0.1,Other,2600,2800,2700,
Ahmedgarh,17/09/2019,0.1,Other,2400,2600,2500,
Ahmedgarh,18/09/2019,0.1,Other,2400,2600,2500,
Ahmedgarh,19/09/2019,0.1,Other,2400,2600,2500,
Ahmedgarh,20/09/2019,0.1,Other,2300,2500,2400,
Ahmedgarh,21/09/2019,0.1,Other,3300,3500,3400,
Ahmedgarh,22/09/2019,0.1,Other,3800,4000,3900,
Ahmedgarh,23/09/2019,0.1,Other,3800,4000,3900,
Ahmedgarh,24/09/2019,0.1,Other,3600,3800,3700,
Ahmedgarh,25/09/2019,0.1,Other,3800,4000,3900,
Ahmedgarh,26/09/2019,0.2,Other,4000,4200,4100,
Ahmedgarh,27/09/2019,0.1,Other,3800,4000,3900,
Ahmedgarh,28/09/2019,0.1,Other,3800,4000,3900,
Ahmedgarh,29/09/2019,0.2,Other,4000,4200,4100,
Ahmedgarh,30/09/2019,0.1,Other,4000,4200,4100,
Ajnala,01/09/2019,0.5,Local,1300,1500,1400,
Ajnala,03/09/2019,0.45,Local,1300,1500,1400,
Ajnala,04/09/2019,0.4,Local,1200,1300,1300,
Ajnala,05/09/2019,0.4,Local,1300,1500,1400,
Ajnala,06/09/2019,0.35,Local,1500,1600,1600,
Ajnala,09/09/2019,0.5,Local,1400,1500,1400,
Ajnala,10/09/2019,0.4,Local,1600,1600,1600,
Ajnala,11/09/2019,0.55,Local,1300,1400,1350,
Ajnala,12/09/2019,0.52,Local,1300,1400,1350,
Ajnala,13/09/2019,0.6,Local,1400,1600,1500,
Ajnala,14/09/2019,0.55,Local,1400,1600,1500,
Ajnala,15/09/2019,0.51,Local,1400,1600,1600,
Ajnala,16/09/2019,0.45,Local,1400,1600,1500,
Ajnala,18/09/2019,0.31,Local,1400,1600,1500,
Ajnala,19/09/2019,0.3,Local,1400,1500,1400,
Ajnala,20/09/2019,0.25,Local,1500,1700,1600,
Ajnala,21/09/2019,0.5,Local,1500,1600,1600,
Ajnala,23/09/2019,0.55,Local,1500,2000,1800,
Ajnala,24/09/2019,0.5,Local,1500,2000,1800,
Ajnala,27/09/2019,0.3,Local,1500,1600,1600,
Ajnala,28/09/2019,0.55,Local,1600,1800,1700,
Amritsar(Amritsar Mewa Mandi),01/09/2019,10,Cauliflower,1000,2000,1500,
Amritsar(Amritsar Mewa Mandi),02/09/2019,16.3,Cauliflower,1200,3200,2200,
Amritsar(Amritsar Mewa Mandi),03/09/2019,31.1,Cauliflower,1200,2400,1900,
Amritsar(Amritsar Mewa Mandi),04/09/2019,11.4,Cauliflower,1500,3000,2200,
Amritsar(Amritsar Mewa Mandi),05/09/2019,25.6,Cauliflower,1300,2200,1600,
Amritsar(Amritsar Mewa Mandi),06/09/2019,24,Cauliflower,1300,2000,1700,
Amritsar(Amritsar Mewa Mandi),07/09/2019,127.8,Cauliflower,1300,2000,1800,
Amritsar(Amritsar Mewa Mandi),08/09/2019,129,Cauliflower,1300,2000,1800,
Amritsar(Amritsar Mewa Mandi),09/09/2019,27.8,Cauliflower,1000,2100,1600,
Amritsar(Amritsar Mewa Mandi),10/09/2019,25.2,Cauliflower,1100,2000,1700,
Amritsar(Amritsar Mewa Mandi),11/09/2019,27.4,Cauliflower,1000,2200,1600,
Amritsar(Amritsar Mewa Mandi),12/09/2019,22.7,Cauliflower,1300,2100,1900,
Amritsar(Amritsar Mewa Mandi),13/09/2019,25.2,Cauliflower,1200,2300,1800,
Amritsar(Amritsar Mewa Mandi),14/09/2019,19.8,Cauliflower,1400,2500,2000,
Amritsar(Amritsar Mewa Mandi),16/09/2019,15.8,Cauliflower,1400,2000,1800,
Amritsar(Amritsar Mewa Mandi),17/09/2019,37.1,Cauliflower,1200,2500,2000,
Amritsar(Amritsar Mewa Mandi),18/09/2019,27.7,Cauliflower,1400,2700,2100,
Amritsar(Amritsar Mewa Mandi),19/09/2019,18.8,Cauliflower,1000,3400,1900,
Amritsar(Amritsar Mewa Mandi),20/09/2019,16.5,Cauliflower,1000,4000,2100,
Amritsar(Amritsar Mewa Mandi),21/09/2019,12.7,Cauliflower,1000,3700,2000,
Amritsar(Amritsar Mewa Mandi),23/09/2019,12,Cauliflower,1000,4600,2800,
Amritsar(Amritsar Mewa Mandi),24/09/2019,16,Cauliflower,1000,5000,2500,
Amritsar(Amritsar Mewa Mandi),25/09/2019,10.9,Cauliflower,1000,5000,2900,
Amritsar(Amritsar Mewa Mandi),26/09/2019,12.5,Cauliflower,1100,3200,2000,
Amritsar(Amritsar Mewa Mandi),27/09/2019,14.6,Cauliflower,1000,3000,1800,
Amritsar(Amritsar Mewa Mandi),28/09/2019,21.7,Cauliflower,1100,2000,1500,
Amritsar(Amritsar Mewa Mandi),30/09/2019,12.8,Cauliflower,800,4000,1500,
Baghapurana,26/09/2019,0.3,Cauliflower,3500,4000,3800,
Baghapurana,27/09/2019,0.4,Cauliflower,3500,4000,3800,
Baghapurana,28/09/2019,0.4,Cauliflower,3500,4000,3800,
Baghapurana,30/09/2019,0.4,Cauliflower,4000,4500,4200,
Banga,02/09/2019,2.3, ,NR,NR,NR,
Banga,04/09/2019,2.9,Cauliflower,2100,3328,3045,
Banga,10/09/2019,4.3,Cauliflower,2000,2965,2409,
Banga,30/09/2019,2.7,Cauliflower,3200,4864,3600,
Banur,28/09/2019,0.1,Other,2500,3000,3000,
Banur (Kheragaju),01/09/2019,0.1,African Sarson,3500,4000,4000,
Banur (Kheragaju),02/09/2019,0.1,African Sarson,3000,4000,4000,
Banur (Kheragaju),03/09/2019,0.1,African Sarson,4000,5000,5000,
Banur (Kheragaju),05/09/2019,0.1,African Sarson,4000,5000,5000,
Banur (Kheragaju),06/09/2019,0.1,African Sarson,4000,5000,5000,
