Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Ajmer(F&V),01/05/2019,4.7,Other,500,1200,1000,
Ajmer(F&V),03/05/2019,3.8,Other,500,1200,850,
Ajmer(F&V),04/05/2019,4,Other,500,1300,900,
Ajmer(F&V),05/05/2019,3.9,Other,500,1300,900,
Ajmer(F&V),06/05/2019,3.4,Other,500,1300,950,
Ajmer(F&V),07/05/2019,4,Other,500,1500,1000,
Ajmer(F&V),08/05/2019,4.8,Other,500,1400,950,
Ajmer(F&V),09/05/2019,4.5,Other,500,1500,1000,
Ajmer(F&V),10/05/2019,2.6,Other,500,1500,1000,
Ajmer(F&V),11/05/2019,3,Other,500,1500,1200,
Ajmer(F&V),12/05/2019,4.7,Other,500,1000,750,
Ajmer(F&V),13/05/2019,3.6,Other,500,1500,1000,
Ajmer(F&V),14/05/2019,1.3,Other,400,1000,750,
Ajmer(F&V),15/05/2019,1.6,Other,500,1300,900,
Ajmer(F&V),16/05/2019,2,Other,500,1500,1000,
Ajmer(F&V),17/05/2019,2.2,Other,500,1500,1000,
Ajmer(F&V),19/05/2019,3.4,Other,500,1500,1200,
Ajmer(F&V),20/05/2019,2.7,Other,500,1500,1000,
Ajmer(F&V),21/05/2019,1.4,Other,800,1600,1200,
Ajmer(F&V),22/05/2019,1.7,Other,800,1600,1300,
Ajmer(F&V),23/05/2019,1.5,Other,800,1600,1200,
Ajmer(F&V),24/05/2019,2,Other,800,1500,1300,
Ajmer(F&V),25/05/2019,1.6,Other,800,1800,1400,
Ajmer(F&V),26/05/2019,1.1,Other,800,1800,1300,
Ajmer(F&V),27/05/2019,1.2,Other,1000,2000,1500,
Ajmer(F&V),28/05/2019,1.3,Other,1000,2000,1600,
Ajmer(F&V),29/05/2019,1.4,Other,700,1500,1100,
Ajmer(F&V),31/05/2019,0.7,Other,700,1300,1000,
Alwar(FV),27/05/2019,0.3,Other,2000,2400,2200,
Alwar(FV),29/05/2019,0.2,Other,2000,3000,2500,
Alwar(FV),30/05/2019,0.3,Other,2200,2800,2500,
Alwar(FV),31/05/2019,0.2,Other,2000,2600,2300,
Chittorgarh,01/05/2019,5.5,Other,1500,2200,1800,
Chittorgarh,03/05/2019,3.5,Other,1800,2000,1900,
Chittorgarh,07/05/2019,2.5,Other,1600,1800,1700,
Chittorgarh,13/05/2019,1,Other,1800,4000,2500,
Chittorgarh,14/05/2019,0.5,Other,2000,3000,2500,
Chittorgarh,17/05/2019,1,Other,1900,2000,2000,
Chittorgarh,21/05/2019,0.7,Other,1900,2000,2000,
Chittorgarh,24/05/2019,0.9,Other,2000,2500,2300,
Chittorgarh,28/05/2019,2,Other,1800,2000,1900,
Chomu(F&V),01/05/2019,3.6,Other,2000,2500,2200,
Chomu(F&V),02/05/2019,2.1, ,NR,NR,NR,
Chomu(F&V),03/05/2019,1.4, ,NR,NR,NR,
Chomu(F&V),05/05/2019,1.9, ,NR,NR,NR,
Chomu(F&V),06/05/2019,1.4, ,NR,NR,NR,
Chomu(F&V),07/05/2019,0.4, ,NR,NR,NR,
Chomu(F&V),08/05/2019,0.9, ,NR,NR,NR,
Chomu(F&V),09/05/2019,1.2, ,NR,NR,NR,
Chomu(F&V),10/05/2019,1, ,NR,NR,NR,
Chomu(F&V),11/05/2019,0.8, ,NR,NR,NR,
Chomu(F&V),12/05/2019,0.8, ,NR,NR,NR,
Chomu(F&V),13/05/2019,0.6, ,NR,NR,NR,
Chomu(F&V),14/05/2019,0.2, ,NR,NR,NR,
Chomu(F&V),15/05/2019,0.8, ,NR,NR,NR,
Chomu(F&V),16/05/2019,0.5, ,NR,NR,NR,
Chomu(F&V),17/05/2019,1.2,Other,1200,1500,1300,
