Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Ajmer(F&V),02/01/2018,8.4,Other,600,1500,1200,
Ajmer(F&V),03/01/2018,5.9,Other,500,1400,1000,
Ajmer(F&V),04/01/2018,7.4,Other,500,1200,950,
Ajmer(F&V),05/01/2018,6.6,Other,500,1200,1000,
Ajmer(F&V),06/01/2018,4.5,Other,500,1200,900,
Ajmer(F&V),07/01/2018,2.4,Other,800,2200,1700,
Ajmer(F&V),08/01/2018,7.9,Other,500,1200,950,
Ajmer(F&V),09/01/2018,2.5,Other,500,1200,1000,
Ajmer(F&V),10/01/2018,3.7,Other,500,1300,900,
Ajmer(F&V),11/01/2018,1.2,Other,500,1400,1000,
Ajmer(F&V),12/01/2018,10.8,Other,500,1200,900,
Ajmer(F&V),13/01/2018,3.8,Other,500,1200,950,
Ajmer(F&V),14/01/2018,5.1,Other,500,1300,900,
Ajmer(F&V),15/01/2018,6,Other,500,1200,900,
Ajmer(F&V),16/01/2018,10.6,Other,500,1200,900,
Ajmer(F&V),17/01/2018,11.1,Other,500,1000,800,
Ajmer(F&V),18/01/2018,14.5,Other,500,1000,750,
Ajmer(F&V),19/01/2018,13.2,Other,400,800,600,
Ajmer(F&V),20/01/2018,10.1,Other,400,1000,700,
Ajmer(F&V),21/01/2018,12.5,Other,300,1000,650,
Ajmer(F&V),22/01/2018,8.5,Other,300,1000,650,
Ajmer(F&V),23/01/2018,8.5,Other,400,800,600,
Ajmer(F&V),24/01/2018,13,Other,300,800,650,
Ajmer(F&V),25/01/2018,12.2,Other,300,800,600,
Ajmer(F&V),26/01/2018,12.2,Other,300,800,550,
Ajmer(F&V),27/01/2018,5.6,Other,300,800,600,
Ajmer(F&V),28/01/2018,4,Other,300,800,550,
Ajmer(F&V),30/01/2018,6.3,Other,300,800,600,
Alwar(FV),01/01/2018,5.3,Other,1600,2200,1900,
Alwar(FV),03/01/2018,4.8,Other,1800,2000,1900,
Alwar(FV),04/01/2018,6.6,Other,1800,2000,1900,
Alwar(FV),05/01/2018,4.1,Other,1400,1800,1600,
Alwar(FV),06/01/2018,3.1,Other,1600,2000,1800,
Alwar(FV),07/01/2018,3.2,Other,1600,2200,1900,
Alwar(FV),08/01/2018,4.8,Other,1400,2000,1700,
Alwar(FV),10/01/2018,2.6,Other,1400,1800,1600,
Alwar(FV),12/01/2018,5.4, ,NR,NR,NR,
Alwar(FV),13/01/2018,6.3,Other,1600,2400,2000,
Alwar(FV),15/01/2018,3.9,Other,1800,2400,2100,
Alwar(FV),16/01/2018,3.8,Other,1700,2400,2050,
Alwar(FV),26/01/2018,3.8,Other,1200,1600,1400,
Alwar(FV),30/01/2018,17.5,Other,800,1000,900,
Chittorgarh,01/01/2018,91.5,Other,1500,2000,1800,
Chittorgarh,02/01/2018,65.5,Other,1000,1500,1300,
Chittorgarh,03/01/2018,95.5,Other,1500,2000,1800,
Chittorgarh,04/01/2018,70,Other,1500,2000,1700,
Chittorgarh,05/01/2018,88.5,Other,1100,1200,1150,
Chittorgarh,06/01/2018,50,Other,1400,1500,1450,
Chittorgarh,07/01/2018,37,Other,1500,2000,1750,
Chittorgarh,08/01/2018,37,Other,1500,2000,1700,
Chittorgarh,09/01/2018,35,Other,2000,2500,2300,
Chittorgarh,10/01/2018,45,Other,2000,3000,2500,
Chittorgarh,11/01/2018,55,Other,2000,2100,2050,
Chittorgarh,12/01/2018,51.5,Other,1500,2000,1700,
Chittorgarh,13/01/2018,65,Other,1400,1500,1450,
Chittorgarh,15/01/2018,55,Other,1400,1500,1450,
Chittorgarh,16/01/2018,59,Other,1000,2000,1500,
Chittorgarh,18/01/2018,54,Other,1000,1600,1300,
Chittorgarh,19/01/2018,105,Other,800,1200,1000,
Chittorgarh,20/01/2018,95,Other,600,1000,750,
Chittorgarh,21/01/2018,8,Other,700,1000,850,
Chittorgarh,22/01/2018,95,Other,500,1000,750,
Chittorgarh,23/01/2018,51.5,Other,500,1000,750,
Chittorgarh,24/01/2018,75,Other,500,1200,800,
Chittorgarh,25/01/2018,54,Other,600,900,750,
Chittorgarh,26/01/2018,52,Other,800,1000,900,
Chittorgarh,27/01/2018,57.5,Other,500,1000,750,
Chittorgarh,28/01/2018,64,Other,500,1000,750,
Chittorgarh,29/01/2018,61,Other,500,1100,800,
Chittorgarh,30/01/2018,70,Other,500,1200,800,
Chomu(F&V),01/01/2018,36,Other,800,1500,1200,
