Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Adoni,01/02/2018,545,Kapas (Adoni),3589,5141,4569,
Adoni,02/02/2018,608.8,Kapas (Adoni),3519,5174,4566,
Adoni,03/02/2018,236.5,Kapas (Adoni),3589,5189,4659,
Adoni,05/02/2018,587.7,Kapas (Adoni),3597,5185,4619,
Adoni,06/02/2018,467.3,Kapas (Adoni),3501,5180,4458,
Adoni,07/02/2018,438.1,Kapas (Adoni),3589,5189,4469,
Adoni,09/02/2018,938.7,Kapas (Adoni),3501,5161,4419,
Adoni,10/02/2018,446.3,Kapas (Adoni),3587,5194,4569,
Adoni,12/02/2018,782.5,Kapas (Adoni),3589,5215,4569,
Adoni,16/02/2018,935.5,Kapas (Adoni),3500,5088,4359,
Adoni,17/02/2018,613.7,Kapas (Adoni),3500,5085,4359,
Adoni,19/02/2018,1151.3,Kapas (Adoni),3469,5059,4339,
Adoni,20/02/2018,772.8,Kapas (Adoni),3450,5030,4339,
Adoni,21/02/2018,506,Kapas (Adoni),3440,5057,4339,
Adoni,22/02/2018,275,Kapas (Adoni),3469,5075,4339,
Adoni,23/02/2018,444.2,Kapas (Adoni),3469,5077,4339,
Adoni,24/02/2018,357,Kapas (Adoni),3419,5086,4330,
Adoni,26/02/2018,569.7,Kapas (Adoni),3469,5097,4330,
Adoni,27/02/2018,480,Kapas (Adoni),3469,5117,4349,
Adoni,28/02/2018,389.3,Kapas (Adoni),3469,5189,4339,
Chintalapudi,01/02/2018,0.1,Kapas (Adoni),4320,4320,4320,
Chintalapudi,02/02/2018,0.1,Kapas (Adoni),4320,4320,4320,
Chintalapudi,03/02/2018,0.1,Kapas (Adoni),4320,4320,4320,
Chintalapudi,04/02/2018,0.1,Kapas (Adoni),4320,4320,4320,
Chintalapudi,05/02/2018,0.1,Kapas (Adoni),4320,4320,4320,
Chintalapudi,06/02/2018,0.1,Kapas (Adoni),4320,4320,4320,
Chintalapudi,07/02/2018,0.1,Kapas (Adoni),4320,4320,4320,
Chintalapudi,08/02/2018,0.1,Kapas (Adoni),4320,4320,4320,
Chintalapudi,09/02/2018,0.1,Kapas (Adoni),4320,4320,4320,
Chintalapudi,10/02/2018,0.1,Kapas (Adoni),4320,4320,4320,
Chintalapudi,13/02/2018,0.1,Kapas (Adoni),4320,4320,4320,
Chintalapudi,14/02/2018,0.1,Kapas (Adoni),4320,4320,4320,
Chintalapudi,15/02/2018,0.1,Kapas (Adoni),4320,4320,4320,
Chintalapudi,16/02/2018,0.1,Kapas (Adoni),4320,4320,4320,
Chintalapudi,17/02/2018,0.1,Kapas (Adoni),4320,4320,4320,
Chintalapudi,18/02/2018,0.1,Kapas (Adoni),4320,4320,4320,
Chintalapudi,19/02/2018,0.1,Kapas (Adoni),4320,4320,4320,
Chintalapudi,20/02/2018,0.1,Kapas (Adoni),4320,4320,4320,
Chintalapudi,21/02/2018,0.1,Kapas (Adoni),4320,4320,4320,
Chintalapudi,22/02/2018,0.1,Kapas (Adoni),4320,4320,4320,
Chintalapudi,23/02/2018,0.1,Kapas (Adoni),4320,4320,4320,
Chintalapudi,24/02/2018,0.1,Kapas (Adoni),4320,4320,4320,
Chintalapudi,26/02/2018,0.1,Kapas (Adoni),4320,4320,4320,
Chintalapudi,27/02/2018,0.1,Kapas (Adoni),4320,4320,4320,
Hiramandalam,02/02/2018,14,Cotton (Unginned),4500,4700,4500,
Hiramandalam,03/02/2018,14,Cotton (Unginned),4500,4700,4500,
Hiramandalam,04/02/2018,42,Cotton (Unginned),4500,4700,4500,
Hiramandalam,06/02/2018,14,Cotton (Unginned),4500,4700,4500,
Hiramandalam,07/02/2018,14,Cotton (Unginned),4500,4700,4500,
Hiramandalam,09/02/2018,43.5,Cotton (Unginned),4500,4700,4500,
Hiramandalam,14/02/2018,46,Cotton (Unginned),4500,4700,4500,
Hiramandalam,17/02/2018,71,Cotton (Unginned),4500,4700,4500,
Hiramandalam,18/02/2018,13,Cotton (Unginned),4000,4500,4000,
Hiramandalam,22/02/2018,14,Cotton (Unginned),4500,4700,4500,
Hiramandalam,23/02/2018,13,Cotton (Unginned),4500,4700,4500,
Hiramandalam,26/02/2018,12,Cotton (Unginned),4300,4500,4300,
Hiramandalam,27/02/2018,12,Cotton (Unginned),4200,4300,4200,
Hiramandalam,28/02/2018,13,Cotton (Unginned),4300,4600,4300,
Krosuru,01/02/2018,0.1,MCU 5,4200,4800,4500,
Krosuru,02/02/2018,0.1,MCU 5,4200,4800,4600,
Krosuru,03/02/2018,0.1,MCU 5,4150,4900,4500,
Krosuru,04/02/2018,0.1,MCU 5,4100,4800,4500,
Krosuru,05/02/2018,0.1,MCU 5,4200,4700,4500,
Krosuru,06/02/2018,0.1,MCU 5,4200,4800,4500,
Krosuru,07/02/2018,0.1,MCU 5,4200,4800,4600,
Krosuru,08/02/2018,0.1,MCU 5,4100,4800,4500,
Krosuru,09/02/2018,0.1,MCU 5,4200,5000,4600,
Krosuru,10/02/2018,0.1,MCU 5,4100,4600,4400,
Krosuru,11/02/2018,0.1,MCU 5,4200,4800,4500,
Krosuru,12/02/2018,0.1,MCU 5,4200,4800,4600,
Krosuru,13/02/2018,0.1,MCU 5,4200,5000,4600,
Krosuru,14/02/2018,0.1,MCU 5,4300,4700,4500,
Krosuru,15/02/2018,0.1,MCU 5,4200,4800,4500,
Krosuru,16/02/2018,0.1,MCU 5,4200,5000,4600,
Krosuru,17/02/2018,0.1,MCU 5,4200,4800,4500,
Krosuru,18/02/2018,0.1,MCU 5,4200,4800,4500,
Krosuru,19/02/2018,0.1,MCU 5,4100,5000,4500,
Krosuru,20/02/2018,0.1,MCU 5,4200,4800,4500,
Krosuru,21/02/2018,0.1,MCU 5,4100,4800,4300,
Krosuru,22/02/2018,0.1,MCU 5,4100,4500,4300,
Krosuru,23/02/2018,0.1,MCU 5,4100,4600,4300,
Krosuru,24/02/2018,0.1,MCU 5,4200,4800,4500,
Krosuru,25/02/2018,0.1,MCU 5,4100,4600,4300,
Krosuru,26/02/2018,0.1,MCU 5,4200,4700,4500,
Mylavaram,01/02/2018,78.2,Other,4300,5000,4800,
Mylavaram,02/02/2018,56,Other,4100,5000,4650,
Rajam,08/02/2018,13,Cotton (Unginned),4100,4320,4200,
Sattenapalli,03/02/2018,0.1,MCU 5,4600,4800,4700,
