Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Amirgadh,03/12/2018,31.7,Other,5500,5620,5560,
Amirgadh,04/12/2018,58.6,Other,5420,5650,5535,
Amirgadh,05/12/2018,28,Other,5500,5590,5545,
Amirgadh,08/12/2018,44.2,Other,5475,5625,5550,
Amirgadh,10/12/2018,41.6,Other,5570,5680,5625,
Amirgadh,11/12/2018,56.4,Other,5550,5700,5625,
Amirgadh,12/12/2018,54.3,Other,5550,5620,5585,
Amirgadh,14/12/2018,42.8,Other,5485,5620,5550,
Amirgadh,15/12/2018,28.6,Other,5535,5635,5585,
Amirgadh,17/12/2018,35.7,Other,5540,5650,5595,
Amirgadh,18/12/2018,44,Other,4755,5635,5195,
Amirgadh,20/12/2018,56,Other,5500,5555,5525,
Amirgadh,21/12/2018,40,Other,5450,5555,5500,
Amreli,01/12/2018,126,Other,4875,5625,5560,
Amreli,03/12/2018,160.8,Other,4915,5675,5570,
Amreli,04/12/2018,183,Other,4805,5670,5595,
Amreli,05/12/2018,186.8,Other,4895,5605,5475,
Amreli,06/12/2018,159,Other,4745,5605,5420,
Amreli,07/12/2018,150.3,Other,4555,5585,5445,
Amreli,08/12/2018,136.3,Other,5095,5610,5475,
Amreli,10/12/2018,103.3,Other,5150,5780,5700,
Amreli,11/12/2018,134.3,Other,4340,5760,5685,
Amreli,12/12/2018,128.1,Other,4500,5735,5650,
Amreli,13/12/2018,105.2,Other,4750,5690,5620,
Amreli,14/12/2018,132.3,Other,4955,5630,5460,
Amreli,15/12/2018,133.4,Other,4835,5645,5450,
Amreli,17/12/2018,148.6,Other,4800,5655,5490,
Amreli,18/12/2018,137.3,Other,4850,5640,5465,
Amreli,19/12/2018,146.5,Other,4725,5640,5465,
Amreli,20/12/2018,146.5,Other,4505,5680,5435,
Amreli,21/12/2018,115.2,Other,3750,5615,5400,
Amreli,22/12/2018,92.9,Other,4555,5550,5395,
Amreli,24/12/2018,165.3,Other,4285,5595,5485,
Amreli,25/12/2018,87.1,Other,4850,5590,5420,
Amreli,26/12/2018,104.2,Other,4685,5550,5350,
Amreli,27/12/2018,92, ,NR,NR,NR,
Amreli,28/12/2018,120,Other,4885,5570,5350,
Amreli,29/12/2018,69.1,Other,4125,5575,5325,
Amreli,31/12/2018,103.5,Other,4500,5595,5350,
Babra,03/12/2018,140,Shanker 6 (B) 30mm FIne,5225,5675,5500,
Babra,04/12/2018,180,Shanker 6 (B) 30mm FIne,5075,5625,5450,
Babra,05/12/2018,180,Shanker 6 (B) 30mm FIne,5125,5625,5450,
Babra,06/12/2018,160,Shanker 6 (B) 30mm FIne,5150,5600,5400,
Babra,07/12/2018,160,Shanker 6 (B) 30mm FIne,5125,5625,5450,
Bagasara,03/12/2018,34,Other,5000,5690,5345,
Bagasara,04/12/2018,35.6,Other,4500,5620,5060,
Bagasara,05/12/2018,29.6,Other,5000,5660,5330,
Bagasara,06/12/2018,28,Other,4650,5600,5125,
Bagasara,07/12/2018,39.6,Other,4675,5645,5160,
Bagasara,08/12/2018,39,Other,5005,5625,5315,
Bagasara,10/12/2018,23.5,Other,4900,5670,5285,
Bagasara,11/12/2018,17.5,Other,5150,5750,5450,
Bagasara,13/12/2018,17,Other,5055,5675,5365,
Bagasara,14/12/2018,31.1,Other,5075,5655,5365,
Bagasara,15/12/2018,25,Other,5005,5675,5340,
Bagasara,17/12/2018,41.8,Other,4875,5705,5290,
Bagasara,18/12/2018,38.4,Other,5005,5725,5365,
