Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Adampur,01/03/2018,4.8,Other,5030,5030,5030,
Adampur,03/03/2018,7,Other,5010,5030,5011,
Adampur,05/03/2018,22.5,Other,4995,5108,5080,
Adampur,06/03/2018,28.5,Other,4650,5170,5150,
Adampur,07/03/2018,36.8,Other,4910,5060,5040,
Adampur,08/03/2018,33,Other,4910,5060,5040,
Adampur,09/03/2018,60.4,Other,4870,5066,5030,
Adampur,10/03/2018,66.2,Other,4691,5022,5010,
Adampur,12/03/2018,65.3,Other,4400,4959,4900,
Adampur,13/03/2018,81.8,Other,4340,4931,4850,
Adampur,14/03/2018,117.3,Other,4260,4940,4890,
Adampur,15/03/2018,94.1,Other,4350,4890,4800,
Adampur,16/03/2018,123.2,Other,4350,4935,4925,
Adampur,17/03/2018,131.9,Other,4400,4925,4900,
Adampur,19/03/2018,101.2,Other,4400,4918,4850,
Adampur,20/03/2018,110.5,Other,4613,4900,4880,
Adampur,21/03/2018,84.8,Other,4700,4915,4880,
Adampur,22/03/2018,165.3,Other,4700,4910,4890,
Adampur,23/03/2018,82.7,Other,4681,4885,4800,
Adampur,24/03/2018,64.4,Other,4400,4870,4855,
Adampur,26/03/2018,76.5,Other,4760,4910,4900,
Adampur,27/03/2018,138.4,Other,4785,4907,4886,
Adampur,28/03/2018,104.2,Other,4400,4914,4885,
Adampur,29/03/2018,124.3,Other,4565,4896,4800,
Adampur,30/03/2018,127.6,Other,4400,4910,4855,
Adampur,31/03/2018,52.7,Other,4625,4851,4800,
Barwala(Hisar),05/03/2018,22,Other,5050,5120,5120,
Barwala(Hisar),06/03/2018,60,Other,5250,5288,5276,
Barwala(Hisar),07/03/2018,48,Other,5071,5157,5100,
Barwala(Hisar),08/03/2018,64,Other,5000,5102,5050,
Barwala(Hisar),09/03/2018,57, ,NR,NR,NR,
Barwala(Hisar),10/03/2018,72,Other,5052,5065,5057,
Barwala(Hisar),12/03/2018,167,Other,4962,5011,4995,
Barwala(Hisar),13/03/2018,231,Other,3955,4965,4800,
Barwala(Hisar),14/03/2018,853,Other,4450,5035,4880,
Barwala(Hisar),15/03/2018,1087,Other,4227,4981,4861,
Barwala(Hisar),16/03/2018,394,Other,4857,5051,4985,
Barwala(Hisar),17/03/2018,284,Other,4901,5023,5000,
Barwala(Hisar),19/03/2018,156,Other,4022,5031,4980,
Barwala(Hisar),20/03/2018,294,Other,4236,5008,4803,
Barwala(Hisar),21/03/2018,192,Other,3800,5004,4860,
Barwala(Hisar),22/03/2018,265,Other,3805,5070,4920,
Barwala(Hisar),23/03/2018,207,Other,4229,4993,4410,
Barwala(Hisar),24/03/2018,94,Other,4099,4999,4887,
Barwala(Hisar),26/03/2018,296,Other,3811,5015,4881,
Barwala(Hisar),27/03/2018,277,Other,3811,4982,4880,
Barwala(Hisar),28/03/2018,274,Other,4200,5016,4924,
Barwala(Hisar),29/03/2018,294,Other,4012,4951,4801,
Barwala(Hisar),30/03/2018,184,Other,3917,4905,4800,
Barwala(Hisar),31/03/2018,10,Other,4787,4787,4787,
Bhattu Kalan,03/03/2018,9.8,American,4850,5035,5035,
Bhattu Kalan,03/03/2018,9.8,Desi,6025,6025,6025,
Bhattu Kalan,05/03/2018,30.7,American,4920,5085,5050,
Bhattu Kalan,06/03/2018,30.3,American,4850,5160,5000,
Bhattu Kalan,07/03/2018,28.3,American,4850,5065,5000,
Bhattu Kalan,08/03/2018,20.5,American,4650,5015,5000,
Bhattu Kalan,09/03/2018,22.5,American,4850,5050,5000,
Bhattu Kalan,10/03/2018,31,American,4900,5035,5020,
Bhattu Kalan,12/03/2018,30,American,4800,5050,4950,
Bhattu Kalan,13/03/2018,46.5,American,4800,5000,4825,
Bhattu Kalan,14/03/2018,35.9,American,4500,4860,4800,
Bhattu Kalan,15/03/2018,29.1,American,4810,4870,4850,
Bhattu Kalan,16/03/2018,11.9,American,4800,4900,4870,
Bhattu Kalan,17/03/2018,32.5,American,4810,4910,4890,
Bhattu Kalan,19/03/2018,38.5,American,4780,4910,4875,
Bhattu Kalan,20/03/2018,48.3,American,4790,4875,4830,
Bhattu Kalan,21/03/2018,25.5,American,4810,4905,4850,
Bhattu Kalan,22/03/2018,33.8,American,4880,4905,4890,
Bhattu Kalan,23/03/2018,48.5,American,4800,4910,4885,
Bhattu Kalan,24/03/2018,39.9,American,4820,4890,4850,
Bhattu Kalan,26/03/2018,44.6,American,4650,4880,4800,
Bhattu Kalan,27/03/2018,37.3,American,4400,4885,4800,
Bhattu Kalan,28/03/2018,37.9,American,4820,4900,4870,
Bhattu Kalan,29/03/2018,23.3,American,4800,4865,4840,
Bhattu Kalan,30/03/2018,18,American,4750,4855,4800,
Dabwali,01/03/2018,33.6,Desi,4080,4970,4620,
Dabwali,03/03/2018,33.8,Desi,4120,5000,4560,
Dabwali,07/03/2018,36,Desi,4000,4990,4520,
Dabwali,08/03/2018,49,Desi,4000,4980,4720,
Dabwali,09/03/2018,49.7,Desi,4120,5050,4840,
Dabwali,10/03/2018,28.3, ,NR,NR,NR,
Dabwali,12/03/2018,41.6,Desi,3820,4990,4740,
Dabwali,13/03/2018,14.6,Desi,3990,5010,4720,
Dabwali,21/03/2018,2.6,Desi,3850,4775,4250,
Dabwali,22/03/2018,21.2,Desi,3800,4845,4350,
Dabwali,23/03/2018,22.5,Desi,3700,4825,4520,
Dabwali,24/03/2018,8,Desi,3950,4745,4520,
Dabwali,26/03/2018,5.2,Desi,3700,4740,4640,
Dabwali,27/03/2018,14.3,Desi,3820,4800,4580,
Dabwali,28/03/2018,15.7,Desi,3750,4750,4380,
Ding,01/03/2018,7.2,American,4500,5011,4980,
Ding,05/03/2018,6.5,American,4710,5000,4810,
Ding,06/03/2018,20.6,American,4985,5010,5000,
Ding,07/03/2018,23.4,American,4990,5075,5010,
Ding,08/03/2018,16.5,American,5040,5050,5040,
Ding,09/03/2018,11.1,American,4925,5050,5000,
Ding,10/03/2018,34.9,American,4000,5050,4950,
Ding,12/03/2018,4,American,5000,5000,5000,
Ding,13/03/2018,0.6,American,4680,4680,4680,
Ding,14/03/2018,6.6,American,4230,4850,4230,
Ding,17/03/2018,0.2,American,4600,4600,4600,
Ding,19/03/2018,4.2,American,4100,4800,4100,
Ding,20/03/2018,10,American,4790,4790,4790,
Ding,21/03/2018,59.5,American,4800,4850,4825,
Ding,22/03/2018,51,American,4860,4860,4860,
Ding,23/03/2018,60,American,4750,4850,4800,
Ding,24/03/2018,72.8,American,4800,4825,4800,
Ding,26/03/2018,2.5,American,4640,4640,4640,
Ding,28/03/2018,5,American,4800,4800,4800,
Ding,29/03/2018,6.9,American,4747,4760,4747,
Ding,30/03/2018,17.1,American,4740,4770,4760,
Ellanabad,01/03/2018,8.8,American,4950,4951,4950,
Ellanabad,03/03/2018,22.5,American,4250,4931,4930,
Ellanabad,07/03/2018,90.7,American,4300,5000,4950,
Ellanabad,08/03/2018,104.6,American,4900,4925,4900,
Ellanabad,09/03/2018,99.3,American,4290,4935,4935,
Ellanabad,10/03/2018,100,American,4760,4890,4890,
Ellanabad,12/03/2018,113.2,American,4820,4890,4821,
Ellanabad,13/03/2018,132.6,American,4680,4750,4740,
Ellanabad,14/03/2018,123.8,American,4700,4771,4770,
Ellanabad,29/03/2018,152.5,American,4000,4730,4650,
Ellanabad,30/03/2018,110.3,American,4700,4711,4711,
Fatehabad,03/03/2018,40.6,Other,4631,5126,5070,
Fatehabad,05/03/2018,88.5,Other,4500,5159,5071,
Fatehabad,06/03/2018,74.2,Other,5000,5200,5170,
Fatehabad,07/03/2018,113,Other,4961,5117,5072,
Fatehabad,08/03/2018,90.9,Other,4791,5170,4900,
Fatehabad,09/03/2018,98.8,Other,4763,5119,5060,
Fatehabad,10/03/2018,124.6,Other,4871,5055,5004,
Fatehabad,12/03/2018,136.3,Other,4842,5070,4919,
Fatehabad,13/03/2018,94.6,Other,4735,4895,4800,
Fatehabad,14/03/2018,95.6,Other,4671,4960,4870,
Fatehabad,15/03/2018,80.5,Other,4647,4959,4860,
Fatehabad,16/03/2018,96.5,Other,4000,5017,4969,
Fatehabad,17/03/2018,108.2,Other,4600,4958,4881,
Fatehabad,19/03/2018,71.5,Other,4351,4970,4880,
Fatehabad,20/03/2018,81.7,Other,4050,4948,4888,
Fatehabad,21/03/2018,107,Other,4050,4979,4901,
Fatehabad,22/03/2018,85.1,Other,4650,4978,4890,
Fatehabad,23/03/2018,96.2,Other,3900,4953,4898,
Fatehabad,24/03/2018,148.7,Other,4675,4940,4886,
Fatehabad,26/03/2018,125.5,Other,4300,4931,4875,
Fatehabad,27/03/2018,87.9,Other,4600,4929,4726,
Fatehabad,28/03/2018,98.1,Other,4600,4945,4881,
Fatehabad,29/03/2018,108.6,Other,4601,4930,4885,
Fatehabad,30/03/2018,101.5,Other,4590,4918,4848,
Fatehabad,31/03/2018,88.4,Other,4655,4900,4851,
Hissar,06/03/2018,8.8,American,5090,5135,5090,
Hissar,12/03/2018,20,American,4920,5050,4920,
Hissar,13/03/2018,110,American,4825,4950,4825,
Hissar,14/03/2018,8.5,American,4830,4885,4885,
Hissar,15/03/2018,22,American,4875,4890,4875,
Hissar,16/03/2018,6.9,American,4885,4910,4885,
Hissar,17/03/2018,5.5,American,4870,4900,4900,
Hissar,20/03/2018,5.8,American,4850,4860,4850,
Jakhal,15/03/2018,50,Other,4800,4835,4835,
Jui,04/03/2018,25,Other,5000,5000,5000,
Jui,11/03/2018,75,Other,5300,6000,5500,
Jui,16/03/2018,43,Other,4800,4800,4800,
Jullana,03/03/2018,20.5,American,4210,5247,5220,
Jullana,06/03/2018,25,American,4200,5250,5210,
Jullana,07/03/2018,41,American,4250,5141,5110,
Jullana,08/03/2018,49.5,American,5010,5116,5070,
Jullana,09/03/2018,16.5,American,4250,5060,5035,
Jullana,10/03/2018,14.5,American,4550,5007,4990,
Jullana,12/03/2018,17,American,4250,4936,4890,
Jullana,13/03/2018,10.2,American,4812,4868,4850,
Jullana,14/03/2018,37,American,4700,4864,4850,
Jullana,15/03/2018,39.5,American,4700,4965,4950,
Jullana,16/03/2018,28,American,4400,5000,4950,
Jullana,17/03/2018,26,American,4500,4961,4950,
Jullana,19/03/2018,25,American,4500,5081,5010,
Jullana,20/03/2018,18.5,American,4500,4986,4950,
Jullana,21/03/2018,15.5,American,4500,4992,4950,
Jullana,22/03/2018,23.5,American,4490,4995,4950,
Jullana,23/03/2018,27,American,4510,4946,4890,
Jullana,27/03/2018,29,American,4520,4947,4920,
