Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Adampur,01/11/2019,552.5,Other,4650,5300,5275,
Adampur,04/11/2019,545.5,Other,4900,5371,5300,
Adampur,05/11/2019,1809.2,Other,4600,5346,5230,
Adampur,06/11/2019,1154.9,Other,4750,5365,5200,
Adampur,09/11/2019,1085.5, ,NR,NR,NR,
Adampur,10/11/2019,1085.5, ,NR,NR,NR,
Adampur,11/11/2019,947.8, ,NR,NR,NR,
Adampur,12/11/2019,868, ,NR,NR,NR,
Adampur,13/11/2019,1012.2,Other,4960,5215,5150,
Adampur,14/11/2019,899.8,Other,4841,5221,5200,
Adampur,15/11/2019,1201,Other,4500,5214,5190,
Adampur,16/11/2019,1537.3,Other,4800,5205,5185,
Adampur,18/11/2019,1059.8,Other,4800,5200,5200,
Adampur,19/11/2019,1052.2,Other,4800,5185,5150,
Adampur,20/11/2019,568.9,Other,5075,5165,5150,
Adampur,26/11/2019,1058,Other,4850,5450,5250,
Adampur,27/11/2019,859.5,Other,4865,5450,5250,
Adampur,28/11/2019,986.5,Other,4750,5450,5250,
Adampur,29/11/2019,1059.8,Other,4750,5450,5200,
Adampur,30/11/2019,979.5,Other,4800,5450,5200,
Ballabhgarh,04/11/2019,231,Desi,5000,5321,5150,
Ballabhgarh,05/11/2019,279,Desi,4900,5251,5150,
Ballabhgarh,24/11/2019,51,Desi,4700,5301,5150,
Ballabhgarh,25/11/2019,172,Desi,4801,5301,5170,
Ballabhgarh,28/11/2019,17,Desi,4801,5301,5160,
Ballabhgarh,30/11/2019,80,Desi,4700,5150,4900,
Barwala(Hisar),30/11/2019,4494,Other,4700,5320,5200,
Bhattu Kalan,04/11/2019,327.8,American,4900,5300,5280,
Bhattu Kalan,12/11/2019,124.6,American,5015,5225,5200,
Bhattu Kalan,19/11/2019,184.7,American,5000,5180,5130,
Bhattu Kalan,20/11/2019,178.3,American,4800,5135,5090,
Bhattu Kalan,21/11/2019,236.1,American,5085,5150,5130,
Bhattu Kalan,22/11/2019,192.6,American,4990,5140,5060,
Bhattu Kalan,23/11/2019,181.3,American,5000,5190,5105,
Bhattu Kalan,25/11/2019,270.2,American,4650,5140,5050,
Bhattu Kalan,26/11/2019,137.9,American,4711,5120,5065,
Bhattu Kalan,27/11/2019,188.4,American,4700,5115,5090,
Bhattu Kalan,29/11/2019,196.1,American,4800,5110,5020,
Bhattu Kalan,30/11/2019,169.2,American,5005,5110,5035,
Ch. Dadri,01/11/2019,525.5,Other,5150,5250,5200,
Ch. Dadri,02/11/2019,361.6,Other,5100,5250,5200,
Ch. Dadri,03/11/2019,207.9,Other,5100,5250,5200,
Ch. Dadri,04/11/2019,498.7,Other,5100,5250,5200,
Ch. Dadri,05/11/2019,337.2,Other,5000,5200,5150,
Ch. Dadri,06/11/2019,416.2,Other,4900,5200,5150,
Ch. Dadri,07/11/2019,228.5,Other,5000,5200,5150,
Ch. Dadri,08/11/2019,449.7,Other,5150,5300,5200,
Ch. Dadri,13/11/2019,302.7,Other,5100,5300,5200,
Ch. Dadri,14/11/2019,176.1,Other,5100,5200,5150,
Ch. Dadri,15/11/2019,123.1,Other,5100,5200,5150,
Ch. Dadri,16/11/2019,374.8,Other,5100,5200,5150,
Ch. Dadri,17/11/2019,205.1,Other,5100,5200,5150,
Ch. Dadri,18/11/2019,287.8,Other,5100,5200,5150,
Ch. Dadri,19/11/2019,131.6,Other,4950,5200,5150,
Ch. Dadri,20/11/2019,147.9,Other,4950,5050,5000,
Ch. Dadri,21/11/2019,217.5,Other,4950,5150,5000,
Ch. Dadri,22/11/2019,130,Other,5000,5200,5150,
Ch. Dadri,23/11/2019,97.1,Other,5100,5200,5150,
Ch. Dadri,24/11/2019,16.5,Other,4800,5050,4900,
Ch. Dadri,27/11/2019,101.7,Other,4950,5050,5000,
Ch. Dadri,28/11/2019,72.2,Other,4950,5050,5000,
Ch. Dadri,29/11/2019,107.6,Other,4950,5150,5100,
Ch. Dadri,30/11/2019,213,Other,4950,5155,5150,
Ding,01/11/2019,42.8,American,4790,5275,5190,
Ding,02/11/2019,50,American,5030,5275,5200,
