Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Alwar,01/12/2018,112.9, ,NR,NR,NR,
Alwar,03/12/2018,108.6, ,NR,NR,NR,
Alwar,04/12/2018,93.6, ,NR,NR,NR,
Alwar,06/12/2018,63.1, ,NR,NR,NR,
Alwar,08/12/2018,72, ,NR,NR,NR,
Alwar,10/12/2018,117.1,Other,5400,5740,5600,
Alwar,11/12/2018,86.1, ,NR,NR,NR,
Alwar,12/12/2018,75.8, ,NR,NR,NR,
Alwar,13/12/2018,74.2, ,NR,NR,NR,
Alwar,14/12/2018,93,Other,5300,5640,5500,
Alwar,15/12/2018,91.6,Other,5300,5650,5500,
Alwar,17/12/2018,91.7,Other,5350,5720,5570,
Alwar,18/12/2018,87.8,Other,5300,5680,5500,
Alwar,19/12/2018,99.5,Other,5350,5680,5530,
Alwar,21/12/2018,52.6,Other,5350,5660,5520,
Alwar,22/12/2018,43.9,Other,5300,5600,5475,
Alwar,24/12/2018,49.8,Other,5300,5600,5450,
Alwar,26/12/2018,54.1,Other,5300,5650,5500,
Alwar,27/12/2018,36.3,Other,5375,5680,5525,
Alwar,28/12/2018,72.8,Other,5350,5670,5550,
Alwar,30/12/2018,47.2,Other,5350,5650,5550,
Anoopgarh,01/12/2018,226.5,American,5131,5273,5202,
Anoopgarh,01/12/2018,226.5,Other,5781,5836,5794,
Anoopgarh,03/12/2018,215.5, ,NR,NR,NR,
Anoopgarh,04/12/2018,191, ,NR,NR,NR,
Anoopgarh,06/12/2018,104,American,5193,5357,5275,
Anoopgarh,08/12/2018,87.1,American,5361,5402,5382,
Anoopgarh,10/12/2018,235.5,American,5280,5450,5366,
Anoopgarh,11/12/2018,56.8,American,5240,5490,5365,
Anoopgarh,12/12/2018,255.6,American,5290,5498,5394,
Anoopgarh,13/12/2018,341,American,5211,5501,5356,
Anoopgarh,14/12/2018,330.5,American,5130,5386,5258,
Anoopgarh,15/12/2018,272,American,5150,5386,5268,
Anoopgarh,17/12/2018,328.2,American,5151,5360,5256,
