Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Annur,06/02/2019,7.78,RCH-2,4700,4980,4800,
Annur,13/02/2019,5,RCH-2,4600,4800,4700,
Annur,14/02/2019,5,RCH-2,4600,4800,4700,
Annur,15/02/2019,2.7,RCH-2,4600,4800,4700,
Annur,16/02/2019,5,RCH-2,4600,4800,4700,
Annur,20/02/2019,5,RCH-2,4500,4650,4600,
Annur,21/02/2019,5,RCH-2,4500,4700,4600,
Annur,22/02/2019,5,RCH-2,4500,4700,4600,
Annur,25/02/2019,2.5,RCH-2,4500,4700,4600,
Annur,27/02/2019,2,RCH-2,4700,4970,4800,
Dindigul,01/02/2019,0.35,Cotton (Ginned),4150,4650,4550,
Dindigul,04/02/2019,1.5,Cotton (Ginned),5150,5195,5180,
Dindigul,05/02/2019,1,Cotton (Ginned),4250,4650,4550,
Dindigul,08/02/2019,0.5,Cotton (Ginned),5150,5350,5250,
Dindigul,11/02/2019,1,Cotton (Ginned),4150,4650,4250,
Dindigul,12/02/2019,1,Cotton (Ginned),5150,5290,5280,
Dindigul,13/02/2019,1,Cotton (Ginned),4150,4350,4250,
Dindigul,14/02/2019,5,Cotton (Ginned),4550,4750,4650,
Dindigul,15/02/2019,1,Cotton (Ginned),4150,4550,4250,
Dindigul,18/02/2019,0.35,Cotton (Ginned),5150,5180,5160,
Dindigul,19/02/2019,5,Cotton (Ginned),4150,4750,4650,
Dindigul,20/02/2019,0.5,Cotton (Ginned),5150,5180,5160,
Dindigul,21/02/2019,0.8,Cotton (Ginned),5150,5170,5160,
Dindigul,26/02/2019,1,Cotton (Ginned),5150,5190,5180,
Gangavalli,01/02/2019,47.65,GCH,5590,5650,5630,
Gangavalli,04/02/2019,9,Other,5610,5650,5630,
Gangavalli,05/02/2019,7.5,GCH,5610,5650,5630,
Gangavalli,06/02/2019,11,GCH,5600,5700,5650,
Gangavalli,07/02/2019,12,GCH,5600,5700,5650,
Gangavalli,08/02/2019,15,GCH,5600,5700,5650,
Gangavalli,09/02/2019,15,GCH,5600,5700,5650,
Gangavalli,11/02/2019,13,GCH,5600,5700,5650,
Gangavalli,12/02/2019,20,GCH,5650,5750,5700,
Gangavalli,13/02/2019,15,GCH,5650,5750,5700,
Gangavalli,14/02/2019,14,GCH,5600,5700,5650,
Gangavalli,15/02/2019,13,GCH,5650,5750,5700,
Gangavalli,16/02/2019,11,GCH,5600,5650,5625,
Gangavalli,18/02/2019,13,GCH,5600,5700,5650,
Gangavalli,19/02/2019,20,GCH,5550,5650,5600,
Gangavalli,20/02/2019,14,GCH,5550,5650,5600,
Gangavalli,21/02/2019,22,GCH,5550,5650,5600,
Gangavalli,22/02/2019,15,GCH,5550,5650,5600,
Gangavalli,25/02/2019,16,GCH,5600,5700,5650,
Gangavalli,26/02/2019,13,GCH,5600,5700,5650,
Gangavalli,27/02/2019,17,GCH,5600,5700,5650,
Gangavalli,28/02/2019,25,GCH,5600,5700,5650,
Gingee,01/02/2019,1.02,RCH-2,5019,5019,5019,
Gingee,04/02/2019,5.2,RCH-2,5000,5009,5005,
Gingee,05/02/2019,7.12,RCH-2,4750,5009,4880,
Gingee,06/02/2019,7.03,RCH-2,4700,5013,4857,
Gingee,07/02/2019,17.7,RCH-2,4900,5020,4960,
Gingee,08/02/2019,17.5,RCH-2,4800,5020,4910,
Gingee,11/02/2019,4.01,RCH-2,5000,5019,5010,
Gingee,12/02/2019,3.01,RCH-2,5003,5003,5003,
Gingee,13/02/2019,16.62,RCH-2,4400,5020,4710,
Gingee,14/02/2019,17.32,RCH-2,4850,5000,4925,
Gingee,15/02/2019,15.02,RCH-2,4750,5000,4900,
Gingee,18/02/2019,3.23,RCH-2,4993,5013,5003,
Gingee,19/02/2019,13.6,RCH-2,4400,5003,4702,
Gingee,20/02/2019,20,RCH-2,4839,4940,4933,
Gingee,22/02/2019,5.31,RCH-2,4500,5003,4752,
Gingee,27/02/2019,16.6,RCH-2,4300,5003,4652,
Gingee,28/02/2019,190,RCH-2,4200,4903,4552,
Gudiyatham,04/02/2019,13.58,DCH-32(Unginned),5819,7009,6679,
Gudiyatham,04/02/2019,13.58,Other,4669,6119,5619,
Gudiyatham,11/02/2019,4.4,DCH-32(Unginned),4809,6719,6629,
Gudiyatham,11/02/2019,4.4,Other,4889,5619,5462,
Gudiyatham,18/02/2019,2.83,DCH-32(Unginned),5809,6559,6309,
Gudiyatham,18/02/2019,2.83,Other,4809,5509,5079,
Gudiyatham,25/02/2019,2.04,DCH-32(Unginned),4019,6179,5339,
Gudiyatham,25/02/2019,2.04,Other,3519,5056,4229,
Karamadai,04/02/2019,7,Cotton (Unginned),5000,5500,5250,
Kolathur,01/02/2019,10,Other,4900,5300,5100,
Kolathur,04/02/2019,20,Other,5000,5400,5200,
Kolathur,05/02/2019,20,Other,5000,5400,5200,
Kolathur,09/02/2019,50,Other,5000,5400,5200,
Kolathur,12/02/2019,20,Other,5000,5400,5200,
Kolathur,13/02/2019,20,Other,5000,5400,5200,
Kolathur,14/02/2019,20,Other,5000,5400,5200,
Kolathur,25/02/2019,1,Other,4600,5000,4800,
Kolathur,28/02/2019,298.13,Other,4600,5000,4800,
Konganapuram,11/02/2019,20,Other,5000,5800,5400,
Konganapuram,12/02/2019,20,Other,5000,5800,5400,
Konganapuram,13/02/2019,20,Other,5000,5800,5400,
Konganapuram,14/02/2019,20,Other,5000,5800,5400,
Konganapuram,18/02/2019,20,Other,5000,5600,5300,
Konganapuram,19/02/2019,20,Other,5000,5600,5300,
Konganapuram,20/02/2019,20,Other,5000,5600,5300,
Konganapuram,21/02/2019,20,Other,5000,5600,5300,
Konganapuram,25/02/2019,10,Other,5000,5600,5300,
Konganapuram,26/02/2019,10,Other,4800,5200,5000,
Moolanur,04/02/2019,91.27,Other,5000,6040,5700,
Moolanur,18/02/2019,153.48,Other,4500,5500,5200,
Moolanur,25/02/2019,168.35,Other,4700,5350,5150,
Natham,21/02/2019,75.5,Other,4300,5200,4500,
Oddunchairum,07/02/2019,10,Other,5100,5500,5200,
Palani,01/02/2019,20,170-CO2 (Unginned),5150,5300,5200,
Panruti,01/02/2019,3.48,Other,3009,5532,5323,
Panruti,04/02/2019,4.74,Other,3069,5469,5089,
Panruti,05/02/2019,0.2,Other,3018,5328,5069,
Panruti,06/02/2019,2.42,Other,3009,5462,5269,
Panruti,07/02/2019,1.92,Other,3018,5409,5149,
Panruti,08/02/2019,0.59,Other,2889,5412,5369,
Panruti,11/02/2019,1.76,Other,3065,5282,5172,
Panruti,13/02/2019,1.45,Other,3108,5210,5190,
Panruti,14/02/2019,1.86,Other,3008,5092,4869,
Panruti,15/02/2019,1.93,Other,3028,5059,4959,
Panruti,18/02/2019,0.37,Other,2928,4839,4639,
Panruti,20/02/2019,0.14,Other,2528,4879,4350,
Panruti,21/02/2019,0.31,Other,2628,5062,4943,
Panruti,22/02/2019,0.34,Other,2589,4879,3610,
Panruti,25/02/2019,0.46,Other,2350,5142,4589,
Panruti,26/02/2019,0.47,Other,2505,4949,4009,
Panruti,27/02/2019,0.27,Other,2069,5139,5089,
Panruti,28/02/2019,0.43,Other,2669,5043,5039,
Pollachi,25/02/2019,7,Other,4400,4500,4450,
Sathur,01/02/2019,9.5,RCH-2,5200,5800,5400,
Sathur,02/02/2019,10,RCH-2,5150,5500,5250,
Sathur,04/02/2019,9,RCH-2,5150,5500,5250,
Sathur,05/02/2019,9.2,RCH-2,5150,5500,5250,
Sathur,07/02/2019,18.23,RCH-2,5150,5500,5250,
Sathur,08/02/2019,20.55,RCH-2,5150,5500,5250,
Sathur,25/02/2019,18.16,RCH-2,5150,5200,5175,
Sathur,28/02/2019,8.73,RCH-2,5150,5250,5200,
Thammampati,20/02/2019,46.94,Other,5500,5600,5550,
Thammampati,21/02/2019,46.89,Other,4900,5500,5200,
Thammampati,22/02/2019,18.52,Other,4900,5500,5200,
Thammampati,27/02/2019,41.04,GCH,4900,5500,5200,
Thammampati,28/02/2019,132.61,GCH,4900,5500,5200,
Theni,05/02/2019,1057.78,MCU 5,4900,5050,4975,
Theni,06/02/2019,105.56,MCU 5,4350,4800,4500,
Theni,07/02/2019,164.97,MCU 5,4900,5000,4950,
Theni,08/02/2019,118.31,MCU 5,4900,5100,5050,
Theni,12/02/2019,207.65,MCU 5,5000,5200,5100,
Thiruppur,06/02/2019,9.91,LRA,5000,6000,5500,
Thiruppur,08/02/2019,10,LRA,4800,5800,5300,
Thiruppur,09/02/2019,10.15,LRA,5000,6000,5500,
Thiruppur,13/02/2019,8.5,LRA,5000,6000,5500,
Thiruppur,21/02/2019,80,Other,5000,6000,5500,
Thiruppur,25/02/2019,7.5,LRA,5000,6000,5500,
Thiruppur,27/02/2019,8,LRA,5000,5800,5400,
Usilampatty,07/02/2019,17.52,LRA,5000,5100,5050,
Usilampatty,07/02/2019,17.52,MCU 5,4950,5050,5000,
Usilampatty,07/02/2019,17.52,Other,4900,5000,4950,
Usilampatty,08/02/2019,10.97,LRA,5150,5250,5200,
Usilampatty,08/02/2019,10.97,MCU 5,5100,5200,5150,
Usilampatty,08/02/2019,10.97,Other,2100,2200,2150,
Usilampatty,09/02/2019,8.81,LRA,5200,5300,5250,
Usilampatty,09/02/2019,8.81,MCU 5,5150,5250,5200,
Usilampatty,09/02/2019,8.81,Other,5060,5160,5110,
Usilampatty,11/02/2019,26.13,LRA,5220,5320,5270,
Usilampatty,11/02/2019,26.13,MCU 5,5120,5220,5170,
Usilampatty,11/02/2019,26.13,Other,5100,5200,5150,
Usilampatty,12/02/2019,23.87,LRA,5230,5330,5280,
Usilampatty,12/02/2019,23.87,MCU 5,5140,5240,5190,
Usilampatty,12/02/2019,23.87,Other,5040,5140,5090,
Usilampatty,13/02/2019,17.27,LRA,5120,5220,5170,
Usilampatty,13/02/2019,17.27,MCU 5,5080,5180,5130,
Usilampatty,13/02/2019,17.27,Other,5020,5120,5070,
Usilampatty,18/02/2019,16.67,LRA,5140,5240,5190,
Usilampatty,18/02/2019,16.67,MCU 5,5090,5190,5140,
Usilampatty,18/02/2019,16.67,Other,5040,5140,5090,
Usilampatty,19/02/2019,78.6,LRA,5050,5150,5100,
Usilampatty,19/02/2019,78.6,MCU 5,5020,5120,5070,
Usilampatty,19/02/2019,78.6,Other,5000,5100,5050,
Usilampatty,22/02/2019,8.03, ,NR,NR,NR,
Usilampatty,25/02/2019,21.7, ,NR,NR,NR,
Vedachandur,01/02/2019,2,Other,4250,4650,4550,
Vedachandur,04/02/2019,0.3,Other,5150,5350,5250,
Vedachandur,05/02/2019,1,Other,4250,4650,4550,
Vedachandur,06/02/2019,1,Other,5150,5505,5250,
Vedachandur,08/02/2019,0.35,Other,4150,4550,4250,
Vedachandur,09/02/2019,1,Other,5150,5200,5180,
Vedachandur,12/02/2019,1,Other,5150,5280,5250,
Vedachandur,13/02/2019,0.35,Other,5150,5280,5250,
Vedachandur,14/02/2019,0.5,Other,5150,5280,5250,
Vedachandur,18/02/2019,0.3,Other,5150,5180,5160,
Vedachandur,19/02/2019,1,Other,4150,4650,4250,
Vedachandur,20/02/2019,2,Other,5150,5180,5160,
Vedachandur,21/02/2019,1,Other,4650,4850,4750,
Vedachandur,27/02/2019,1,Other,5100,5200,5128,
Vedachandur,28/02/2019,1,Other,5150,5280,5250,
Vikkiravandi,01/02/2019,0.7,Other,5160,5286,5220,
Vikkiravandi,04/02/2019,0.5,Other,5042,5419,5399,
Vikkiravandi,11/02/2019,0.5,Other,5040,5239,5227,
Vikkiravandi,14/02/2019,0.7,Other,4900,5001,5000,
Vikkiravandi,15/02/2019,1.1,Other,4900,4997,4993,
Vikkiravandi,18/02/2019,1.5,Other,4809,4831,4818,
Vikkiravandi,20/02/2019,0.6,Other,4024,4827,4231,
Vikkiravandi,21/02/2019,1.2,Other,4669,4737,4714,
Vikkiravandi,22/02/2019,2,Other,4710,4830,4777,
Vikkiravandi,26/02/2019,1.7,Other,4879,4901,4889,
Vikkiravandi,27/02/2019,0.3,Other,4500,4769,4620,
Vikkiravandi,28/02/2019,0.1,Other,4315,4769,4700,
Villupuram,05/02/2019,2.5, ,NR,NR,NR,
Villupuram,06/02/2019,30, ,NR,NR,NR,
Villupuram,12/02/2019,2, ,NR,NR,NR,
Villupuram,13/02/2019,40, ,NR,NR,NR,
Villupuram,18/02/2019,30, ,NR,NR,NR,
Virudhunagar,05/02/2019,1.2,Local,4800,5200,5100,
Virudhunagar,06/02/2019,1.3,Local,4800,5100,5000,
