Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Anthiyur,02/10/2019,42.85,Other,3859,5549,4859,
Anthiyur,08/10/2019,25.34, ,NR,NR,NR,
Anthiyur,15/10/2019,101.7,Other,4300,5339,4949,
Anthiyur,22/10/2019,19.77,Other,4589,5302,4869,
Dindigul,06/10/2019,0.35,Cotton (Ginned),5150,5380,5250,
Dindigul,08/10/2019,5,Cotton (Ginned),5150,5350,5258,
Dindigul,09/10/2019,0.3,Cotton (Ginned),5150,5350,5250,
Dindigul,10/10/2019,0.3,Cotton (Ginned),5150,5350,5250,
Dindigul,11/10/2019,0.36,Cotton (Ginned),5150,5350,5250,
Dindigul,14/10/2019,0.35,Cotton (Ginned),5150,5350,5250,
Dindigul,15/10/2019,0.35,Cotton (Ginned),5150,5350,5250,
Dindigul,16/10/2019,0.35,Cotton (Ginned),5150,5350,5250,
Dindigul,17/10/2019,0.37,Cotton (Ginned),5250,5580,5380,
Dindigul,18/10/2019,0.3,Cotton (Ginned),5250,5480,5380,
Dindigul,19/10/2019,2,Cotton (Ginned),4890,5100,4990,
Dindigul,21/10/2019,3,Cotton (Ginned),5150,5380,5250,
Dindigul,22/10/2019,0.36,Cotton (Ginned),5150,5350,5250,
Dindigul,24/10/2019,0.36,Cotton (Ginned),5150,5950,5350,
Dindigul,25/10/2019,0.36,Cotton (Ginned),5250,5550,5350,
Dindigul,30/10/2019,0.5,Cotton (Ginned),5150,5350,5250,
Gangavalli,01/10/2019,90,Other,4000,4200,4100,
Gangavalli,09/10/2019,5,GCH,3300,3600,3450,
Gangavalli,10/10/2019,3,Local,3400,3600,3500,
Gangavalli,11/10/2019,4,Local,3400,3600,3500,
Gangavalli,14/10/2019,3.5,Local,3950,4150,4050,
Gangavalli,15/10/2019,3,Local,3950,4150,4050,
Gangavalli,16/10/2019,3, ,NR,NR,NR,
Gangavalli,18/10/2019,2,Local,3950,4150,4050,
Gangavalli,22/10/2019,2.5,Local,3800,4300,4050,
Gangavalli,23/10/2019,2,Local,3800,4300,4050,
Gangavalli,24/10/2019,1.4,Local,4000,4200,4100,
Gingee,01/10/2019,0.5, ,NR,NR,NR,
Gingee,11/10/2019,0.5,RCH-2,4219,5069,4539,
Gingee,14/10/2019,1,Other,4400,5100,5000,
Gingee,16/10/2019,2.8,Other,5000,5100,5017,
Gingee,17/10/2019,2.6,Other,5100,5100,5100,
Gingee,18/10/2019,0.8,Other,5100,5100,5100,
Gingee,21/10/2019,4.3,Other,5100,5219,5169,
Gingee,22/10/2019,2.5,Other,5100,5100,5100,
Gingee,23/10/2019,3.2,RCH-2,5100,5100,5100,
Gingee,24/10/2019,3.6,RCH-2,5100,5100,5100,
Gingee,25/10/2019,2.7,RCH-2,5100,5100,5100,
Gingee,29/10/2019,0.3,RCH-2,4000,4719,4500,
Kolathur,09/10/2019,8,Other,4300,4500,4400,
Kolathur,14/10/2019,8,Other,4300,4500,4400,
Kolathur,21/10/2019,16,Other,4300,4500,4400,
Kolathur,24/10/2019,7,Other,4300,4500,4400,
Kolathur,29/10/2019,4,Other,4300,4500,4400,
Kudavasal,28/10/2019,0.01,MCU-7,3509,5944,5134,
Kudavasal,29/10/2019,0.01,MCU-7,3509,5944,5314,
Kudavasal,30/10/2019,0.01,MCU-7,3509,5944,5134,
Kudavasal,31/10/2019,0.05,MCU-7,3509,5944,5134,
Kuttulam,29/10/2019,9.4,MCU-7,2909,5594,5289,
Kuttulam,30/10/2019,2.6,MCU-7,2909,5594,5289,
Kuttulam,31/10/2019,1.64,MCU-7,2909,5594,5289,
Mailaduthurai,29/10/2019,4.6,MCU-7,3689,5669,5249,
Mailaduthurai,30/10/2019,2.65,MCU-7,3689,5669,5456,
Mailaduthurai,31/10/2019,2.3,MCU-7,3689,5669,5456,
Moolanur,09/10/2019,114.46,Other,4000,6730,5330,
Moolanur,14/10/2019,123.94,Other,5000,6980,5750,
Moolanur,24/10/2019,1.25,Other,3200,12000,7500,
Moolanur,29/10/2019,551.1,Other,5000,6920,5450,
Oddunchairum,01/10/2019,10,Other,5000,6000,5500,
Oddunchairum,04/10/2019,10,Other,5000,6000,5500,
Oddunchairum,11/10/2019,10,Other,5100,5500,5200,
Panruti,01/10/2019,0.04,Other,4210,4210,4210,
Panruti,03/10/2019,0.96,Other,4379,4869,4659,
Panruti,04/10/2019,0.13,Other,4509,4509,4509,
Panruti,09/10/2019,0.61,Other,4168,5059,4879,
Panruti,10/10/2019,0.26,Other,4939,4939,4939,
Panruti,11/10/2019,0.18,Other,5008,5008,5008,
Panruti,14/10/2019,0.58,Other,4598,5069,5069,
Panruti,16/10/2019,0.46,Other,4698,4898,4798,
Panruti,17/10/2019,0.06,Other,4710,4710,4710,
Panruti,18/10/2019,0.37,Other,4878,5188,5168,
Panruti,24/10/2019,0.8,Other,5239,5299,5299,
Panruti,25/10/2019,0.28,Other,4679,5169,4709,
Sembanarkoil,29/10/2019,1.2,MCU-7,2222,5613,5262,
Sembanarkoil,30/10/2019,2.4,MCU-7,2222,5613,5262,
Sembanarkoil,31/10/2019,4.6,MCU-7,2222,5613,5262,
Sirkali,29/10/2019,1.4,MCU-7,4009,5400,5229,
Sirkali,30/10/2019,4.6,MCU-7,4009,5400,5229,
Sirkali,31/10/2019,2.64,MCU-7,4009,5400,5229,
Thalaivasal,23/10/2019,35.17,Other,3650,4350,4020,
Thiruppananthal,01/10/2019,9,RCH-2,4200,5400,4500,
Thiruppananthal,11/10/2019,15,RCH-2,3209,5100,4300,
Thiruppananthal,15/10/2019,8,RCH-2,4000,5100,4200,
Thiruppananthal,16/10/2019,8,RCH-2,4000,5100,4200,
Thiruppananthal,17/10/2019,9,RCH-2,4000,5100,4500,
Thiruppananthal,18/10/2019,8,RCH-2,3500,5300,4200,
Thiruppananthal,21/10/2019,8,RCH-2,4000,5100,4200,
Thiruppananthal,22/10/2019,8,RCH-2,4000,5300,4500,
Thiruppananthal,24/10/2019,8,RCH-2,3800,5100,4000,
Thiruppananthal,25/10/2019,8,RCH-2,1300,5000,3000,
Thiruppananthal,29/10/2019,1,RCH-2,4000,5400,4500,
Thiruppananthal,30/10/2019,5,RCH-2,4500,5600,5500,
Thiruppananthal,31/10/2019,5,RCH-2,4000,5600,5450,
Thiruppur,10/10/2019,8.96,LRA,5500,6800,6500,
Thiruppur,17/10/2019,1.48,LRA,5500,6500,6000,
Thiruvarur,28/10/2019,44.36,MCU-7,2409,6049,5103,
Thiruvarur,29/10/2019,44.36,MCU-7,2409,6049,5103,
Thiruvarur,30/10/2019,0.01,MCU-7,3009,6049,5103,
Thiruvarur,31/10/2019,0.01,MCU-7,2409,6049,5103,
Uthangarai,09/10/2019,0.01,Other,5200,6000,5400,
Uthangarai,10/10/2019,0.01,Other,5200,6000,5400,
Uthangarai,11/10/2019,0.01,Other,5200,6000,5400,
Uthangarai,15/10/2019,0.01,Other,5200,6000,5400,
Uthangarai,16/10/2019,0.01,Other,5200,6000,5400,
Uthangarai,17/10/2019,0.01,Other,5200,6000,5400,
Uthangarai,19/10/2019,0.01,Other,5200,6000,5400,
Uthangarai,20/10/2019,0.01,Other,5200,6000,5400,
Uthangarai,21/10/2019,0.01,Other,5200,6000,5400,
Uthangarai,22/10/2019,0.01,Other,5200,6000,5400,
Valangaiman,28/10/2019,0.01,MCU-7,3559,6112,5286,
Valangaiman,29/10/2019,0.01,MCU-7,3559,6112,5286,
Valangaiman,30/10/2019,0.01,MCU-7,3559,6112,5286,
Valangaiman,31/10/2019,0.01,MCU-7,3559,6112,5286,
Vedachandur,06/10/2019,0.3,Other,5150,5350,5250,
Vedachandur,09/10/2019,0.36,Other,5150,5350,5250,
Vedachandur,14/10/2019,0.35,Other,5150,5380,5250,
Vedachandur,16/10/2019,0.3,Other,5250,5800,5380,
Vedachandur,17/10/2019,0.35,Other,5250,5580,5380,
Vedachandur,22/10/2019,0.36,Other,5150,5550,5250,
Vedachandur,25/10/2019,0.36,Other,5150,5580,5350,
Vedachandur,30/10/2019,0.2,Other,5150,5350,5250,
Vikkiravandi,03/10/2019,0.4, ,NR,NR,NR,
Vikkiravandi,04/10/2019,1,Other,2000,2900,2800,
Vikkiravandi,09/10/2019,0.2,Other,3000,3629,3340,
Vikkiravandi,10/10/2019,0.7,Other,3619,4569,4200,
Vikkiravandi,14/10/2019,0.1,Other,3740,3789,3760,
Vikkiravandi,16/10/2019,0.2,Other,4000,4861,4450,
Vikkiravandi,23/10/2019,0.3,Other,2040,4769,3500,
Vikkiravandi,30/10/2019,0.2,Other,2200,3840,3000,
Villupuram,01/10/2019,8,Other,5192,6039,5469,
Villupuram,03/10/2019,8,Other,5192,6039,5469,
Villupuram,09/10/2019,5,Other,5050,5867,5579,
Villupuram,10/10/2019,8,Other,5015,5490,5147,
Villupuram,11/10/2019,2.5,Other,5070,5799,5299,
Villupuram,14/10/2019,8, ,NR,NR,NR,
Villupuram,15/10/2019,3, ,NR,NR,NR,
Villupuram,16/10/2019,0.6,Other,4769,4890,4800,
Villupuram,17/10/2019,5,Other,4808,5009,4882,
Villupuram,18/10/2019,0.2,Other,4703,5090,4770,
Villupuram,22/10/2019,1,Other,4566,6333,5030,
Villupuram,23/10/2019,2, ,NR,NR,NR,
Villupuram,24/10/2019,0.2,Other,4829,5009,4939,
Villupuram,25/10/2019,0.2,Other,4809,5120,4909,
Villupuram,29/10/2019,0.2,Other,5000,5060,5060,
Villupuram,30/10/2019,0.4,Other,5179,5179,5179,
Villupuram,31/10/2019,2.5,Other,5093,5309,5273,
Virudhunagar,10/10/2019,10, ,NR,NR,NR,
