Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Bharuasumerpur,01/02/2020,55,Jowar ( White),2500,3500,3000,
Bharuasumerpur,02/02/2020,50,Jowar ( White),2600,3500,3000,
Bharuasumerpur,03/02/2020,30,Jowar ( White),2600,3600,3200,
Bharuasumerpur,04/02/2020,45,Jowar ( White),2600,3600,3200,
Bharuasumerpur,05/02/2020,120,Jowar ( White),2600,3600,3200,
Bharuasumerpur,07/02/2020,80,Jowar ( White),2600,3700,3200,
Bharuasumerpur,08/02/2020,60,Jowar ( White),2600,3700,3200,
Bharuasumerpur,09/02/2020,75,Jowar ( White),2600,3600,3200,
Bharuasumerpur,10/02/2020,45,Jowar ( White),2550,3500,3200,
Bharuasumerpur,11/02/2020,50,Jowar ( White),2600,3550,3200,
Bharuasumerpur,12/02/2020,20,Jowar ( White),2500,3600,3200,
Bharuasumerpur,14/02/2020,110,Jowar ( White),2600,3700,3200,
Bharuasumerpur,15/02/2020,100,Jowar ( White),2550,3700,3200,
Bharuasumerpur,16/02/2020,160,Jowar ( White),2600,3700,3200,
Bharuasumerpur,17/02/2020,180,Jowar ( White),2600,3600,3200,
Bharuasumerpur,18/02/2020,150,Jowar ( White),2550,3650,3200,
Bharuasumerpur,19/02/2020,50,Jowar ( White),2600,3600,3200,
Bharuasumerpur,21/02/2020,60,Jowar ( White),2600,3700,3200,
Bharuasumerpur,22/02/2020,80,Jowar ( White),2650,3700,3200,
Bharuasumerpur,23/02/2020,65,Jowar ( White),2600,3600,3200,
Bharuasumerpur,24/02/2020,50,Jowar ( White),2400,3000,2800,
Bharuasumerpur,25/02/2020,47,Jowar ( White),2400,3100,2800,
Bharuasumerpur,26/02/2020,61,Jowar ( White),2450,3200,2800,
Bharuasumerpur,28/02/2020,150,Jowar ( White),2700,3200,3000,
Bharuasumerpur,29/02/2020,63,Jowar ( White),2800,3300,3000,
Kanpur(Grain),01/02/2020,20,Red,2300,2400,2340,
Kanpur(Grain),03/02/2020,30,Red,2250,2350,2300,
Kanpur(Grain),04/02/2020,40,Red,2200,2300,2250,
Kanpur(Grain),05/02/2020,45,Red,2100,2250,2190,
Kanpur(Grain),06/02/2020,35,Red,2150,2250,2200,
Kanpur(Grain),07/02/2020,40,Red,2200,2300,2250,
Kanpur(Grain),08/02/2020,30,Red,2200,2350,2275,
Kanpur(Grain),10/02/2020,25,Red,2250,2350,2300,
Kanpur(Grain),11/02/2020,45,Red,2200,2300,2250,
Kanpur(Grain),12/02/2020,40,Red,2200,2300,2240,
Kanpur(Grain),13/02/2020,35,Red,2150,2300,2225,
Kanpur(Grain),14/02/2020,50,Red,2100,2200,2150,
Kanpur(Grain),15/02/2020,45,Red,2125,2250,2175,
Kanpur(Grain),17/02/2020,40,Red,2150,2250,2200,
Kanpur(Grain),18/02/2020,30,Red,2200,2300,2240,
Kanpur(Grain),19/02/2020,25,Red,2200,2300,2250,
Kanpur(Grain),20/02/2020,20,Red,2200,2350,2285,
Kanpur(Grain),21/02/2020,22,Red,2200,2300,2265,
Kanpur(Grain),22/02/2020,15,Red,2215,2315,2275,
Kanpur(Grain),24/02/2020,20,Red,2200,2300,2250,
Kanpur(Grain),25/02/2020,30,Red,2100,2300,2200,
Kanpur(Grain),26/02/2020,25,Red,2150,2300,2225,
Kanpur(Grain),27/02/2020,40,Red,2250,2350,2300,
Kanpur(Grain),28/02/2020,35,Red,2200,2400,2300,
Kanpur(Grain),29/02/2020,45,Red,2175,2300,2250,
Kurara,08/02/2020,27, ,NR,NR,NR,
Orai,01/02/2020,25, ,NR,NR,NR,
Orai,02/02/2020,30,Jowar ( White),3900,4000,3950,
Orai,12/02/2020,35,Jowar ( White),3250,3350,3300,
Varipaal,03/02/2020,2.5,Jowar ( White),2700,3000,2850,
Varipaal,04/02/2020,18.7,Jowar ( White),1853,1853,1853,
Varipaal,07/02/2020,2.6,Jowar ( White),2650,2800,2700,
Varipaal,08/02/2020,1.8,Jowar ( White),2800,2850,2820,
Varipaal,10/02/2020,5.5,Jowar ( White),2600,2800,2700,
Varipaal,14/02/2020,5.7,Jowar ( White),2500,2650,2600,
Varipaal,15/02/2020,12.5,Jowar ( White),2500,2650,2600,
Varipaal,17/02/2020,15.5,Jowar ( White),2400,2600,2500,
Varipaal,19/02/2020,10.5,Jowar ( White),2400,2650,2500,
Varipaal,21/02/2020,4.5,Jowar ( White),2500,2650,2600,
Varipaal,23/02/2020,5.6,Jowar ( White),2600,2850,2750,
Varipaal,24/02/2020,6.5,Jowar ( White),2600,2800,2700,
Varipaal,27/02/2020,31.85,Jowar ( White),2600,2800,2700,
Varipaal,28/02/2020,19,Jowar ( White),2650,2800,2700,
