Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Alur,01/04/2019,0.01,Jowar ( White),2450,2500,2475,
Alur,02/04/2019,0.01, ,NR,NR,NR,
Alur,03/04/2019,0.01,Jowar ( White),2450,2490,2470,
Alur,04/04/2019,0.01, ,NR,NR,NR,
Alur,06/04/2019,0.01,Jowar ( White),2460,2500,2480,
Alur,07/04/2019,0.01,Jowar ( White),2460,2500,2480,
Alur,08/04/2019,0.01,Jowar ( White),2460,2500,2480,
Alur,09/04/2019,0.01,Jowar ( White),2460,2500,2480,
Alur,10/04/2019,0.01,Jowar ( White),2460,2500,2480,
Alur,12/04/2019,0.01,Jowar ( White),2440,2480,2460,
Alur,13/04/2019,0.01,Jowar ( White),2440,2500,2470,
Alur,14/04/2019,0.01,Jowar ( White),2460,2500,2480,
Alur,15/04/2019,0.01,Jowar ( White),2460,2500,2480,
Alur,16/04/2019,0.01,Jowar ( White),2440,2500,2470,
Alur,17/04/2019,0.01,Jowar ( White),2450,2510,2480,
Alur,18/04/2019,0.01,Jowar ( White),2460,2520,2490,
Alur,19/04/2019,0.01,Jowar ( White),2460,2520,2490,
Alur,20/04/2019,0.01,Jowar ( White),2460,2520,2490,
Alur,21/04/2019,0.01,Jowar ( White),2460,2500,2480,
Alur,22/04/2019,0.01,Jowar ( White),2440,2520,2480,
Alur,23/04/2019,0.01,Jowar ( White),2440,2500,2470,
Alur,24/04/2019,0.01,Jowar ( White),2460,2520,2490,
Alur,25/04/2019,0.01,Jowar ( White),2450,2510,2480,
Alur,26/04/2019,0.01,Jowar ( White),2450,2550,2500,
Alur,27/04/2019,0.01,Jowar ( White),2450,2550,2500,
Alur,28/04/2019,0.01,Jowar ( White),2450,2550,2500,
Alur,29/04/2019,0.01,Jowar ( White),2460,2560,2510,
Alur,30/04/2019,0.01,Jowar ( White),2460,2560,2510,
Banaganapalli,01/04/2019,1,Jowar ( White),1750,1950,1850,
Banaganapalli,02/04/2019,1,Jowar ( White),1750,1950,1850,
Banaganapalli,03/04/2019,1,Jowar ( White),1800,1950,1850,
Banaganapalli,04/04/2019,1,Jowar ( White),1850,1950,1900,
Banaganapalli,05/04/2019,1,Jowar ( White),1850,1950,1900,
Banaganapalli,06/04/2019,1,Jowar ( White),1850,1950,1900,
Banaganapalli,07/04/2019,1,Jowar ( White),1800,1900,1850,
Banaganapalli,08/04/2019,1,Jowar ( White),1800,1900,1850,
Banaganapalli,09/04/2019,1,Jowar ( White),1800,1900,1850,
Banaganapalli,10/04/2019,1,Jowar ( White),1800,1900,1850,
Banaganapalli,11/04/2019,1,Jowar ( White),1800,1900,1850,
Banaganapalli,12/04/2019,1,Jowar ( White),1800,1900,1850,
Banaganapalli,13/04/2019,1,Jowar ( White),1750,1900,1800,
Banaganapalli,14/04/2019,1,Jowar ( White),1750,1900,1800,
Banaganapalli,15/04/2019,1,Jowar ( White),1800,1900,1850,
Banaganapalli,16/04/2019,1,Jowar ( White),1700,1900,1800,
Banaganapalli,17/04/2019,1,Jowar ( White),1750,1850,1800,
Banaganapalli,18/04/2019,1,Jowar ( White),1700,1900,1800,
Banaganapalli,19/04/2019,1,Jowar ( White),1700,1900,1800,
Banaganapalli,20/04/2019,1,Jowar ( White),1700,1850,1800,
Banaganapalli,21/04/2019,1,Jowar ( White),1700,1900,1800,
Banaganapalli,22/04/2019,1,Jowar ( White),1700,1900,1800,
Banaganapalli,23/04/2019,1,Jowar ( White),1800,1900,1850,
Banaganapalli,24/04/2019,1,Jowar ( White),1750,1900,1850,
Banaganapalli,25/04/2019,1,Jowar ( White),1700,1850,1800,
Banaganapalli,26/04/2019,1,Jowar ( White),1700,1850,1800,
Banaganapalli,27/04/2019,1,Jowar ( White),1750,1850,1800,
Banaganapalli,28/04/2019,1,Jowar ( White),1800,1900,1850,
Banaganapalli,29/04/2019,1,Jowar ( White),1800,1900,1850,
Banaganapalli,30/04/2019,1,Jowar ( White),1800,1900,1850,
Nandyal,01/04/2019,1, ,NR,NR,NR,
Nandyal,03/04/2019,1,Jowar (Yellow),2430,2450,2440,
Nandyal,04/04/2019,1, ,NR,NR,NR,
Nandyal,05/04/2019,1, ,NR,NR,NR,
Nandyal,06/04/2019,1, ,NR,NR,NR,
Nandyal,07/04/2019,1, ,NR,NR,NR,
Nandyal,08/04/2019,1, ,NR,NR,NR,
Nandyal,09/04/2019,1, ,NR,NR,NR,
Nandyal,10/04/2019,1,Jowar (Yellow),2430,2450,2440,
Nandyal,11/04/2019,1,Jowar (Yellow),2430,2450,2440,
Nandyal,12/04/2019,1,Jowar (Yellow),2430,2450,2440,
Nandyal,13/04/2019,1,Jowar (Yellow),2430,2450,2440,
Nandyal,14/04/2019,1,Jowar (Yellow),2430,2450,2440,
Nandyal,15/04/2019,1,Jowar (Yellow),2430,2450,2440,
Nandyal,16/04/2019,1,Jowar (Yellow),2430,2450,2440,
Nandyal,17/04/2019,1,Jowar (Yellow),2430,2450,2440,
Nandyal,18/04/2019,1,Jowar (Yellow),2430,2450,2440,
Nandyal,19/04/2019,1,Jowar (Yellow),2430,2450,2440,
Nandyal,20/04/2019,1,Jowar (Yellow),2430,2450,2440,
Nandyal,21/04/2019,1,Jowar (Yellow),2430,2450,2440,
Nandyal,22/04/2019,1,Jowar (Yellow),2430,2450,2440,
Nandyal,23/04/2019,1, ,NR,NR,NR,
Nandyal,24/04/2019,1, ,NR,NR,NR,
Nandyal,25/04/2019,1, ,NR,NR,NR,
Nandyal,26/04/2019,1, ,NR,NR,NR,
Nandyal,27/04/2019,1, ,NR,NR,NR,
Nandyal,28/04/2019,1,Jowar (Yellow),2430,2450,2440,
Nandyal,29/04/2019,1,Jowar (Yellow),2430,2450,2440,
