Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Badami,06/08/2019,1,Jowar Hybrid,1000,1300,1200,
Bangalore,01/08/2019,29,Jowar ( White),2700,2900,2800,
Bangalore,02/08/2019,33,Jowar ( White),2700,2900,2800,
Bangalore,03/08/2019,37,Jowar ( White),2700,2900,2800,
Bangalore,06/08/2019,11,Jowar ( White),2700,2900,2800,
Bangalore,08/08/2019,10,Jowar ( White),2700,2900,2800,
Bangalore,09/08/2019,17,Jowar ( White),2700,2900,2800,
Bangalore,13/08/2019,56,Jowar ( White),2700,2900,2800,
Bangalore,16/08/2019,11,Jowar ( White),2700,2900,2800,
Bangalore,17/08/2019,21,Jowar ( White),2700,2900,2800,
Bangalore,19/08/2019,56,Jowar ( White),2700,2900,2800,
Bangalore,20/08/2019,15,Jowar ( White),2700,2900,2800,
Bangalore,21/08/2019,6,Jowar ( White),2700,2900,2800,
Bangalore,22/08/2019,39,Jowar ( White),2700,2900,2800,
Bangalore,23/08/2019,32,Jowar ( White),2700,2900,2800,
Bangalore,26/08/2019,38,Jowar ( White),2700,2900,2800,
Bangalore,28/08/2019,5,Jowar ( White),2700,2900,2800,
Bangalore,29/08/2019,35,Jowar ( White),2700,2900,2800,
Bangalore,31/08/2019,12,Jowar ( White),2700,2900,2800,
Basava Kalayana,02/08/2019,2,Hybrid,1975,2020,1984,
Basava Kalayana,02/08/2019,2,Jowar ( White),3100,3401,3200,
Basava Kalayana,03/08/2019,1,Hybrid,2000,2040,2019,
Basava Kalayana,07/08/2019,2,Hybrid,1975,2030,2000,
Basava Kalayana,07/08/2019,2,Jowar ( White),3199,3400,3221,
Basava Kalayana,08/08/2019,1,Hybrid,1940,1981,1975,
Basava Kalayana,08/08/2019,1,Jowar ( White),3200,3400,3361,
Basava Kalayana,09/08/2019,2,Hybrid,1999,2100,2081,
Basava Kalayana,09/08/2019,2,Jowar ( White),2899,3600,3231,
Basava Kalayana,10/08/2019,1,Hybrid,2000,2021,2000,
Basava Kalayana,10/08/2019,1,Jowar ( White),3331,3450,3400,
Basava Kalayana,13/08/2019,1,Hybrid,2050,2101,2070,
Basava Kalayana,13/08/2019,1,Jowar ( White),2900,3450,3400,
