Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Palakkad,01/04/2019,1,Kabuli Chana(Chickpeas-white),7500,8000,7800,
Palakkad,02/04/2019,1,Kabuli Chana(Chickpeas-white),7500,8000,7800,
Palakkad,03/04/2019,1,Kabuli Chana(Chickpeas-white),7500,8000,7800,
Palakkad,04/04/2019,1,Kabuli Chana(Chickpeas-white),7500,8000,7800,
Palakkad,05/04/2019,1,Kabuli Chana(Chickpeas-white),7500,8000,7800,
Palakkad,06/04/2019,1,Kabuli Chana(Chickpeas-white),7500,8000,7800,
Palakkad,08/04/2019,1,Kabuli Chana(Chickpeas-white),7500,8000,7800,
Palakkad,09/04/2019,1,Kabuli Chana(Chickpeas-white),7000,7500,7300,
Palakkad,10/04/2019,1,Kabuli Chana(Chickpeas-white),7000,7500,7300,
Palakkad,11/04/2019,1,Kabuli Chana(Chickpeas-white),7000,7500,7300,
Palakkad,12/04/2019,1,Kabuli Chana(Chickpeas-white),7500,8000,7800,
Palakkad,16/04/2019,1,Kabuli Chana(Chickpeas-white),7500,8000,7800,
Palakkad,17/04/2019,1,Kabuli Chana(Chickpeas-white),7500,8000,7800,
Palakkad,20/04/2019,1,Kabuli Chana(Chickpeas-white),7000,7500,7300,
Palakkad,22/04/2019,1,Kabuli Chana(Chickpeas-white),7000,7500,7300,
Palakkad,24/04/2019,1,Kabuli Chana(Chickpeas-white),7000,7500,7300,
Palakkad,25/04/2019,1,Kabuli Chana(Chickpeas-white),7000,7500,7300,
Palakkad,26/04/2019,1,Kabuli Chana(Chickpeas-white),7000,7500,7300,
Palakkad,27/04/2019,1,Kabuli Chana(Chickpeas-white),7000,7500,7300,
Palakkad,29/04/2019,1,Kabuli Chana(Chickpeas-white),7000,7500,7300,
Palakkad,30/04/2019,1,Kabuli Chana(Chickpeas-white),7000,7500,7300,
Vadakkenchery,01/04/2019,0.22,Kabuli Chana(Chickpeas-white),8000,8500,8250,
Vadakkenchery,02/04/2019,0.23,Kabuli Chana(Chickpeas-white),8000,8500,8250,
Vadakkenchery,03/04/2019,0.2,Kabuli Chana(Chickpeas-white),8000,8500,8250,
Vadakkenchery,04/04/2019,0.22,Kabuli Chana(Chickpeas-white),8000,8500,8250,
Vadakkenchery,05/04/2019,0.23,Kabuli Chana(Chickpeas-white),8000,8500,8250,
Vadakkenchery,06/04/2019,0.22,Kabuli Chana(Chickpeas-white),8000,8500,8250,
Vadakkenchery,08/04/2019,0.23,Kabuli Chana(Chickpeas-white),8000,8500,8250,
Vadakkenchery,09/04/2019,0.22,Kabuli Chana(Chickpeas-white),8000,8500,8250,
Vadakkenchery,10/04/2019,0.23,Kabuli Chana(Chickpeas-white),8000,8500,8250,
Vadakkenchery,11/04/2019,0.2,Kabuli Chana(Chickpeas-white),8000,8500,8250,
Vadakkenchery,13/04/2019,0.25,Kabuli Chana(Chickpeas-white),8000,8500,8250,
Vadakkenchery,16/04/2019,0.22,Kabuli Chana(Chickpeas-white),8000,8500,8250,
Vadakkenchery,17/04/2019,0.21,Kabuli Chana(Chickpeas-white),8000,8500,8250,
Vadakkenchery,23/04/2019,0.24,Kabuli Chana(Chickpeas-white),8000,8500,8250,
Vadakkenchery,24/04/2019,0.22,Kabuli Chana(Chickpeas-white),8000,8500,8250,
Vadakkenchery,25/04/2019,0.24,Kabuli Chana(Chickpeas-white),8000,8500,8250,
Vadakkenchery,26/04/2019,0.21,Kabuli Chana(Chickpeas-white),8000,8500,8250,
Vadakkenchery,27/04/2019,0.2,Kabuli Chana(Chickpeas-white),8000,8500,8250,
Vadakkenchery,29/04/2019,0.22,Kabuli Chana(Chickpeas-white),8000,8500,8250,
Vadakkenchery,30/04/2019,0.25,Kabuli Chana(Chickpeas-white),8000,8500,8250,
