Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Aklera,01/01/2018,60,Other,1160,1185,1172,
Aklera,02/01/2018,82,Other,1150,1170,1160,
Aklera,03/01/2018,80,Other,1140,1170,1155,
Aklera,04/01/2018,100,Other,1150,1174,1160,
Aklera,05/01/2018,80,Other,1138,1170,1154,
Aklera,06/01/2018,80,Other,1140,1170,1155,
Aklera,08/01/2018,70,Other,1130,1170,1150,
Aklera,09/01/2018,80,Other,1140,1160,1150,
Aklera,10/01/2018,90,Other,1145,1175,1160,
Aklera,11/01/2018,84,Other,1130,1165,1148,
Aklera,12/01/2018,50,Other,1150,1165,1158,
Aklera,13/01/2018,43,Other,1160,1170,1165,
Aklera,15/01/2018,30,Other,1140,1180,1160,
Aklera,16/01/2018,50,Other,1165,1181,1173,
Aklera,17/01/2018,60,Other,1133,1183,1158,
Aklera,18/01/2018,100,Other,1165,1185,1175,
Aklera,19/01/2018,50,Other,1165,1185,1175,
Aklera,20/01/2018,48,Other,1160,1190,1175,
Aklera,22/01/2018,65,Other,1150,1190,1170,
Aklera,23/01/2018,60,Other,1170,1190,1180,
Aklera,24/01/2018,60,Other,1190,1200,1195,
Aklera,25/01/2018,30,Other,1150,1200,1175,
Aklera,27/01/2018,20,Other,1170,1200,1185,
Aklera,29/01/2018,70,Other,1190,1208,1199,
Aklera,30/01/2018,80,Other,1190,1220,1205,
Aklera,31/01/2018,75,Other,1200,1230,1215,
Alwar,03/01/2018,2.2,Other,1520,1550,1535,
Alwar,04/01/2018,3.1,Other,1520,1550,1530,
Alwar,06/01/2018,0.9,Other,1520,1550,1540,
Alwar,09/01/2018,2,Other,1510,1530,1520,
Alwar,11/01/2018,25.2,Other,1500,1530,1515,
Alwar,23/01/2018,0.2,Other,1500,1520,1515,
Alwar,24/01/2018,0.9,Other,1500,1520,1510,
Atru,01/01/2018,0.8,Fine,1080,1116,1098,
Atru,02/01/2018,0.8,Fine,990,1113,1051,
Atru,03/01/2018,0.7,Fine,1080,1080,1080,
Atru,04/01/2018,0.4,Fine,1090,1090,1090,
Atru,06/01/2018,0.4,Fine,1080,1085,1082,
Atru,08/01/2018,0.4,Fine,1001,1098,1049,
Atru,09/01/2018,0.4,Fine,1084,1092,1088,
Atru,10/01/2018,0.3,Fine,1080,1080,1080,
Atru,12/01/2018,0.4,Fine,1065,1078,1071,
Atru,13/01/2018,0.1,Fine,1074,1074,1074,
Atru,16/01/2018,0.4,Fine,1070,1070,1070,
Atru,17/01/2018,0.2,Fine,1075,1075,1075,
Atru,19/01/2018,0.2,Fine,1011,1011,1011,
Atru,20/01/2018,0.4,Fine,1011,1011,1011,
Atru,23/01/2018,1,Fine,1036,1051,1043,
Atru,24/01/2018,0.2,Fine,1024,1024,1024,
Atru,25/01/2018,0.6,Fine,1038,1041,1039,
Atru,29/01/2018,1.2,Fine,1107,1107,1107,
Atru,31/01/2018,5.3,Fine,1035,1099,1067,
Atru(Kawai Salpura),01/01/2018,2.1, ,NR,NR,NR,
Atru(Kawai Salpura),02/01/2018,2, ,NR,NR,NR,
Atru(Kawai Salpura),03/01/2018,3.3, ,NR,NR,NR,
Atru(Kawai Salpura),04/01/2018,0.3, ,NR,NR,NR,
Atru(Kawai Salpura),05/01/2018,2.2, ,NR,NR,NR,
Atru(Kawai Salpura),06/01/2018,1.3, ,NR,NR,NR,
Atru(Kawai Salpura),08/01/2018,0.8, ,NR,NR,NR,
Atru(Kawai Salpura),09/01/2018,0.5, ,NR,NR,NR,
Atru(Kawai Salpura),10/01/2018,1.9, ,NR,NR,NR,
Atru(Kawai Salpura),11/01/2018,0.1, ,NR,NR,NR,
Atru(Kawai Salpura),12/01/2018,0.4, ,NR,NR,NR,
Atru(Kawai Salpura),13/01/2018,3.1, ,NR,NR,NR,
Atru(Kawai Salpura),15/01/2018,0.5, ,NR,NR,NR,
Atru(Kawai Salpura),16/01/2018,0.1, ,NR,NR,NR,
Atru(Kawai Salpura),17/01/2018,0.1, ,NR,NR,NR,
Atru(Kawai Salpura),18/01/2018,2.6, ,NR,NR,NR,
Atru(Kawai Salpura),19/01/2018,0.4, ,NR,NR,NR,
Atru(Kawai Salpura),22/01/2018,0.9, ,NR,NR,NR,
Atru(Kawai Salpura),23/01/2018,1, ,NR,NR,NR,
Atru(Kawai Salpura),24/01/2018,4.6, ,NR,NR,NR,
Atru(Kawai Salpura),27/01/2018,0.8, ,NR,NR,NR,
Atru(Kawai Salpura),29/01/2018,0.6, ,NR,NR,NR,
Atru(Kawai Salpura),31/01/2018,0.7, ,NR,NR,NR,
Badrisadri,01/01/2018,8.7,Other,1093,1206,1153,
