Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Bagbahra,31/07/2018,8.4,Mustard,4000,4000,4000,
Bhatapara,02/07/2018,2.5,Other,2962,3051,2967,
Bhatapara,03/07/2018,6.3,Other,2800,3031,2990,
Bhatapara,04/07/2018,3.6,Other,2935,2961,2950,
Bhatapara,05/07/2018,5.6,Other,2815,3061,2950,
Bhatapara,06/07/2018,1.5,Other,2940,3064,2951,
Bhatapara,07/07/2018,2.9,Other,2899,3175,2975,
Bhatapara,09/07/2018,2.5,Other,2900,3300,3285,
Bhatapara,10/07/2018,4.1,Other,3200,3376,3308,
Bhatapara,11/07/2018,4.4, ,NR,NR,NR,
Bhatapara,12/07/2018,3,Other,3266,3356,3322,
Bhatapara,13/07/2018,7.4,Other,3125,3471,3331,
Bhatapara,14/07/2018,3.3,Other,3200,3350,3331,
Bhatapara,16/07/2018,0.8,Other,3261,3355,3295,
Bhatapara,17/07/2018,3.9,Other,3200,3551,3360,
Bhatapara,18/07/2018,5.2,Other,3300,3510,3450,
Bhatapara,19/07/2018,0.8,Other,3250,3550,3501,
Bhatapara,20/07/2018,6.3,Other,3400,3500,3475,
Bhatapara,21/07/2018,1.8,Other,2710,3525,3475,
Bhatapara,23/07/2018,3.1,Other,3200,3560,3380,
Bhatapara,24/07/2018,0.7,Other,3400,3495,3490,
Bhatapara,25/07/2018,3.4,Other,3200,3500,3400,
Bhatapara,26/07/2018,1.7,Other,3200,3500,3445,
Bhatapara,27/07/2018,1.9,Other,3050,3390,3326,
Bhatapara,28/07/2018,3,Other,2600,3391,3300,
Bhatapara,30/07/2018,0.5,Other,3200,3480,3460,
Bhatapara,31/07/2018,1,Other,3105,3526,3445,
Durg,19/07/2018,0.3,Yellow (Black),3100,3250,3175,
Durg,25/07/2018,5,Yellow (Black),3500,3510,3505,
Katghora,04/07/2018,20,Other,4000,4000,4000,
Katghora,23/07/2018,20,Other,4000,4000,4000,
Pathalgaon,31/07/2018,2,Other,3000,3000,3000,
Raipur,13/07/2018,1.7,Other,2400,2400,2400,
Raipur,19/07/2018,4.4,Other,2400,3700,3050,
Rajnandgaon,02/07/2018,0.1,Mustard,2600,2680,2600,
Rajnandgaon,03/07/2018,0.7,Mustard,2690,2801,2770,
Rajnandgaon,04/07/2018,0.1,Mustard,2750,2771,2750,
Rajnandgaon,05/07/2018,1,Mustard,2625,2792,2750,
Rajnandgaon,06/07/2018,0.4,Mustard,2750,2796,2750,
Rajnandgaon,07/07/2018,0.3,Mustard,2730,2899,2800,
Rajnandgaon,09/07/2018,1.1,Mustard,2700,2813,2775,
Rajnandgaon,10/07/2018,1.4,Mustard,2820,3000,2931,
Rajnandgaon,11/07/2018,0.3,Mustard,2905,3112,3056,
Rajnandgaon,12/07/2018,0.6,Mustard,2800,3051,3026,
Rajnandgaon,13/07/2018,2.1,Mustard,3050,3100,3050,
Rajnandgaon,14/07/2018,1.6,Mustard,2801,3190,3151,
Rajnandgaon,16/07/2018,1.4,Mustard,2900,3201,3075,
Rajnandgaon,17/07/2018,0.2,Mustard,2775,3175,3120,
Rajnandgaon,18/07/2018,0.4,Mustard,3126,3222,3190,
Rajnandgaon,19/07/2018,0.9,Mustard,3150,3201,3175,
Rajnandgaon,20/07/2018,9.5,Mustard,3159,3200,3175,
Rajnandgaon,21/07/2018,0.9,Mustard,3100,3200,3150,
Rajnandgaon,23/07/2018,0.4,Mustard,3150,3200,3175,
Rajnandgaon,24/07/2018,1.4,Mustard,3151,3185,3171,
Rajnandgaon,25/07/2018,0.6,Mustard,3151,3185,3170,
Rajnandgaon,26/07/2018,1.7,Mustard,3100,3175,3150,
Rajnandgaon,27/07/2018,0.1,Mustard,3100,3100,3100,
Rajnandgaon,28/07/2018,0.5,Mustard,3050,3150,3100,
Rajnandgaon,30/07/2018,0.1,Mustard,3150,3150,3150,
Rajnandgaon,31/07/2018,0.5,Mustard,3151,3251,3200,
Ramanujganj,30/07/2018,4,Mustard,3900,3900,3900,
