Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Achalda,19/09/2019,0.2,Lohi Black,3500,3650,3600,
Achalda,20/09/2019,0.3,Lohi Black,3500,3700,3600,
Achalda,21/09/2019,0.2,Lohi Black,3500,3600,3550,
Achalda,23/09/2019,0.2,Lohi Black,3500,3700,3600,
Achalda,24/09/2019,0.1,Lohi Black,3500,3700,3600,
Achalda,25/09/2019,0.1,Lohi Black,3500,3600,3550,
Achalda,26/09/2019,0.12,Lohi Black,3500,3700,3600,
Achalda,27/09/2019,0.2,Lohi Black,3500,3700,3600,
Achalda,28/09/2019,0.1,Lohi Black,3500,3700,3600,
Achalda,30/09/2019,0.1,Lohi Black,3500,3700,3600,
Achnera,01/09/2019,11,Sarson(Black),3600,3800,3700,
Achnera,02/09/2019,13,Sarson(Black),3600,3800,3700,
Achnera,03/09/2019,13,Sarson(Black),3580,3780,3680,
Achnera,04/09/2019,12,Sarson(Black),3500,3700,3600,
Achnera,06/09/2019,12,Sarson(Black),3580,3780,3680,
Achnera,07/09/2019,12,Sarson(Black),3590,3790,3690,
Achnera,08/09/2019,13,Sarson(Black),3600,3800,3700,
Achnera,09/09/2019,12,Sarson(Black),3580,3780,3680,
Achnera,10/09/2019,12,Sarson(Black),3590,3790,3690,
Achnera,11/09/2019,12,Sarson(Black),3600,3800,3700,
Achnera,13/09/2019,13,Sarson(Black),3600,3800,3700,
Achnera,14/09/2019,12,Sarson(Black),3600,3800,3700,
Achnera,15/09/2019,13,Sarson(Black),3650,3850,3750,
Achnera,16/09/2019,14,Sarson(Black),3600,3800,3700,
Achnera,17/09/2019,13,Sarson(Black),3650,3850,3750,
Achnera,18/09/2019,14,Sarson(Black),3640,3840,3740,
Achnera,20/09/2019,12,Sarson(Black),3620,3820,3720,
Achnera,21/09/2019,11,Sarson(Black),3630,3830,3730,
Achnera,22/09/2019,12,Sarson(Black),3600,3800,3700,
Achnera,23/09/2019,13,Sarson(Black),3600,3800,3700,
Achnera,24/09/2019,12,Sarson(Black),3580,3780,3680,
Achnera,25/09/2019,11,Sarson(Black),3600,3800,3700,
Achnera,27/09/2019,13,Sarson(Black),3600,3800,3700,
Achnera,28/09/2019,12,Sarson(Black),3600,3800,3700,
Achnera,29/09/2019,11,Sarson(Black),3600,3800,3700,
Achnera,30/09/2019,12,Sarson(Black),3570,3770,3670,
Agra,02/09/2019,142,Sarson(Black),3500,3700,3610,
Agra,03/09/2019,135,Sarson(Black),3500,3700,3600,
Agra,04/09/2019,142,Sarson(Black),3500,3700,3620,
Agra,05/09/2019,147,Sarson(Black),3500,3700,3610,
Agra,06/09/2019,165,Sarson(Black),3550,3700,3620,
Agra,07/09/2019,149,Sarson(Black),3540,3700,3610,
Agra,09/09/2019,11,Sarson(Black),3550,3750,3620,
Agra,10/09/2019,154, ,NR,NR,NR,
Agra,11/09/2019,153, ,NR,NR,NR,
Agra,12/09/2019,158,Sarson(Black),3500,3700,3600,
Agra,13/09/2019,164,Sarson(Black),3550,3700,3620,
Agra,14/09/2019,179,Sarson(Black),3500,3700,3600,
Agra,16/09/2019,174,Sarson(Black),3500,3700,3610,
Agra,17/09/2019,161,Sarson(Black),3550,3750,3650,
Agra,18/09/2019,162,Sarson(Black),3550,3750,3660,
Agra,19/09/2019,161,Sarson(Black),3550,3750,3650,
Agra,20/09/2019,152,Sarson(Black),3550,3750,3640,
Agra,21/09/2019,162.5,Sarson(Black),3550,3750,3650,
Agra,23/09/2019,169,Sarson(Black),3550,3700,3620,
Agra,24/09/2019,170,Sarson(Black),3550,3750,3640,
Agra,25/09/2019,167,Sarson(Black),3550,3750,3650,
Agra,26/09/2019,172,Sarson(Black),3550,3750,3640,
Agra,27/09/2019,185,Sarson(Black),3550,3750,3650,
Agra,28/09/2019,187,Sarson(Black),3600,3750,3670,
Agra,30/09/2019,195,Sarson(Black),3550,3750,3645,
Ajuha,01/09/2019,1,Lohi Black,4150,4250,4200,
Ajuha,02/09/2019,1.2,Lohi Black,4150,4250,4200,
Ajuha,03/09/2019,1,Lohi Black,4150,4250,4200,
Ajuha,04/09/2019,1.2,Lohi Black,4150,4250,4200,
Ajuha,05/09/2019,1,Lohi Black,4150,4250,4200,
Ajuha,07/09/2019,1.2,Lohi Black,4000,4200,4100,
Ajuha,08/09/2019,1,Lohi Black,4100,4200,4150,
Ajuha,09/09/2019,0.8,Lohi Black,4150,4250,4200,
Ajuha,10/09/2019,1,Lohi Black,4150,4300,4200,
Ajuha,11/09/2019,1.2,Lohi Black,4150,4250,4200,
Ajuha,12/09/2019,1.1,Lohi Black,4150,4300,4200,
Ajuha,14/09/2019,1,Lohi Black,4150,4250,4200,
Ajuha,15/09/2019,1.2,Lohi Black,4150,4250,4200,
Ajuha,16/09/2019,1.5,Lohi Black,4125,4250,4150,
Ajuha,17/09/2019,1,Lohi Black,4150,4250,4200,
Ajuha,18/09/2019,0.8,Lohi Black,4150,4250,4200,
Ajuha,19/09/2019,1,Lohi Black,4150,4250,4200,
Ajuha,21/09/2019,1.2,Lohi Black,4150,4250,4200,
Ajuha,22/09/2019,1,Lohi Black,4150,4250,4200,
Ajuha,23/09/2019,1.2,Lohi Black,4150,4250,4200,
Ajuha,24/09/2019,1,Lohi Black,4100,4250,4150,
Ajuha,25/09/2019,1.2,Lohi Black,4000,4200,4100,
Ajuha,26/09/2019,1,Lohi Black,4000,4200,4100,
Ajuha,28/09/2019,0.8,Lohi Black,4050,4200,4100,
Ajuha,29/09/2019,1,Lohi Black,4100,4200,4150,
Ajuha,30/09/2019,1.2,Lohi Black,4100,4200,4150,
Akbarpur,01/09/2019,1.8,Lohi Black,3810,3890,3860,
Akbarpur,02/09/2019,1.6,Lohi Black,3820,3880,3850,
Akbarpur,04/09/2019,1.8,Lohi Black,3810,3900,3860,
Akbarpur,05/09/2019,2.1,Lohi Black,3830,3900,3870,
Akbarpur,06/09/2019,2,Lohi Black,3850,3920,3890,
Akbarpur,07/09/2019,1.8,Lohi Black,3880,3910,3880,
Akbarpur,08/09/2019,2,Lohi Black,3840,3890,3870,
Akbarpur,09/09/2019,1.7,Lohi Black,3865,3915,3875,
Akbarpur,11/09/2019,2.1,Lohi Black,3820,3900,3860,
Akbarpur,12/09/2019,1.7,Lohi Black,3820,3890,3850,
Akbarpur,13/09/2019,1.6,Lohi Black,3830,3900,3860,
Akbarpur,14/09/2019,1.5,Lohi Black,3840,3890,3870,
Akbarpur,15/09/2019,1.1,Lohi Black,3840,3930,3880,
Akbarpur,16/09/2019,4,Lohi Black,3820,3900,3870,
Akbarpur,18/09/2019,1.5,Lohi Black,3840,3920,3890,
Akbarpur,19/09/2019,1,Lohi Black,3840,3920,3880,
Akbarpur,20/09/2019,2.3,Lohi Black,3820,3900,3870,
Akbarpur,21/09/2019,2,Lohi Black,3800,3900,3850,
Akbarpur,22/09/2019,1.5,Lohi Black,3820,3860,3840,
Akbarpur,23/09/2019,1.2,Lohi Black,3830,3890,3860,
Akbarpur,25/09/2019,1.5,Lohi Black,3820,3890,3870,
Akbarpur,26/09/2019,2.2,Lohi Black,3820,3890,3850,
Akbarpur,27/09/2019,2.1,Lohi Black,3830,3890,3860,
Akbarpur,28/09/2019,1.8,Lohi Black,3800,3880,3840,
Akbarpur,29/09/2019,2,Lohi Black,3810,3890,3850,
Akbarpur,30/09/2019,1.7,Lohi Black,3820,3890,3860,
Aliganj,02/09/2019,4,Sarson(Black),3200,3400,3300,
Aliganj,03/09/2019,9,Sarson(Black),3200,3400,3300,
Aliganj,04/09/2019,9,Sarson(Black),3200,3400,3300,
Aliganj,05/09/2019,10,Sarson(Black),3200,3400,3300,
