Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Kurnool,02/08/2019,2.5,Local,910,910,910,
Kurnool,08/08/2019,14.8,Local,780,1710,1510,
Kurnool,09/08/2019,9.4,Local,1810,1830,1810,
Kurnool,10/08/2019,35.2,Local,1130,1880,1720,
Kurnool,13/08/2019,124.1,Local,810,1890,1760,
Kurnool,14/08/2019,131,Local,1070,2000,1770,
Kurnool,16/08/2019,196.4,Local,1380,2240,1950,
Kurnool,17/08/2019,74.8,Local,1100,2240,1930,
Kurnool,19/08/2019,190.7,Local,1090,2350,1980,
Kurnool,20/08/2019,256.1,Local,1040,2650,2200,
Kurnool,21/08/2019,237.9,Local,1510,2900,2500,
Kurnool,22/08/2019,196.1,Local,1330,2860,2420,
Kurnool,24/08/2019,438.1,Local,1360,2660,2350,
Kurnool,26/08/2019,493.3,Local,1320,2470,2240,
Kurnool,27/08/2019,707.3,Local,1380,2780,2400,
Kurnool,28/08/2019,673.4,Local,1340,2700,2390,
Kurnool,29/08/2019,475.5,Local,1590,2590,2380,
Kurnool,31/08/2019,787.7,Local,1080,2500,2160,
Pattikonda,01/08/2019,1,Local,2500,3000,2700,
Pattikonda,02/08/2019,1,Local,2000,2500,2300,
Pattikonda,03/08/2019,1,Local,2500,3000,2800,
Pattikonda,04/08/2019,1,Local,2500,2800,2600,
Pattikonda,05/08/2019,1,Local,2400,2600,2500,
Pattikonda,06/08/2019,1,Local,2500,3000,2800,
Pattikonda,07/08/2019,1,Local,2500,3000,2800,
Pattikonda,08/08/2019,1,Local,2000,2500,2200,
Pattikonda,09/08/2019,1,Local,2000,2500,2300,
Pattikonda,10/08/2019,1,Local,2000,2500,2300,
Pattikonda,12/08/2019,1,Local,2200,2500,2300,
Pattikonda,13/08/2019,1,Local,1800,2000,1900,
Pattikonda,14/08/2019,1,Local,2000,2500,2300,
Pattikonda,15/08/2019,1,Local,2000,2500,2300,
Pattikonda,16/08/2019,1,Local,1700,2000,1800,
Pattikonda,17/08/2019,1,Local,1500,2000,1700,
Pattikonda,18/08/2019,1,Local,1200,1500,1300,
Pattikonda,19/08/2019,1,Local,1200,1500,1400,
Pattikonda,20/08/2019,1,Local,1200,1500,1400,
Pattikonda,21/08/2019,1,Local,1200,1500,1400,
Pattikonda,22/08/2019,1,Local,1200,1500,1400,
Pattikonda,23/08/2019,1,Local,1200,1500,1400,
Pattikonda,24/08/2019,1,Local,1200,1500,1400,
Pattikonda,25/08/2019,1,Local,1200,1500,1400,
Pattikonda,26/08/2019,1,Local,1200,1500,1400,
Pattikonda,27/08/2019,1,Local,1200,1500,1400,
Pattikonda,28/08/2019,1,Local,3500,4000,3800,
Pattikonda,29/08/2019,1,Local,3500,4000,3800,
Pattikonda,30/08/2019,1,Local,3800,4000,3900,
Pattikonda,31/08/2019,1,Local,3800,4000,3900,
Tadepalligudem,03/08/2019,100,Onion,900,1800,1650,
Tadepalligudem,04/08/2019,120,Onion,900,1800,1650,
Tadepalligudem,05/08/2019,100,Onion,900,1850,1750,
Tadepalligudem,06/08/2019,120,Onion,900,1850,1750,
Tadepalligudem,07/08/2019,100,Onion,1000,1900,1800,
Tadepalligudem,08/08/2019,80,Onion,1000,1950,1800,
Tadepalligudem,09/08/2019,100,Onion,1000,1900,1700,
Tadepalligudem,10/08/2019,120,Onion,900,1900,1800,
Tadepalligudem,11/08/2019,200,Onion,900,1900,1800,
Tadepalligudem,12/08/2019,100,Onion,1000,1900,1800,
Tadepalligudem,13/08/2019,80,Onion,1000,1950,1800,
Tadepalligudem,14/08/2019,80,Onion,1000,2200,2000,
Tadepalligudem,15/08/2019,60,Onion,1000,2200,2000,
Tadepalligudem,16/08/2019,100,Onion,1000,2300,2000,
Tadepalligudem,17/08/2019,60,Onion,1000,2300,2000,
Tadepalligudem,18/08/2019,120,Onion,800,2200,2100,
Tadepalligudem,19/08/2019,60,Onion,800,2300,2100,
Tadepalligudem,20/08/2019,80,Onion,1000,2600,2500,
Tadepalligudem,21/08/2019,160,1st Sort,1000,2600,2400,
Tadepalligudem,21/08/2019,160,Onion,1000,2700,2500,
Tadepalligudem,23/08/2019,200,Onion,1000,2700,2600,
Tadepalligudem,24/08/2019,280,Onion,1000,2900,2800,
Tadepalligudem,25/08/2019,300,Onion,1000,2900,2800,
Tadepalligudem,26/08/2019,280,Onion,1000,2900,2800,
Tadepalligudem,27/08/2019,600, ,NR,NR,NR,
Tadepalligudem,28/08/2019,1240, ,NR,NR,NR,
Tadepalligudem,29/08/2019,1400, ,NR,NR,NR,
Tadepalligudem,30/08/2019,1400, ,NR,NR,NR,
Tadepalligudem,31/08/2019,1600, ,NR,NR,NR,
