Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Durg,01/11/2018,9, ,NR,NR,NR,
Durg,02/11/2018,7, ,NR,NR,NR,
Durg,03/11/2018,7,Other,2400,2600,2500,
Durg,04/11/2018,7,Other,2400,2500,2450,
Durg,06/11/2018,9,Other,2200,2600,2400,
Durg,07/11/2018,7,Other,2000,2200,2100,
Durg,10/11/2018,5,Other,1800,2200,2000,
Durg,11/11/2018,6,Other,1600,2000,1800,
Durg,13/11/2018,8,Other,1800,2000,1900,
Durg,14/11/2018,9,Other,1800,2000,1900,
Durg,15/11/2018,8,Other,1700,2000,1850,
Durg,16/11/2018,6,Other,1800,2000,1900,
Durg,17/11/2018,5,Other,1600,2000,1800,
Durg,18/11/2018,7,Other,1800,2000,1900,
Durg,20/11/2018,9,Other,1600,2000,1800,
Durg,21/11/2018,80,Other,1800,2000,1900,
Durg,22/11/2018,6,Other,1800,2200,2000,
Durg,23/11/2018,5,Other,2000,2200,2100,
Durg,24/11/2018,3,Other,1800,2200,2000,
Durg,25/11/2018,7,Other,1600,2000,1800,
Durg,27/11/2018,9,Other,1800,2000,1900,
Durg,28/11/2018,10,Other,1600,2000,1800,
Durg,29/11/2018,9,Other,1800,2000,1900,
Durg,30/11/2018,8,Other,1600,2000,1800,
Raigarh,02/11/2018,50, ,NR,NR,NR,
Raigarh,03/11/2018,10,Other,1700,1800,1700,
Raigarh,04/11/2018,21,Other,1600,1700,1600,
Raigarh,05/11/2018,25,Other,1600,1700,1600,
Raigarh,07/11/2018,27,Other,1600,1700,1600,
Raigarh,09/11/2018,27,Other,1600,1700,1600,
Raigarh,10/11/2018,28,Other,1600,1700,1600,
Raigarh,11/11/2018,28,Other,1600,1700,1600,
Raigarh,12/11/2018,25,Other,1600,1700,1600,
Raigarh,13/11/2018,25,Other,1600,1700,1600,
Raigarh,14/11/2018,35,Other,1600,1700,1600,
Raigarh,15/11/2018,25,Other,1600,1700,1600,
Raigarh,16/11/2018,25,Other,1600,1700,1600,
Raigarh,17/11/2018,25,Other,1600,1700,1600,
Raigarh,18/11/2018,24,Other,1600,1700,1600,
Raigarh,19/11/2018,25,Other,1600,1700,1600,
Raigarh,20/11/2018,20,Other,1600,1700,1600,
Raigarh,21/11/2018,27,Other,1600,1700,1600,
Raigarh,22/11/2018,21,Other,1600,1700,1600,
Raigarh,23/11/2018,27,Other,1600,1700,1600,
Raigarh,24/11/2018,28,Other,1600,1700,1600,
Raigarh,26/11/2018,27,Other,1600,1700,1600,
Raigarh,27/11/2018,28,Other,1600,1700,1600,
Raigarh,28/11/2018,27,Other,1600,1700,1600,
Raigarh,29/11/2018,25,Other,1500,1600,1500,
Raigarh,30/11/2018,27,Other,1500,1600,1500,
Rajnandgaon,01/11/2018,5.5,Onion,1800,1800,1800,
Rajnandgaon,02/11/2018,2.5, ,NR,NR,NR,
Rajnandgaon,03/11/2018,10, ,NR,NR,NR,
Rajnandgaon,07/11/2018,5,Onion,1800,1800,1800,
Rajnandgaon,10/11/2018,10,Onion,1800,1800,1800,
Rajnandgaon,11/11/2018,7,Onion,1800,1800,1800,
Rajnandgaon,13/11/2018,4,Onion,1800,1800,1800,
Rajnandgaon,14/11/2018,10,Onion,1800,1800,1800,
Rajnandgaon,15/11/2018,7.5, ,NR,NR,NR,
Rajnandgaon,16/11/2018,5, ,NR,NR,NR,
Rajnandgaon,17/11/2018,5,Onion,1700,1700,1700,
