Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Durg,01/08/2018,13,Other,1500,1700,1600,
Durg,02/08/2018,11,Other,1200,1600,1400,
Durg,03/08/2018,16,Other,1200,1600,1400,
Durg,04/08/2018,14,Other,1400,1600,1500,
Durg,05/08/2018,18,Other,1200,1600,1400,
Durg,07/08/2018,21,Other,1400,1800,1600,
Durg,08/08/2018,18,Other,1400,1600,1500,
Durg,09/08/2018,15,Other,1400,1600,1500,
Durg,10/08/2018,16,Other,1500,1700,1600,
Durg,11/08/2018,14,Other,1400,1600,1500,
Durg,12/08/2018,11,Other,1000,1500,1250,
Durg,14/08/2018,11,Other,1000,1500,1250,
Durg,16/08/2018,14,Other,1200,1600,1400,
Durg,17/08/2018,12,Other,1200,1600,1400,
Durg,18/08/2018,11,Other,1500,1600,1550,
Durg,19/08/2018,12,Other,1500,1600,1550,
Durg,21/08/2018,15,Other,1400,1600,1500,
Durg,23/08/2018,18,Other,1400,1600,1500,
Durg,24/08/2018,15,Other,1400,1600,1500,
Durg,25/08/2018,13,Other,1600,1800,1700,
Durg,26/08/2018,7,Other,1500,1700,1600,
Durg,28/08/2018,9,Other,1400,1800,1600,
Durg,29/08/2018,8,Other,1600,1800,1700,
Durg,30/08/2018,10,Other,1400,1800,1600,
Durg,31/08/2018,12,Other,1400,1600,1500,
Raigarh,02/08/2018,75,Other,1600,1700,1600,
Raigarh,04/08/2018,10,Other,1700,1800,1700,
Raigarh,07/08/2018,25,Other,1600,1700,1600,
Raigarh,08/08/2018,25,Other,1600,1700,1600,
Raigarh,09/08/2018,21,Other,1600,1700,1600,
Raigarh,10/08/2018,25,Other,1600,1700,1600,
Raigarh,11/08/2018,25,Other,1700,1800,1700,
Raigarh,12/08/2018,25,Other,1600,1700,1600,
Raigarh,13/08/2018,25,Other,1600,1700,1600,
Raigarh,14/08/2018,250,Other,1700,1800,1700,
Raigarh,15/08/2018,10,Other,1700,1800,1700,
Raigarh,19/08/2018,25,Other,1800,2000,1800,
Raigarh,21/08/2018,25,Other,1800,2000,1800,
Raigarh,22/08/2018,25,Other,1800,1900,1800,
Raigarh,23/08/2018,25,Other,1700,1800,1700,
Raigarh,24/08/2018,25,Other,1700,1800,1700,
Raigarh,25/08/2018,25,Other,1700,1800,1700,
Raigarh,26/08/2018,25,Other,1700,1800,1700,
Raigarh,27/08/2018,25,Other,1600,1700,1600,
Raigarh,29/08/2018,21,Other,1700,1800,1700,
Raigarh,30/08/2018,25,Other,1800,1900,1800,
Rajnandgaon,04/08/2018,4,Onion,1300,1300,1300,
Rajnandgaon,05/08/2018,5,Onion,1400,1400,1400,
Rajnandgaon,07/08/2018,7.5,Onion,1400,1400,1400,
Rajnandgaon,08/08/2018,13,Onion,1400,1400,1400,
Rajnandgaon,11/08/2018,7.5,Onion,1400,1400,1400,
Rajnandgaon,14/08/2018,11,Onion,1400,1400,1400,
Rajnandgaon,17/08/2018,5.5,Onion,1400,1400,1400,
Rajnandgaon,18/08/2018,4,Onion,1400,1400,1400,
Rajnandgaon,21/08/2018,12.5,Onion,1400,1400,1400,
Rajnandgaon,22/08/2018,5.5,Onion,1400,1400,1400,
Rajnandgaon,23/08/2018,6,Onion,1400,1400,1400,
Rajnandgaon,24/08/2018,4,Onion,1400,1400,1400,
Rajnandgaon,25/08/2018,3,Onion,1400,1400,1400,
Rajnandgaon,26/08/2018,4.5,Onion,1400,1400,1400,
Rajnandgaon,29/08/2018,7.5,Onion,1400,1400,1400,
Rajnandgaon,30/08/2018,5,Onion,1400,1400,1400,
Tiphra,02/08/2018,50,Other,1300,1400,1300,
Tiphra,03/08/2018,55,Other,1500,1600,1500,
Tiphra,04/08/2018,50,Other,1600,1650,1600,
Tiphra,05/08/2018,40,Other,1500,1700,1600,
Tiphra,06/08/2018,55,Other,1400,1600,1500,
Tiphra,07/08/2018,60,Other,1300,1500,1350,
Tiphra,08/08/2018,55,Other,1400,1600,1500,
Tiphra,09/08/2018,54,Other,1300,1400,1300,
Tiphra,10/08/2018,50,Other,1200,1400,1300,
Tiphra,12/08/2018,51,Other,1400,1600,1500,
Tiphra,13/08/2018,54,Other,1300,1500,1400,
Tiphra,14/08/2018,46,Other,1500,1700,1600,
Tiphra,15/08/2018,41,Other,1400,1600,1500,
Tiphra,16/08/2018,50,Other,1300,1500,1400,
Tiphra,17/08/2018,58,Other,1200,1300,1200,
Tiphra,18/08/2018,54,Other,1300,1500,1400,
Tiphra,19/08/2018,41,Other,1400,1600,1500,
Tiphra,20/08/2018,50,Other,1300,1400,1300,
Tiphra,21/08/2018,48,Other,1400,1600,1500,
Tiphra,22/08/2018,45,Other,1500,1700,1600,
Tiphra,23/08/2018,50,Other,1600,1800,1700,
Tiphra,24/08/2018,52,Other,1100,1300,1200,
Tiphra,25/08/2018,47.5,Other,1000,1200,1100,
Tiphra,27/08/2018,40,Other,1100,1300,1200,
Tiphra,28/08/2018,45,Other,1000,1200,1100,
Tiphra,29/08/2018,50,Other,1100,1300,1200,
Tiphra,30/08/2018,55,Other,800,1200,1000,
