Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Ahmedabad(Chimanbhai Patal Market Vasana),01/06/2019,675,Local,600,800,725,
Ahmedabad(Chimanbhai Patal Market Vasana),01/06/2019,675,Nasik,700,1300,1025,
Ahmedabad(Chimanbhai Patal Market Vasana),03/06/2019,993.8,Local,600,900,800,
Ahmedabad(Chimanbhai Patal Market Vasana),03/06/2019,993.8,Nasik,700,1300,1050,
Ahmedabad(Chimanbhai Patal Market Vasana),04/06/2019,669.7,Local,600,800,750,
Ahmedabad(Chimanbhai Patal Market Vasana),04/06/2019,669.7,Nasik,750,1300,1075,
Ahmedabad(Chimanbhai Patal Market Vasana),06/06/2019,936.7,Local,600,900,800,
Ahmedabad(Chimanbhai Patal Market Vasana),06/06/2019,936.7,Nasik,750,1400,1125,
Ahmedabad(Chimanbhai Patal Market Vasana),07/06/2019,563.9,Nasik,750,1400,1125,
Ahmedabad(Chimanbhai Patal Market Vasana),08/06/2019,694.6,Nasik,800,1400,1150,
Ahmedabad(Chimanbhai Patal Market Vasana),10/06/2019,832,Nasik,700,1500,1200,
Ahmedabad(Chimanbhai Patal Market Vasana),11/06/2019,644.4,Local,1000,1200,1150,
Ahmedabad(Chimanbhai Patal Market Vasana),11/06/2019,644.4,Nasik,1000,1500,1300,
Ahmedabad(Chimanbhai Patal Market Vasana),12/06/2019,713.8,Local,1000,1200,1150,
Ahmedabad(Chimanbhai Patal Market Vasana),12/06/2019,713.8,Nasik,800,1600,1250,
Ahmedabad(Chimanbhai Patal Market Vasana),13/06/2019,850.1,Nasik,1000,1600,1325,
Ahmedabad(Chimanbhai Patal Market Vasana),14/06/2019,895.2,Nasik,1000,1600,1350,
Ahmedabad(Chimanbhai Patal Market Vasana),15/06/2019,847.3,Nasik,750,1500,1175,
Ahmedabad(Chimanbhai Patal Market Vasana),18/06/2019,607.4,Nasik,800,1500,1250,
Ahmedabad(Chimanbhai Patal Market Vasana),19/06/2019,629.4,Local,900,1100,1050,
Ahmedabad(Chimanbhai Patal Market Vasana),19/06/2019,629.4,Nasik,600,1400,1050,
Ahmedabad(Chimanbhai Patal Market Vasana),20/06/2019,767.3,Nasik,750,1500,1175,
Ahmedabad(Chimanbhai Patal Market Vasana),21/06/2019,828.7,Local,1000,1100,1050,
Ahmedabad(Chimanbhai Patal Market Vasana),21/06/2019,828.7,Nasik,750,1500,1175,
Ahmedabad(Chimanbhai Patal Market Vasana),22/06/2019,807.4,Local,1000,1200,1150,
Ahmedabad(Chimanbhai Patal Market Vasana),22/06/2019,807.4,Nasik,750,1400,1125,
Ahmedabad(Chimanbhai Patal Market Vasana),24/06/2019,868.5,Nasik,900,1500,1250,
Ahmedabad(Chimanbhai Patal Market Vasana),25/06/2019,644.9,Local,1000,1100,1050,
