Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Market,02/05/2020,15.3,Onion,800,1000,900,
Market,04/05/2020,23.86,Onion,800,1000,900,
Market,05/05/2020,18.45,Onion,800,1000,900,
Market,06/05/2020,56.7,Onion,1000,1250,1150,
Market,07/05/2020,37.8,Onion,800,1000,900,
Market,09/05/2020,24.3,Onion,800,1000,900,
Market,11/05/2020,40.95,Onion,900,1100,1000,
Bharuch,05/05/2020,48.5,Other,800,1200,900,
Bharuch,06/05/2020,46,Other,800,1200,1000,
Bharuch,07/05/2020,48.5,Other,600,1200,1000,
Bharuch,08/05/2020,45.9,Other,600,1200,800,
Bharuch,09/05/2020,35.8,Other,800,1200,1000,
Bharuch,10/05/2020,45.5,Other,600,1200,1000,
Bharuch,11/05/2020,38,Other,600,1200,800,
Bhavnagar,02/05/2020,743.2,Red,330,700,515,
Bhavnagar,04/05/2020,1057.7,Red,305,750,525,
Bhavnagar,05/05/2020,816.7,Red,300,730,515,
Dahod(Veg. Market),01/05/2020,20,Onion,800,1100,1000,
Dahod(Veg. Market),02/05/2020,17.55,Onion,500,900,800,
Dahod(Veg. Market),03/05/2020,2.9,Onion,700,1000,800,
Dahod(Veg. Market),04/05/2020,21,Onion,700,900,800,
Dahod(Veg. Market),05/05/2020,7.1,Onion,700,900,800,
Dahod(Veg. Market),06/05/2020,22.4,Onion,500,800,700,
Dahod(Veg. Market),08/05/2020,4,Onion,700,1000,900,
Dahod(Veg. Market),09/05/2020,24.18,Onion,600,900,800,
Dahod(Veg. Market),10/05/2020,23.15,Onion,600,900,800,
Dahod(Veg. Market),11/05/2020,22,Onion,700,900,800,
Deesa(Deesa Veg Yard),02/05/2020,14, ,NR,NR,NR,
Deesa(Deesa Veg Yard),04/05/2020,10.5, ,NR,NR,NR,
Dhari,01/05/2020,0.5,Local,300,700,500,
Dhari,02/05/2020,1.95,Local,500,900,700,
Dhari,04/05/2020,0.8,Local,400,700,500,
Dhari,05/05/2020,0.8,Local,300,700,500,
Dhari,06/05/2020,1.7,Local,400,800,600,
Dhari,07/05/2020,1.2,Local,500,700,600,
Gondal,04/05/2020,390.3,White,655,880,830,
Gondal,06/05/2020,454,White,630,855,680,
Gondal,08/05/2020,448.4,White,630,830,730,
Gondal,11/05/2020,414,White,450,755,655,
Kapadvanj,01/05/2020,15, ,NR,NR,NR,
Kapadvanj,02/05/2020,15, ,NR,NR,NR,
Kapadvanj,04/05/2020,21.3, ,NR,NR,NR,
Kapadvanj,05/05/2020,26.2, ,NR,NR,NR,
