Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Ambala Cantt.,01/02/2018,14.5,Other,2000,3000,2250,
Ambala Cantt.,03/02/2018,14.5,Other,2000,3000,2400,
Ambala Cantt.,04/02/2018,14.5,Other,2000,3000,2500,
Ambala Cantt.,07/02/2018,14.5,Other,2000,3500,2500,
Ambala Cantt.,08/02/2018,14.5,Other,2000,3500,2500,
Ambala Cantt.,10/02/2018,14.2,Other,2000,3000,2200,
Ambala Cantt.,17/02/2018,14.5,Other,2000,2500,2200,
Ambala Cantt.,18/02/2018,14.2,Other,2000,2800,2200,
Ambala Cantt.,21/02/2018,12,Other,2000,2500,2200,
Ambala Cantt.,25/02/2018,12,Other,2000,2500,2200,
Ambala Cantt.,27/02/2018,12,Other,2000,2500,2200,
Ambala Cantt.,28/02/2018,12,Other,2000,2500,2200,
Ambala City,01/02/2018,37.9,Onion,1200,2600,1800,
Ambala City,02/02/2018,39,Onion,1200,2700,1800,
Ambala City,03/02/2018,36.7,Onion,1200,2700,1500,
Ambala City,04/02/2018,31,Onion,1100,2800,1500,
Ambala City,05/02/2018,37.8,Onion,1200,2600,2000,
Ambala City,06/02/2018,37.7,Onion,1200,2600,1800,
Ambala City,07/02/2018,36,Nasik,1200,2500,1800,
Ambala City,08/02/2018,38,Nasik,1200,2600,2100,
Ambala City,09/02/2018,37,Onion,1200,2800,1800,
Ambala City,11/02/2018,37,Onion,1100,2600,1600,
Ambala City,12/02/2018,36.8,Nasik,1200,2600,2100,
Ambala City,13/02/2018,37,Nasik,1200,2600,2000,
Ambala City,14/02/2018,36,Nasik,1100,2500,1800,
Ambala City,15/02/2018,38,Onion,1100,2600,1600,
Ambala City,16/02/2018,36.7,Onion,1100,2500,1500,
Ambala City,17/02/2018,37,Onion,1100,2400,1800,
Ambala City,18/02/2018,37,Onion,1100,2700,1600,
Ambala City,19/02/2018,39,Onion,1800,3300,2500,
Ambala City,20/02/2018,39.1,Nasik,1300,3000,2200,
Ambala City,21/02/2018,39.6,Nasik,1300,3000,2400,
Ambala City,22/02/2018,39,Nasik,1200,3000,2100,
Ambala City,23/02/2018,39.5,Onion,1400,2200,1600,
Ambala City,25/02/2018,36.5,Onion,1400,2300,1800,
Ambala City,26/02/2018,36,Onion,1400,2400,1800,
Ambala City,27/02/2018,32,Onion,1500,2000,1800,
Ambala City,28/02/2018,31,Onion,900,1800,1200,
Asandh,01/02/2018,1.5,Other,3300,3500,3450,
Asandh,02/02/2018,1.5,Other,3100,3500,3450,
Asandh,03/02/2018,1.5,Other,3000,3200,3150,
Asandh,05/02/2018,2.5,Other,2500,2600,2550,
Asandh,06/02/2018,2.1,Other,2500,2700,2650,
Asandh,07/02/2018,2,Other,2300,2600,2550,
Asandh,08/02/2018,2,Other,2500,2600,2550,
Asandh,09/02/2018,1.5,Other,2300,2500,2450,
Asandh,10/02/2018,1.6,Other,2300,2500,2450,
