Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Ambala Cantt.,09/08/2018,5.6,Other,1100,1400,1200,
Ambala Cantt.,11/08/2018,12,Other,1000,1500,1300,
Ambala Cantt.,12/08/2018,10,Other,1000,1500,1200,
Ambala Cantt.,15/08/2018,8.5,Other,800,1500,1000,
Ambala Cantt.,16/08/2018,8.5,Other,1000,1500,1200,
Ambala Cantt.,22/08/2018,8.5,Other,1000,1500,1200,
Ambala Cantt.,24/08/2018,8.5,Other,1000,1500,1200,
Ambala City,01/08/2018,48.8,Onion,1110,1619,1300,
Ambala City,02/08/2018,39,Onion,1000,1619,1200,
Ambala City,03/08/2018,49.4,Onion,1200,1619,1400,
Ambala City,17/08/2018,27.9,Onion,760,1429,1200,
Ambala City,18/08/2018,30.6,Nasik,1100,1476,1250,
Ambala City,19/08/2018,22.4,Nasik,1000,1476,1250,
Asandh,01/08/2018,2,Other,1600,1600,1600,
Asandh,02/08/2018,1.8,Other,1600,1600,1600,
Asandh,03/08/2018,2.5,Other,1600,1600,1600,
Asandh,04/08/2018,2.8,Other,1600,1600,1600,
Asandh,05/08/2018,1.8,Other,1600,1600,1600,
Asandh,06/08/2018,1.9,Other,1600,1600,1600,
Asandh,07/08/2018,1.5,Other,1600,1600,1600,
Asandh,08/08/2018,1.1,Other,1600,1600,1600,
Asandh,10/08/2018,0.5,Other,1600,1600,1600,
Asandh,11/08/2018,2.3,Other,1600,1600,1600,
Asandh,12/08/2018,0.8,Other,1600,1600,1600,
Asandh,13/08/2018,1,Other,1600,1600,1600,
Asandh,14/08/2018,1.5,Other,1600,1600,1600,
Asandh,15/08/2018,0.8,Other,1600,1600,1600,
Asandh,16/08/2018,0.5,Other,1600,1600,1600,
Asandh,17/08/2018,1.5,Other,1600,1600,1600,
Asandh,18/08/2018,0.7,Other,1600,1600,1600,
Asandh,19/08/2018,1.9,Other,1600,1600,1600,
Asandh,20/08/2018,1.5,Other,1600,1600,1600,
Asandh,21/08/2018,2.3,Other,1500,1600,1550,
Asandh,22/08/2018,1.4,Other,1600,1600,1600,
