Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Ambala Cantt.,07/07/2018,8.5,Other,1200,1500,1400,
Ambala Cantt.,11/07/2018,10,Other,1200,1500,1400,
Ambala Cantt.,13/07/2018,8.5,Other,1200,1500,1400,
Ambala Cantt.,14/07/2018,8,Other,1200,1500,1400,
Ambala Cantt.,16/07/2018,8.5,Other,1200,1500,1400,
Ambala Cantt.,20/07/2018,10,Other,1200,1600,1400,
Ambala Cantt.,21/07/2018,8.2,Other,1200,1500,1400,
Ambala Cantt.,24/07/2018,8,Other,1200,1500,1400,
Ambala Cantt.,28/07/2018,3.5,Other,1100,1500,1200,
Ambala Cantt.,29/07/2018,4.5,Other,1100,1500,1200,
Ambala Cantt.,31/07/2018,6.5,Other,1100,1500,1400,
Asandh,02/07/2018,1.8,Other,1400,1500,1450,
Asandh,03/07/2018,2,Other,1300,1600,1550,
Asandh,04/07/2018,1.8,Other,1300,1600,1550,
Asandh,05/07/2018,2.2,Other,1500,2000,1800,
Asandh,06/07/2018,1.5,Other,1300,2000,1800,
Asandh,07/07/2018,1.8,Other,1800,2000,1950,
Asandh,09/07/2018,1.4,Other,1500,2000,1800,
Asandh,10/07/2018,1.5,Other,1400,2000,1800,
Asandh,11/07/2018,1.8,Other,1800,2000,1950,
Asandh,12/07/2018,1.8,Other,1800,2000,1950,
Asandh,13/07/2018,1.8,Other,1500,2000,1800,
Asandh,14/07/2018,1.6, ,NR,NR,NR,
Asandh,15/07/2018,1.6,Other,1500,2000,1800,
Asandh,16/07/2018,1.8,Other,1500,2000,1800,
Asandh,17/07/2018,0.7,Other,2000,2000,2000,
Asandh,18/07/2018,0.3,Other,1500,1500,1500,
Asandh,19/07/2018,0.4,Other,1600,1600,1600,
Asandh,20/07/2018,0.3,Other,1450,1550,1500,
Asandh,21/07/2018,0.3,Other,1500,1600,1550,
Asandh,22/07/2018,1.2,Other,1000,1150,1100,
Asandh,23/07/2018,1.2,Other,1200,1500,1400,
Asandh,24/07/2018,0.7,Other,1700,1700,1700,
Asandh,25/07/2018,0.6,Other,1500,1600,1550,
Asandh,26/07/2018,0.5, ,NR,NR,NR,
Asandh,27/07/2018,0.5, ,NR,NR,NR,
Asandh,28/07/2018,1.4,Other,1500,1700,1650,
Asandh,29/07/2018,0.3,Other,1600,1700,1650,
Asandh,30/07/2018,0.8,Other,1600,1700,1650,
Asandh,31/07/2018,1.4,Other,1600,1600,1600,
Ballabhgarh,02/07/2018,23.5,Other,1000,1500,1200,
Ballabhgarh,03/07/2018,24,Other,1200,1500,1400,
Ballabhgarh,04/07/2018,16,Other,1200,1500,1400,
Ballabhgarh,05/07/2018,16.9,Other,1200,1500,1350,
Ballabhgarh,06/07/2018,56.4,Other,1300,1500,1400,
Ballabhgarh,07/07/2018,50.5,Other,1200,1500,1400,
Ballabhgarh,08/07/2018,38,Other,1200,1500,1400,
Ballabhgarh,09/07/2018,24,Other,1200,1600,1400,
Ballabhgarh,10/07/2018,15.2,Other,1100,1500,1300,
Ballabhgarh,11/07/2018,28,Other,1200,1500,1400,
Ballabhgarh,12/07/2018,17,Other,1200,1500,1400,
Ballabhgarh,14/07/2018,10.5,Other,1200,1500,1400,
Ballabhgarh,15/07/2018,46.2,Other,1200,1500,1400,
Ballabhgarh,16/07/2018,3.9,Other,1200,1600,1400,
Ballabhgarh,17/07/2018,9.5,Other,1200,1600,1500,
Ballabhgarh,18/07/2018,0.1,Other,1000,1400,1200,
Ballabhgarh,19/07/2018,35.6,Other,1100,1500,1200,
Ballabhgarh,20/07/2018,40.7,Other,1200,1500,1400,
Ballabhgarh,21/07/2018,6.7,Other,1000,1500,1200,
Ballabhgarh,22/07/2018,13,Other,1100,1500,1200,
Ballabhgarh,23/07/2018,5,Other,1200,1600,1400,
Ballabhgarh,24/07/2018,16.5,Other,1400,1600,1500,
Ballabhgarh,25/07/2018,11,Other,1200,1500,1400,
Ballabhgarh,26/07/2018,39,Other,1200,1500,1400,
Ballabhgarh,28/07/2018,22.5,Other,1200,1500,1400,
Ballabhgarh,29/07/2018,28,Other,1200,1500,1400,
Ballabhgarh,30/07/2018,7.5,Other,1200,1500,1400,
Ballabhgarh,31/07/2018,4,Other,1200,1500,1400,
Barara,03/07/2018,1.5,Other,1800,2000,1800,
Barara,04/07/2018,1.1,Other,1800,2000,1800,
Barara,05/07/2018,1.2,Other,1800,2000,1800,
Barara,06/07/2018,0.8,Other,1800,2000,1800,
Barara,07/07/2018,1,Other,1800,2000,1800,
Barara,09/07/2018,1.5,Other,1600,2000,1600,
Barara,10/07/2018,1.4,Other,1600,2000,1600,
Barara,11/07/2018,1.1,Other,1600,2000,1600,
Barara,12/07/2018,1.2,Other,1500,2000,1500,
Barara,13/07/2018,1.2,Other,1500,2000,1500,
Barara,14/07/2018,1,Other,1500,2000,1500,
Barara,16/07/2018,1,Other,1800,2000,1800,
Barara,17/07/2018,0.9,Other,1800,2000,1800,
Barara,18/07/2018,1.2,Other,1800,2000,1800,
Barara,19/07/2018,1,Other,1300,1800,1300,
Barara,20/07/2018,1.2,Other,1500,2000,1500,
Barara,21/07/2018,1,Other,1500,2100,1500,
Barara,23/07/2018,0.8,Other,1800,2200,1800,
Barara,28/07/2018,1.2,Other,1600,2000,1600,
Barara,30/07/2018,1,Other,1600,2000,1600,
Barwala,01/07/2018,2.5,Onion,1500,1500,1500,
Barwala,06/07/2018,9,Onion,1500,1500,1500,
Barwala,07/07/2018,8.5,Onion,1500,1800,1650,
Barwala,08/07/2018,5.5,Onion,1500,1500,1500,
Barwala,10/07/2018,30,Onion,1100,1500,1300,
Barwala,11/07/2018,28,Onion,1000,1500,1250,
Barwala,12/07/2018,5,Onion,1500,1500,1500,
Barwala,14/07/2018,10,Onion,1500,1500,1500,
Barwala,15/07/2018,12,Onion,1500,1600,1550,
Barwala,16/07/2018,13,Onion,1200,1200,1200,
Barwala,20/07/2018,15,Onion,1400,1400,1400,
Barwala,21/07/2018,14,Onion,1400,1500,1450,
Barwala,22/07/2018,15,Onion,1200,1400,1300,
Barwala,23/07/2018,15,Onion,1200,1400,1300,
Barwala,25/07/2018,2,Onion,1200,1200,1200,
Barwala,26/07/2018,1,Onion,1500,1500,1500,
Barwala,27/07/2018,5,Onion,1400,1400,1400,
Barwala,28/07/2018,24,Onion,1200,1500,1350,
Barwala,29/07/2018,20,Onion,1200,1500,1350,
Barwala,30/07/2018,10,Onion,1200,1200,1200,
Barwala(Hisar),01/07/2018,21,Other,1350,1400,1400,
Barwala(Hisar),02/07/2018,16,Other,1500,1600,1600,
Barwala(Hisar),03/07/2018,21,Other,1500,1600,1600,
Barwala(Hisar),04/07/2018,16,Other,1500,1600,1600,
Barwala(Hisar),05/07/2018,18,Other,1500,1600,1600,
Barwala(Hisar),06/07/2018,18,Other,1500,1600,1600,
Barwala(Hisar),07/07/2018,25,Other,1500,1600,1600,
Barwala(Hisar),08/07/2018,28,Other,1500,1600,1600,
Barwala(Hisar),09/07/2018,22,Other,1500,1600,1600,
Barwala(Hisar),10/07/2018,14,Other,1800,2000,2000,
Barwala(Hisar),11/07/2018,24,Other,1500,1600,1600,
Barwala(Hisar),12/07/2018,22,Other,1500,1600,1600,
Barwala(Hisar),13/07/2018,12,Other,1500,1600,1600,
Barwala(Hisar),14/07/2018,37,Other,1600,1700,1700,
Barwala(Hisar),15/07/2018,15,Other,1600,1700,1700,
Barwala(Hisar),16/07/2018,20,Other,1600,1700,1700,
Barwala(Hisar),17/07/2018,21,Other,1600,1700,1700,
Barwala(Hisar),18/07/2018,7,Other,1500,1600,1600,
Barwala(Hisar),19/07/2018,16,Other,1500,1700,1600,
Barwala(Hisar),20/07/2018,23,Other,1600,1700,1700,
Barwala(Hisar),21/07/2018,23,Other,1500,1600,1600,
Barwala(Hisar),22/07/2018,22,Other,1400,1600,1600,
Barwala(Hisar),23/07/2018,9,Other,1400,1600,1500,
Barwala(Hisar),24/07/2018,21,Other,1400,1500,1500,
Barwala(Hisar),25/07/2018,19,Other,1400,1600,1500,
Barwala(Hisar),26/07/2018,23,Other,1500,1600,1600,
Barwala(Hisar),27/07/2018,20,Other,1400,1500,1500,
Barwala(Hisar),28/07/2018,23,Other,1400,1500,1500,
Barwala(Hisar),29/07/2018,20,Other,1400,1600,1500,
Barwala(Hisar),30/07/2018,15,Other,1400,1500,1500,
Cheeka,05/07/2018,3.3,Other,1600,1800,1800,
Cheeka,07/07/2018,0.03,Other,1800,1800,1800,
Cheeka,15/07/2018,2.8,Other,1700,1800,1800,
Cheeka,21/07/2018,1.8,Other,1700,1700,1700,
Cheeka,24/07/2018,0.08,Other,1800,1800,1800,
Cheeka,25/07/2018,2.1,Other,1700,1700,1700,
Cheeka,27/07/2018,1.8,Other,1700,1700,1700,
