Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Akhnoor,02/02/2018,1,Other,2700,2800,2750,
Akhnoor,03/02/2018,2,Other,2500,2600,2550,
Akhnoor,05/02/2018,1,Other,2800,3000,2900,
Akhnoor,06/02/2018,1,Other,2800,3000,2900,
Akhnoor,07/02/2018,2,Other,2700,2800,2750,
Akhnoor,08/02/2018,2,Other,2800,3000,2900,
Akhnoor,09/02/2018,1,Other,2500,3000,2750,
Akhnoor,10/02/2018,1,Other,2800,3000,2900,
Akhnoor,12/02/2018,1,Other,2500,2600,2550,
Akhnoor,14/02/2018,1,Other,2600,2700,2650,
Akhnoor,15/02/2018,1,Other,1800,1900,1850,
Akhnoor,16/02/2018,1,Other,2600,2700,2650,
Akhnoor,17/02/2018,1,Other,2500,2700,2600,
Akhnoor,19/02/2018,2,Other,1700,1800,1750,
Akhnoor,20/02/2018,1,Other,2500,2600,2550,
Akhnoor,21/02/2018,2,Other,2500,2600,2550,
Akhnoor,22/02/2018,1,Other,2500,2600,2550,
Akhnoor,23/02/2018,2,Other,2500,2700,2600,
Akhnoor,24/02/2018,1,Other,2400,2500,2450,
Akhnoor,26/02/2018,2,Other,2200,2300,2250,
Akhnoor,27/02/2018,2,Other,2100,2200,2150,
Narwal Jammu (F&V),01/02/2018,120,Other,2500,2600,2550,
Narwal Jammu (F&V),05/02/2018,110,Other,2800,3000,2900,
Narwal Jammu (F&V),06/02/2018,120,Other,2800,3000,2900,
Narwal Jammu (F&V),07/02/2018,120,Other,2500,2600,2550,
Narwal Jammu (F&V),09/02/2018,130,Other,2500,2600,2550,
Narwal Jammu (F&V),12/02/2018,130,Other,2500,2600,2550,
Narwal Jammu (F&V),15/02/2018,130, ,NR,NR,NR,
Narwal Jammu (F&V),16/02/2018,130,Other,2200,2300,2250,
Narwal Jammu (F&V),19/02/2018,130,Other,2200,2400,2300,
Narwal Jammu (F&V),20/02/2018,130,Other,2200,2300,2250,
Narwal Jammu (F&V),21/02/2018,130,Other,2200,2300,2250,
Narwal Jammu (F&V),22/02/2018,130,Other,2200,2300,2250,
Narwal Jammu (F&V),23/02/2018,130,Other,2200,2300,2250,
Narwal Jammu (F&V),24/02/2018,130,Other,2200,2300,2250,
Narwal Jammu (F&V),26/02/2018,130,Other,2200,2300,2250,
Narwal Jammu (F&V),27/02/2018,130,Other,1800,2000,1900,
Parimpore,03/02/2018,63,Other,2800,3000,2900,
Samba,21/02/2018,1.5,Other,1800,2000,1900,
Samba,23/02/2018,2.5,Other,2500,2600,2550,
Samba,24/02/2018,3.5,Other,2500,2600,2550,
Samba,26/02/2018,3,Other,2200,2400,2300,
Udhampur,06/02/2018,6,Other,3800,4200,4000,
Udhampur,07/02/2018,5,Other,3800,4200,4000,
Udhampur,17/02/2018,9,Other,3800,4200,4000,
Udhampur,18/02/2018,9,Other,3800,4200,4000,
Udhampur,20/02/2018,9,Other,3800,4200,4000,
Udhampur,21/02/2018,9,Other,3800,4200,4000,
Udhampur,22/02/2018,9,Other,3800,4200,4000,
Udhampur,23/02/2018,9,Other,3800,4200,4000,
Udhampur,24/02/2018,9,Other,3800,4200,4000,
Udhampur,25/02/2018,9,Other,3800,4200,4000,
Udhampur,27/02/2018,9,Other,3800,4200,4000,
