Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Alappuzha,05/02/2018,10,Big,3600,3700,3650,
Alappuzha,05/02/2018,10,Small,3500,3600,3550,
Alappuzha,06/02/2018,10,Big,3550,3650,3600,
Alappuzha,06/02/2018,10,Small,3500,3600,3550,
Alappuzha,07/02/2018,10,Big,3600,3700,3650,
Alappuzha,07/02/2018,10,Small,3500,3600,3550,
Alappuzha,08/02/2018,10,Big,3500,3600,3550,
Alappuzha,08/02/2018,10,Small,3550,3650,3600,
Alappuzha,12/02/2018,10,Big,3600,3700,3650,
Alappuzha,12/02/2018,10,Small,3550,3650,3600,
Aluva,01/02/2018,8,Big,2700,3200,3000,
Aluva,01/02/2018,8,Small,3300,4000,3700,
Aluva,02/02/2018,13,Big,2600,3000,2800,
Aluva,02/02/2018,13,Small,3300,4000,3700,
Aluva,05/02/2018,32,Big,2400,3000,2700,
Aluva,05/02/2018,32,Small,3200,4000,3600,
Aluva,06/02/2018,32,Big,2400,3000,2700,
Aluva,06/02/2018,32,Small,3200,4000,3600,
Aluva,07/02/2018,30,Big,2800,3400,3100,
Aluva,07/02/2018,30,Small,3000,4000,3500,
Aluva,08/02/2018,10,Big,2600,3000,2800,
Aluva,08/02/2018,10,Small,3000,4000,3500,
Aluva,09/02/2018,35,Big,2400,3000,2700,
Aluva,09/02/2018,35,Small,2800,3800,3300,
Aluva,12/02/2018,36,Big,2500,3000,2800,
Aluva,12/02/2018,36,Small,2800,3800,3300,
Aluva,14/02/2018,25,Big,2500,3000,2800,
Aluva,14/02/2018,25,Small,2800,3800,3300,
Aluva,15/02/2018,14,Big,2500,3000,2800,
Aluva,15/02/2018,14,Small,2800,3800,3300,
Aluva,16/02/2018,19,Big,2400,3000,2700,
Aluva,16/02/2018,19,Small,2800,3500,3200,
Aluva,19/02/2018,35,Big,2300,2800,2600,
Aluva,19/02/2018,35,Small,2800,3500,3200,
Aluva,20/02/2018,18,Big,2300,2800,2600,
Aluva,20/02/2018,18,Small,2300,3000,2700,
Aluva,21/02/2018,35,Big,2250,2800,2600,
Aluva,21/02/2018,35,Small,2200,3000,2600,
Aluva,22/02/2018,20,Big,2200,2800,2500,
Aluva,22/02/2018,20,Small,2200,3000,2600,
Aluva,23/02/2018,45,Big,2200,2800,2500,
Aluva,23/02/2018,45,Small,2000,3000,2500,
Aluva,26/02/2018,35,Big,2100,2600,2400,
Aluva,26/02/2018,35,Small,2300,3000,2700,
Aluva,27/02/2018,8,Big,1900,2400,2200,
Aluva,27/02/2018,8,Small,2200,3000,2600,
Aluva,28/02/2018,16,Big,1800,2400,2100,
Aluva,28/02/2018,16,Small,2200,3000,2600,
Anchal,01/02/2018,0.5,Other,3400,3400,3400,
Anchal,03/02/2018,0.5,Other,3500,3500,3500,
Anchal,04/02/2018,0.5,Other,3500,3700,3600,
Anchal,05/02/2018,0.5,Other,3500,3700,3600,
