Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Alappuzha,01/11/2018,10,Big,1950,2050,2000,
Alappuzha,01/11/2018,10,Small,3950,4050,4000,
Alappuzha,02/11/2018,10,Big,2000,2100,2050,
Alappuzha,02/11/2018,10,Small,3900,4000,3950,
Alappuzha,03/11/2018,10,Big,2000,2100,2050,
Alappuzha,03/11/2018,10,Small,4000,4100,4050,
Alappuzha,05/11/2018,10,Big,2000,2100,2050,
Alappuzha,05/11/2018,10,Small,4000,4100,4050,
Alappuzha,06/11/2018,10,Big,1950,2100,2000,
Alappuzha,06/11/2018,10,Small,3800,4000,3900,
Alappuzha,07/11/2018,10,Big,2000,2100,2050,
Alappuzha,07/11/2018,10,Small,4000,4150,4100,
Alappuzha,08/11/2018,10,Big,2000,2100,2050,
Alappuzha,08/11/2018,10,Small,3900,4000,3950,
Alappuzha,09/11/2018,10,Big,2000,2100,2050,
Alappuzha,09/11/2018,10,Small,4000,4200,4100,
Alappuzha,10/11/2018,10,Big,2000,2100,2050,
Alappuzha,10/11/2018,10,Small,4000,4200,4100,
Alappuzha,12/11/2018,10,Big,2000,2100,2050,
Alappuzha,12/11/2018,10,Small,4000,4200,4100,
Alappuzha,13/11/2018,10,Big,2000,2100,2050,
Alappuzha,13/11/2018,10,Small,4000,4150,4100,
Alappuzha,14/11/2018,10,Big,2000,2100,2050,
Alappuzha,14/11/2018,10,Small,4000,4200,4100,
Alappuzha,15/11/2018,10,Big,2000,2150,2100,
Alappuzha,15/11/2018,10,Small,4000,4150,4100,
Alappuzha,16/11/2018,10,Big,2000,2100,2050,
Alappuzha,16/11/2018,10,Small,4000,4100,4050,
Alappuzha,20/11/2018,10,Big,1800,1900,1850,
Alappuzha,20/11/2018,10,Small,3500,3650,3600,
Alappuzha,26/11/2018,10,Big,1600,1800,1700,
Alappuzha,26/11/2018,10,Small,3600,3800,3700,
Alappuzha,27/11/2018,10,Big,1600,1800,1700,
Alappuzha,27/11/2018,10,Small,3500,3700,3600,
Alappuzha,28/11/2018,10,Big,1550,1650,1600,
Alappuzha,28/11/2018,10,Small,4450,4550,4500,
Alappuzha,29/11/2018,10,Big,1600,1800,1700,
Alappuzha,29/11/2018,10,Small,4300,4500,4400,
Alappuzha,30/11/2018,10,Big,1650,1750,1700,
Alappuzha,30/11/2018,10,Small,3600,3800,3700,
Aluva,01/11/2018,18, ,NR,NR,NR,
Aluva,02/11/2018,14,Big,2000,2500,2300,
Aluva,03/11/2018,18,Big,1900,2400,2200,
Aluva,05/11/2018,35,Big,1900,2400,2200,
Aluva,05/11/2018,35,Small,4000,4500,4300,
Aluva,07/11/2018,12,Big,1900,2400,2200,
Aluva,07/11/2018,12,Small,4000,4800,4400,
Aluva,08/11/2018,22,Big,1850,2400,2200,
Aluva,08/11/2018,22,Small,4000,4500,4300,
Aluva,09/11/2018,18,Big,1850,2400,2100,
Aluva,09/11/2018,18,Small,4000,4500,4300,
Aluva,12/11/2018,44,Big,2000,2500,2300,
Aluva,12/11/2018,44,Small,4000,4500,4300,
Aluva,13/11/2018,12,Big,2000,2500,2300,
Aluva,13/11/2018,12,Small,4000,4500,4300,
Aluva,14/11/2018,12,Big,2000,2500,2300,
Aluva,14/11/2018,12,Small,4000,4500,4300,
Aluva,15/11/2018,12,Big,2000,2500,2300,
Aluva,15/11/2018,12,Small,4000,4800,4400,
Aluva,16/11/2018,43,Big,1900,2400,2200,
Aluva,16/11/2018,43,Small,4000,4500,4300,
Aluva,19/11/2018,43,Big,1800,2400,2100,
Aluva,19/11/2018,43,Small,4000,4500,4300,
Aluva,21/11/2018,23,Big,1700,2300,2000,
Aluva,21/11/2018,23,Small,4200,4800,4500,
Aluva,22/11/2018,12,Big,1700,2200,2000,
Aluva,22/11/2018,12,Small,4000,4500,4300,
Aluva,23/11/2018,33,Big,1500,2000,1800,
Aluva,23/11/2018,33,Small,4000,4500,4300,
Aluva,24/11/2018,26,Big,1400,2000,1700,
Aluva,24/11/2018,26,Small,4000,4500,4300,
Aluva,26/11/2018,35,Big,1400,2000,1700,
Aluva,26/11/2018,35,Small,4200,5000,4600,
Aluva,27/11/2018,33,Big,1400,2000,1700,
Aluva,27/11/2018,33,Small,4200,4800,4500,
Aluva,28/11/2018,18,Big,1500,2000,1800,
Aluva,28/11/2018,18,Small,4200,4800,4500,
Aluva,29/11/2018,12,Big,1500,2000,1800,
Aluva,29/11/2018,12,Small,3500,4000,3800,
Aluva,30/11/2018,20,Big,1400,2000,1700,
Aluva,30/11/2018,20,Small,3200,4000,3600,
Angamaly,01/11/2018,1,Big,2200,2600,2400,
Angamaly,02/11/2018,1,Big,2200,2600,2400,
Angamaly,03/11/2018,1,Big,2400,2800,2600,
Angamaly,05/11/2018,1,Big,2200,2600,2400,
Angamaly,07/11/2018,1,Big,2200,2600,2400,
Angamaly,08/11/2018,1,Big,2200,2600,2400,
Angamaly,09/11/2018,1,Big,2400,2800,2600,
Angamaly,12/11/2018,1,Big,2100,2500,2300,
Angamaly,13/11/2018,1,Big,2200,2600,2400,
Angamaly,14/11/2018,1,Big,2200,2600,2400,
Angamaly,15/11/2018,1,Big,2300,2700,2500,
Angamaly,16/11/2018,1,Big,2300,2700,2500,
Angamaly,19/11/2018,1,Big,1900,2300,2100,
Angamaly,21/11/2018,1,Big,1800,2200,2000,
Angamaly,22/11/2018,1,Big,1700,2100,1900,
Angamaly,23/11/2018,1,Big,1500,1900,1700,
Angamaly,24/11/2018,1,Big,1200,1600,1400,
Angamaly,26/11/2018,1,Big,1500,1900,1700,
Angamaly,27/11/2018,1,Big,1500,1700,1600,
Angamaly,28/11/2018,1,Big,1500,1900,1700,
Angamaly,29/11/2018,1,Big,1500,1700,1600,
Angamaly,30/11/2018,1,Big,1500,1700,1600,
Aralamoodu,03/11/2018,1.5,Onion,5000,5000,5000,
Aralamoodu,10/11/2018,1,Onion,6000,6000,6000,
Aralamoodu,14/11/2018,1,Onion,6000,6000,6000,
Aralamoodu,17/11/2018,1,Onion,6000,6000,6000,
Aralamoodu,21/11/2018,1,Onion,6000,6000,6000,
Aralamoodu,24/11/2018,3,Onion,5000,5000,5000,
Aralamoodu,28/11/2018,2.5,Onion,5000,5000,5000,
Aroor,02/11/2018,0.1,Big,1600,1800,1700,
Aroor,07/11/2018,0.1,Big,2000,2200,2100,
Aroor,07/11/2018,0.1,Small,3800,4000,3900,
Aroor,09/11/2018,0.1,Big,1800,2000,1900,
Aroor,09/11/2018,0.1,Small,3400,3600,3500,
Aroor,13/11/2018,0.1,Big,1800,2000,1900,
Aroor,13/11/2018,0.1,Small,3600,3800,3700,
Aroor,14/11/2018,0.1,Big,1200,1400,1300,
Aroor,14/11/2018,0.1,Small,3200,3400,3300,
Aroor,16/11/2018,0.1,Big,1800,2000,1900,
Aroor,16/11/2018,0.1,Small,3200,3400,3300,
Aroor,21/11/2018,0.1,Big,2000,2200,2100,
Aroor,21/11/2018,0.1,Small,3600,3800,3700,
Aroor,22/11/2018,0.1,Big,2000,2200,2100,
Aroor,22/11/2018,0.1,Small,4000,4200,4100,
Aroor,23/11/2018,0.1,Big,2000,2200,2100,
Aroor,23/11/2018,0.1,Small,4000,4200,4100,
Aroor,27/11/2018,0.1,Big,1800,2000,1900,
Aroor,27/11/2018,0.1,Small,3200,3400,3300,
Athirampuzha,01/11/2018,1.6, ,NR,NR,NR,
Athirampuzha,02/11/2018,1,Big,2000,2200,2100,
Athirampuzha,02/11/2018,1,Onion,3400,3600,3500,
Athirampuzha,03/11/2018,1.6,Big,2000,2200,2100,
Athirampuzha,03/11/2018,1.6,Onion,3900,4300,4100,
Athirampuzha,05/11/2018,1.6,Big,2000,2200,2100,
Athirampuzha,05/11/2018,1.6,Onion,4000,4200,4100,
Athirampuzha,07/11/2018,1,Big,2000,2200,2100,
Athirampuzha,07/11/2018,1,Onion,4000,4200,4100,
Athirampuzha,08/11/2018,2,Big,1900,2100,2000,
Athirampuzha,08/11/2018,2,Onion,4000,4200,4100,
Athirampuzha,09/11/2018,1.6,Big,1800,2000,1900,
Athirampuzha,09/11/2018,1.6,Onion,4000,4200,4100,
Athirampuzha,12/11/2018,2,Big,1900,2100,2000,
Athirampuzha,12/11/2018,2,Onion,4600,4800,4700,
Athirampuzha,14/11/2018,1,Big,1900,2100,2000,
Athirampuzha,14/11/2018,1,Onion,4600,4800,4700,
Athirampuzha,15/11/2018,2,Big,2000,2200,2100,
Athirampuzha,15/11/2018,2,Onion,4600,4800,4700,
Athirampuzha,16/11/2018,1,Big,2000,2200,2100,
Athirampuzha,16/11/2018,1,Onion,4200,4400,4300,
