Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Badnawar(F&V),02/08/2018,1632,Onion,150,1100,750,
Badnawar(F&V),03/08/2018,1981,Onion,250,1200,900,
Badnawar(F&V),07/08/2018,1383,Onion,225,1180,800,
Badnawar(F&V),08/08/2018,1194,Onion,300,1150,890,
Badnawar(F&V),09/08/2018,1253,Onion,300,1200,890,
Badnawar(F&V),12/08/2018,1285,Onion,320,1135,850,
Badnawar(F&V),13/08/2018,1350,Onion,200,1235,950,
Badnawar(F&V),14/08/2018,450,Onion,300,1200,700,
Badnawar(F&V),16/08/2018,1483,Onion,300,1200,890,
Badnawar(F&V),17/08/2018,800,Onion,300,700,500,
Badnawar(F&V),18/08/2018,450,Onion,300,800,400,
Badnawar(F&V),19/08/2018,530,Onion,400,800,500,
Badnawar(F&V),20/08/2018,1271,Onion,200,800,500,
Badnawar(F&V),21/08/2018,730,Onion,250,800,500,
Badnawar(F&V),23/08/2018,1257,Onion,200,930,400,
Badnawar(F&V),24/08/2018,914,Onion,200,707,400,
Badnawar(F&V),27/08/2018,199,Onion,225,500,400,
Badnawar(F&V),28/08/2018,234,Onion,250,798,400,
Badnawar(F&V),29/08/2018,364,Onion,217,700,400,
Badnawar(F&V),30/08/2018,594,Onion,200,510,400,
Bhopal(F&V),01/08/2018,6.5,Other,350,1400,1200,
Bhopal(F&V),02/08/2018,39.5,Other,300,1250,920,
Bhopal(F&V),03/08/2018,6.5,Other,350,1400,1200,
Bhopal(F&V),04/08/2018,46,Other,200,1060,1015,
Bhopal(F&V),06/08/2018,30.7,Other,215,1050,1015,
Bhopal(F&V),07/08/2018,59.8, ,NR,NR,NR,
Bhopal(F&V),08/08/2018,53.3,Other,200,1050,1000,
Bhopal(F&V),09/08/2018,27.3,Other,300,1250,1020,
Bhopal(F&V),10/08/2018,30.5,Other,200,850,675,
Bhopal(F&V),11/08/2018,1,Other,3000,5000,4000,
Bhopal(F&V),12/08/2018,13,Other,200,1150,980,
Bhopal(F&V),14/08/2018,20.5,Other,400,1250,1020,
Bhopal(F&V),15/08/2018,7,Other,370,1140,970,
Bhopal(F&V),16/08/2018,36.5,Other,380,1150,950,
Bhopal(F&V),17/08/2018,11.5,Other,330,1280,1000,
Bhopal(F&V),20/08/2018,63.8,Other,600,855,720,
Bhopal(F&V),21/08/2018,8,Other,540,1200,1030,
Bhopal(F&V),22/08/2018,2.7,Other,370,940,680,
Bhopal(F&V),23/08/2018,25.2,Other,691,1210,1000,
Bhopal(F&V),25/08/2018,7.5,Other,400,1000,800,
Bhopal(F&V),26/08/2018,5.4,Other,370,1030,820,
Bhopal(F&V),27/08/2018,5.5,Other,460,1120,960,
Bhopal(F&V),28/08/2018,8.5,Other,400,800,600,
Bhopal(F&V),29/08/2018,12.5,Other,360,1180,940,
Bhopal(F&V),30/08/2018,34.5,Other,350,1110,920,
Bhopal(F&V),31/08/2018,17,Other,350,1070,940,
Burhanpur(F&V),01/08/2018,2.1,Local,600,1200,1000,
Burhanpur(F&V),02/08/2018,3,Local,500,1200,800,
Burhanpur(F&V),03/08/2018,2.3,Local,500,1300,1000,
Burhanpur(F&V),04/08/2018,2.2,Local,500,1200,800,
Burhanpur(F&V),05/08/2018,3.1,Local,500,1200,1000,
Burhanpur(F&V),06/08/2018,2.9,Local,400,1000,700,
Burhanpur(F&V),07/08/2018,2.4,Local,400,800,600,
Burhanpur(F&V),08/08/2018,2,Local,400,1000,800,
Burhanpur(F&V),09/08/2018,2.6,Local,400,800,700,
Burhanpur(F&V),10/08/2018,1.9,Local,500,1000,800,
Burhanpur(F&V),11/08/2018,4.7,Local,300,1200,800,
Burhanpur(F&V),12/08/2018,3.1,Local,300,1000,700,
Burhanpur(F&V),13/08/2018,1.9,Local,400,800,600,
Burhanpur(F&V),14/08/2018,3.3,Local,400,800,600,
Burhanpur(F&V),15/08/2018,3,Local,400,800,600,
Burhanpur(F&V),16/08/2018,2.8,Local,300,800,600,
Burhanpur(F&V),17/08/2018,3.1,Local,400,800,600,
Burhanpur(F&V),18/08/2018,2.3,Local,400,800,600,
Burhanpur(F&V),19/08/2018,3.1,Local,400,800,600,
Burhanpur(F&V),20/08/2018,1.9,Local,500,1000,800,
Burhanpur(F&V),21/08/2018,2,Local,500,800,700,
Burhanpur(F&V),23/08/2018,0.9,Local,500,1000,800,
Burhanpur(F&V),24/08/2018,1.2, ,NR,NR,NR,
Burhanpur(F&V),25/08/2018,2.5,Local,500,800,600,
Burhanpur(F&V),26/08/2018,2.2,Local,400,800,600,
