Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Bishenpur,03/01/2019,1.2,Onion,2400,2500,2500,
Bishenpur,04/01/2019,1.3,Onion,2400,2500,2500,
Bishenpur,05/01/2019,1.2,Onion,2400,2500,2500,
Bishenpur,08/01/2019,1.1,Onion,2400,2500,2500,
Bishenpur,10/01/2019,1.2,Onion,2400,2500,2500,
Bishenpur,11/01/2019,1.3,Onion,2400,2500,2500,
Bishenpur,14/01/2019,1.4,Onion,2400,2500,2500,
Bishenpur,15/01/2019,1.3,Onion,2400,2500,2500,
Bishenpur,16/01/2019,1.4,Onion,2400,2500,2500,
Bishenpur,17/01/2019,1.3,Onion,2400,2500,2500,
Bishenpur,21/01/2019,1.3,Onion,2400,2500,2500,
Bishenpur,22/01/2019,1.2,Onion,2400,2500,2500,
Bishenpur,23/01/2019,1.3,Onion,2400,2500,2500,
Bishenpur,24/01/2019,1.2,Onion,2400,2500,2500,
Bishenpur,25/01/2019,1.3,Onion,2400,2500,2500,
Bishenpur,28/01/2019,1.2,Onion,2400,2500,2500,
Bishenpur,29/01/2019,1.3,Onion,2400,2500,2500,
Bishenpur,30/01/2019,1.4,Onion,2400,2500,2500,
Bishenpur,31/01/2019,1.2,Onion,2400,2500,2500,
Imphal,02/01/2019,5.4,Other,2300,2700,2500,
Imphal,08/01/2019,5,Other,2300,2700,2500,
Imphal,10/01/2019,5.2,Other,2300,2700,2500,
Imphal,11/01/2019,5,Other,2300,2700,2500,
Imphal,14/01/2019,5.2,Other,2300,2700,2500,
Imphal,15/01/2019,5,Other,2300,2700,2500,
Imphal,16/01/2019,5.2,Other,2300,2700,2500,
Imphal,17/01/2019,5.4,Other,2300,2700,2500,
Imphal,21/01/2019,5.2,Other,2300,2700,2500,
Imphal,22/01/2019,5,Other,2300,2700,2500,
Imphal,23/01/2019,5.2,Other,2300,2700,2500,
Imphal,24/01/2019,5.4,Other,2300,2700,2500,
Imphal,25/01/2019,0.9,Other,8800,9000,9000,
Imphal,28/01/2019,5.4,Other,2300,2700,2500,
Imphal,29/01/2019,5.2,Other,2300,2700,2500,
Imphal,30/01/2019,5,Other,2300,2700,2500,
Lamlong Bazaar,02/01/2019,1.4,Other,2300,2500,2500,
Lamlong Bazaar,03/01/2019,1.5,Other,2300,2500,2500,
Lamlong Bazaar,04/01/2019,1.6,Other,2300,2500,2500,
Lamlong Bazaar,05/01/2019,1.3,Other,2300,2500,2500,
Lamlong Bazaar,08/01/2019,1.5,Other,2100,2300,2300,
Lamlong Bazaar,10/01/2019,1.6,Other,2100,2300,2300,
Lamlong Bazaar,11/01/2019,1.5,Other,2100,2300,2300,
Lamlong Bazaar,14/01/2019,1.6,Other,2100,2300,2300,
Lamlong Bazaar,15/01/2019,1.5,Other,2100,2300,2300,
Lamlong Bazaar,16/01/2019,1.6,Other,2100,2300,2300,
Lamlong Bazaar,17/01/2019,1.5,Other,2100,2300,2300,
Lamlong Bazaar,21/01/2019,1.4,Other,2100,2300,2300,
Lamlong Bazaar,22/01/2019,1.5,Other,2100,2300,2300,
Lamlong Bazaar,23/01/2019,1.3,Other,1300,2500,2500,
Lamlong Bazaar,24/01/2019,1.4,Other,1300,2500,2500,
Lamlong Bazaar,25/01/2019,1.5,Other,1300,2500,2500,
Lamlong Bazaar,28/01/2019,1.6,Other,1300,2500,2500,
Lamlong Bazaar,29/01/2019,1.5,Other,1300,2500,2500,
Lamlong Bazaar,30/01/2019,1.4,Other,1300,2500,2500,
Moreh,11/01/2019,2.1,Other,2300,2500,2500,
Moreh,25/01/2019,1.8,Other,2300,2700,2500,
Thoubal,02/01/2019,2,Other,NR,2600,2600,
Thoubal,03/01/2019,2.2,Other,NR,2600,2600,
Thoubal,08/01/2019,2,Other,NR,2100,2100,
Thoubal,10/01/2019,2.1,Other,NR,2100,2100,
Thoubal,11/01/2019,2.2,Other,NR,2500,2500,
Thoubal,14/01/2019,2,Other,NR,2500,2500,
Thoubal,15/01/2019,2.2,Other,NR,2500,2500,
Thoubal,16/01/2019,2.4,Other,NR,2500,2500,
Thoubal,17/01/2019,2.2,Other,NR,2500,2500,
Thoubal,21/01/2019,2.2,Other,NR,2500,2500,
Thoubal,22/01/2019,2.2,Other,NR,2500,2500,
Thoubal,23/01/2019,2,Other,NR,2500,2500,
Thoubal,24/01/2019,2.2,Other,NR,2500,2500,
Thoubal,25/01/2019,2.4,Other,NR,2500,2500,
Thoubal,28/01/2019,2.2,Other,NR,2500,2500,
Thoubal,29/01/2019,2.2,Other,NR,2500,2500,
Thoubal,30/01/2019,2,Other,NR,2500,2500,
