Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Bishenpur,01/10/2018,1.2, ,NR,NR,NR,
Bishenpur,03/10/2018,1.2, ,NR,NR,NR,
Bishenpur,04/10/2018,1.2, ,NR,NR,NR,
Bishenpur,05/10/2018,1.3,Onion,3400,3500,3500,
Bishenpur,06/10/2018,1.2,Onion,3400,3500,3500,
Bishenpur,08/10/2018,1.1,Onion,3400,3500,3500,
Bishenpur,09/10/2018,1.2,Onion,3400,3500,3500,
Bishenpur,11/10/2018,1.3,Onion,3400,3500,3500,
Bishenpur,12/10/2018,1.2, ,NR,NR,NR,
Bishenpur,16/10/2018,1.3, ,NR,NR,NR,
Bishenpur,18/10/2018,1.2,Onion,3400,3500,3500,
Bishenpur,19/10/2018,1.3,Onion,3400,3500,3500,
Bishenpur,20/10/2018,1.2, ,NR,NR,NR,
Bishenpur,22/10/2018,1.3, ,NR,NR,NR,
Bishenpur,23/10/2018,1.4,Onion,3400,3500,3500,
Bishenpur,25/10/2018,1.3,Onion,3400,3500,3500,
Bishenpur,26/10/2018,1.4,Onion,3400,3500,3500,
Bishenpur,27/10/2018,1.3,Onion,3400,3500,3500,
Bishenpur,29/10/2018,1.4,Onion,3400,3500,3500,
Bishenpur,30/10/2018,1.3, ,NR,NR,NR,
Bishenpur,31/10/2018,1.2, ,NR,NR,NR,
Imphal,01/10/2018,5.2,Other,2800,3200,3000,
Imphal,03/10/2018,5, ,NR,NR,NR,
Imphal,04/10/2018,5.2, ,NR,NR,NR,
Imphal,05/10/2018,5, ,NR,NR,NR,
Imphal,06/10/2018,5.2,Other,2800,3200,3000,
Imphal,08/10/2018,5,Other,2800,3200,3000,
Imphal,09/10/2018,5.2,Other,2800,3200,3000,
Imphal,11/10/2018,5.4, ,NR,NR,NR,
Imphal,12/10/2018,5.2, ,NR,NR,NR,
Imphal,16/10/2018,5, ,NR,NR,NR,
Imphal,18/10/2018,5.2,Other,2800,3200,3000,
Imphal,19/10/2018,5,Other,2800,3200,3000,
Imphal,20/10/2018,5.2, ,NR,NR,NR,
Imphal,22/10/2018,5, ,NR,NR,NR,
Imphal,23/10/2018,5.2,Other,2800,3200,3000,
Imphal,25/10/2018,5,Other,2800,3200,3000,
Imphal,26/10/2018,5.2,Other,2800,3200,3000,
Imphal,27/10/2018,5,Other,2800,3200,3000,
Imphal,29/10/2018,4.8,Other,2800,3200,3000,
Imphal,30/10/2018,5,Other,2800,3200,3000,
Imphal,31/10/2018,5.2, ,NR,NR,NR,
Lamlong Bazaar,01/10/2018,1.2, ,NR,NR,NR,
Lamlong Bazaar,03/10/2018,1.3, ,NR,NR,NR,
Lamlong Bazaar,04/10/2018,1.4, ,NR,NR,NR,
Lamlong Bazaar,05/10/2018,1.3, ,NR,NR,NR,
Lamlong Bazaar,06/10/2018,1.4,Other,2800,3000,3000,
Lamlong Bazaar,08/10/2018,1.3,Other,2800,3000,3000,
Lamlong Bazaar,09/10/2018,1.4,Other,2800,3000,3000,
Lamlong Bazaar,11/10/2018,1.3,Other,2800,3000,3000,
Lamlong Bazaar,12/10/2018,1.2,Other,2800,3000,3000,
Lamlong Bazaar,16/10/2018,1,Other,2800,3000,3000,
Lamlong Bazaar,18/10/2018,1.2,Other,2800,3000,3000,
Lamlong Bazaar,19/10/2018,1.3,Other,2800,3000,3000,
Lamlong Bazaar,20/10/2018,1.4,Other,2800,3000,3000,
Lamlong Bazaar,22/10/2018,1.5,Other,2800,3000,3000,
Lamlong Bazaar,23/10/2018,1.3,Other,2800,3000,3000,
Lamlong Bazaar,25/10/2018,1.4,Other,2800,3000,3000,
Lamlong Bazaar,26/10/2018,1.5,Other,2800,3000,3000,
Lamlong Bazaar,27/10/2018,1.4,Other,2800,3000,3000,
Lamlong Bazaar,29/10/2018,1.5,Other,2800,3000,3000,
Lamlong Bazaar,30/10/2018,1.4, ,NR,NR,NR,
Lamlong Bazaar,31/10/2018,1.2, ,NR,NR,NR,
Moreh,16/10/2018,1.5,Other,2800,3000,3000,
Moreh,26/10/2018,1.6,Other,2800,3000,3000,
Moreh,29/10/2018,1.7, ,NR,NR,NR,
Thoubal,01/10/2018,1.8,Other,NR,3500,3500,
Thoubal,03/10/2018,2.1, ,NR,NR,NR,
Thoubal,04/10/2018,1.8, ,NR,NR,NR,
Thoubal,05/10/2018,2, ,NR,NR,NR,
Thoubal,06/10/2018,2.2, ,NR,NR,NR,
Thoubal,08/10/2018,2, ,NR,NR,NR,
Thoubal,09/10/2018,2.2,Other,NR,3500,3500,
Thoubal,11/10/2018,2,Other,NR,3500,3500,
Thoubal,12/10/2018,2.1,Other,NR,3500,3500,
Thoubal,16/10/2018,1.9,Other,NR,3500,3500,
Thoubal,18/10/2018,2.1,Other,NR,3500,3500,
Thoubal,19/10/2018,2,Other,NR,3000,3000,
Thoubal,20/10/2018,2,Other,NR,3000,3000,
Thoubal,22/10/2018,1.8,Other,NR,3000,3000,
Thoubal,23/10/2018,2.2,Other,NR,3000,3000,
Thoubal,25/10/2018,2,Other,NR,3000,3000,
Thoubal,26/10/2018,1.8,Other,NR,3000,3000,
Thoubal,27/10/2018,1.9,Other,NR,3500,3500,
Thoubal,29/10/2018,1.8,Other,NR,3500,3500,
Thoubal,30/10/2018,2, ,NR,NR,NR,
Thoubal,31/10/2018,2.2, ,NR,NR,NR,
