Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Abohar,01/10/2018,10,Onion,750,1100,900,
Abohar,02/10/2018,30, ,NR,NR,NR,
Abohar,03/10/2018,15,Onion,950,1250,1075,
Abohar,04/10/2018,15,Onion,850,1200,1100,
Abohar,05/10/2018,10,Onion,900,1200,1100,
Abohar,08/10/2018,20,Onion,1000,1250,1150,
Abohar,09/10/2018,15,Onion,1000,1250,1100,
Abohar,10/10/2018,10,Onion,975,1250,1100,
Abohar,11/10/2018,10, ,NR,NR,NR,
Abohar,12/10/2018,10,Onion,950,1250,1150,
Abohar,13/10/2018,10,Onion,1050,1250,1100,
Abohar,15/10/2018,10,Onion,1050,1450,1150,
Abohar,16/10/2018,10,Onion,1050,1450,1250,
Abohar,17/10/2018,20,Onion,1250,1550,1320,
Abohar,18/10/2018,30,Onion,1250,2000,1450,
Abohar,19/10/2018,5,Onion,1275,1650,1450,
Abohar,20/10/2018,10,Onion,1250,1650,1550,
Abohar,22/10/2018,25,Onion,1300,1800,1550,
Abohar,23/10/2018,20,Onion,1200,1700,1550,
Abohar,24/10/2018,19,Onion,1200,1650,1450,
Abohar,25/10/2018,15,Onion,1200,1700,1500,
Abohar,26/10/2018,10,Onion,700,1650,1200,
Abohar,29/10/2018,10,Onion,1150,1750,1475,
Abohar,30/10/2018,10,Onion,1150,1700,1550,
Abohar,31/10/2018,5,Onion,1175,1750,1450,
Adampur,01/10/2018,1.6,Other,1100,1300,1300,
Adampur,02/10/2018,1.4,Other,1200,1400,1400,
Adampur,03/10/2018,1.3,Other,1200,1400,1400,
Adampur,04/10/2018,1.4,Other,1200,1400,1400,
Adampur,05/10/2018,1.2,Other,1200,1400,1400,
Adampur,06/10/2018,1.5,Other,1200,1400,1400,
Adampur,08/10/2018,1.6,Other,1300,1400,1400,
Adampur,09/10/2018,1.4,Other,1300,1400,1400,
Adampur,10/10/2018,1.3,Other,1200,1400,1400,
Adampur,11/10/2018,1.2,Other,1200,1400,1400,
Adampur,12/10/2018,1.3,Other,1300,1500,1500,
Adampur,13/10/2018,1.5,Other,1300,1400,1400,
Adampur,15/10/2018,1.3,Other,1400,1500,1500,
Adampur,16/10/2018,1.2,Other,1400,1500,1500,
Adampur,17/10/2018,1,Other,1500,1700,1700,
Adampur,18/10/2018,1.5,Other,1600,1800,1800,
Adampur,19/10/2018,1.2,Other,1500,1800,1800,
Adampur,20/10/2018,1,Other,1600,1800,1800,
Adampur,22/10/2018,1.6,Other,1300,1600,1600,
Adampur,23/10/2018,1.7,Other,1500,1600,1600,
Adampur,24/10/2018,1.5,Other,1600,1800,1800,
Adampur,25/10/2018,1.4,Other,1600,1800,1800,
Adampur,26/10/2018,1.3,Other,1500,1800,1800,
Adampur,27/10/2018,1.3,Other,1500,1800,1800,
Adampur,29/10/2018,1.1,Other,1600,1800,1800,
Adampur,30/10/2018,1.2,Other,1500,1800,1800,
Adampur,31/10/2018,1,Other,1600,1800,1800,
Ajnala,01/10/2018,1.25,Red,1200,1300,1200,
Ajnala,02/10/2018,1.25,Red,1200,1400,1300,
Ajnala,03/10/2018,0.5,Red,1000,1300,1200,
Ajnala,04/10/2018,0.75,Red,1200,1400,1300,
Ajnala,05/10/2018,0.95,Red,1200,1500,1300,
Ajnala,06/10/2018,1.17,Red,1200,1300,1200,
Ajnala,07/10/2018,1,Red,1200,1400,1300,
Ajnala,08/10/2018,1.2,Red,1200,1400,1300,
Ajnala,09/10/2018,2.15,Red,1200,1400,1300,
Ajnala,10/10/2018,2.1,Red,1000,1200,1100,
Ajnala,11/10/2018,2,Red,1100,1300,1200,
Ajnala,12/10/2018,1.85,Red,1300,1500,1400,
Ajnala,13/10/2018,1.6,Red,1200,1400,1300,
Ajnala,14/10/2018,0.43,Red,1200,1300,1300,
Ajnala,15/10/2018,0.6,Red,1200,1300,1300,
Ajnala,16/10/2018,0.6,Red,1200,1300,1300,
Ajnala,17/10/2018,0.67,Red,1200,1400,1300,
Ajnala,18/10/2018,0.84,Red,1200,1300,1300,
Ajnala,19/10/2018,0.95,Red,1200,1400,1300,
Ajnala,20/10/2018,0.48,Red,1200,1400,1300,
Ajnala,21/10/2018,0.6,Red,1200,1300,1300,
Ajnala,22/10/2018,0.5,Red,1200,1300,1300,
Ajnala,23/10/2018,0.67,Red,1300,1500,1400,
Ajnala,24/10/2018,0.47,Red,1200,1300,1300,
Ajnala,25/10/2018,0.77,Red,1200,1300,1300,
Ajnala,26/10/2018,0.73,Red,1200,1500,1300,
Ajnala,27/10/2018,0.81,Red,1200,1300,1300,
Ajnala,29/10/2018,1,Red,1200,1400,1300,
Ajnala,30/10/2018,0.86,Red,1100,1300,1200,
Ajnala,31/10/2018,1.25,Red,1200,1400,1300,
Amritsar(Amritsar Mewa Mandi),01/10/2018,500,Onion,900,1300,1000,
Amritsar(Amritsar Mewa Mandi),02/10/2018,480, ,NR,NR,NR,
Amritsar(Amritsar Mewa Mandi),03/10/2018,300,Onion,800,1200,1000,
Amritsar(Amritsar Mewa Mandi),04/10/2018,280,Onion,800,1200,1000,
Amritsar(Amritsar Mewa Mandi),05/10/2018,500,Onion,900,1300,1100,
Amritsar(Amritsar Mewa Mandi),06/10/2018,480,Onion,900,1300,1100,
Amritsar(Amritsar Mewa Mandi),07/10/2018,700,Onion,1000,1400,1200,
Amritsar(Amritsar Mewa Mandi),08/10/2018,800,Onion,1000,1400,1200,
Amritsar(Amritsar Mewa Mandi),09/10/2018,700,Onion,1000,1400,1200,
Amritsar(Amritsar Mewa Mandi),10/10/2018,750,Onion,1000,1400,1200,
Amritsar(Amritsar Mewa Mandi),11/10/2018,800,Onion,1000,1400,1200,
Amritsar(Amritsar Mewa Mandi),12/10/2018,2400,Onion,1200,1700,1500,
Amritsar(Amritsar Mewa Mandi),14/10/2018,2350,Onion,1200,1700,1500,
Amritsar(Amritsar Mewa Mandi),15/10/2018,2500,Onion,1200,1700,1500,
Amritsar(Amritsar Mewa Mandi),16/10/2018,2550,Onion,1200,1700,1500,
Amritsar(Amritsar Mewa Mandi),17/10/2018,2580,Onion,1200,1700,1500,
Amritsar(Amritsar Mewa Mandi),18/10/2018,2600,Onion,1200,1700,1500,
Amritsar(Amritsar Mewa Mandi),19/10/2018,2500,Onion,1200,1700,1500,
Amritsar(Amritsar Mewa Mandi),20/10/2018,2400,Onion,1200,1700,1500,
Amritsar(Amritsar Mewa Mandi),21/10/2018,600,Onion,1300,1800,1500,
Amritsar(Amritsar Mewa Mandi),22/10/2018,450,Onion,1300,1800,1500,
Amritsar(Amritsar Mewa Mandi),23/10/2018,500,Onion,1300,1800,1500,
Amritsar(Amritsar Mewa Mandi),24/10/2018,550,Onion,1300,1800,1500,
Amritsar(Amritsar Mewa Mandi),25/10/2018,570,Onion,1300,1800,1500,
Amritsar(Amritsar Mewa Mandi),26/10/2018,540,Onion,1300,1800,1500,
Amritsar(Amritsar Mewa Mandi),27/10/2018,530,Onion,1300,1800,1500,
Amritsar(Amritsar Mewa Mandi),28/10/2018,500,Onion,1300,1800,1500,
Amritsar(Amritsar Mewa Mandi),30/10/2018,500,Onion,1200,1800,1400,
Amritsar(Amritsar Mewa Mandi),31/10/2018,520,Onion,1200,1800,1400,
Baghapurana,01/10/2018,1.2,Other,1700,1900,1800,
Baghapurana,02/10/2018,1.1,Other,1700,1900,1800,
Baghapurana,03/10/2018,0.9,Other,1700,1900,1800,
Baghapurana,04/10/2018,1,Other,1700,1900,1800,
Baghapurana,05/10/2018,1,Other,1700,1900,1800,
Baghapurana,06/10/2018,1.2,Other,1700,1900,1800,
Baghapurana,08/10/2018,1.2,Other,1700,1900,1800,
Baghapurana,09/10/2018,1,Other,1600,1800,1700,
Baghapurana,10/10/2018,0.25,Other,1700,1900,1800,
Baghapurana,11/10/2018,1.1,Other,1600,1800,1700,
Baghapurana,12/10/2018,0.9,Other,1700,1900,1800,
Baghapurana,13/10/2018,0.8,Other,1700,1900,1800,
Baghapurana,15/10/2018,0.9,Other,1600,1800,1700,
Baghapurana,16/10/2018,0.8,Other,1600,1800,1700,
Baghapurana,17/10/2018,0.8,Other,1600,1800,1700,
Baghapurana,18/10/2018,0.6,Other,1600,1800,1700,
Baghapurana,19/10/2018,0.8,Other,1600,1800,1700,
Baghapurana,20/10/2018,0.8,Other,1600,1800,1700,
Baghapurana,22/10/2018,0.9,Other,1700,1900,1800,
Baghapurana,23/10/2018,0.7,Other,1700,1900,1800,
Baghapurana,24/10/2018,0.7,Other,1700,1900,1800,
Baghapurana,25/10/2018,8,Other,1700,1900,1800,
Baghapurana,26/10/2018,0.9,Other,1700,1900,1800,
Baghapurana,27/10/2018,0.8,Other,1700,1900,1800,
Baghapurana,29/10/2018,0.7,Other,1700,1900,1800,
Baghapurana,30/10/2018,0.3,Local,1700,1900,1800,
Baghapurana,31/10/2018,0.8,Other,1700,1900,1800,
Banga,01/10/2018,5.5,Other,1233,1263,1263,
Banga,02/10/2018,3.9,Other,1250,1288,1288,
Banga,03/10/2018,6.3,Other,1171,1250,1171,
Banga,04/10/2018,3.5,Other,1200,1242,1215,
Banga,06/10/2018,6.9,Other,1200,1271,1254,
Banga,08/10/2018,4.1,Other,1200,1286,1286,
Banga,10/10/2018,7.5,Other,1250,1344,1344,
Banga,11/10/2018,13.1,Other,1200,1372,1300,
Banga,12/10/2018,7.8,Other,1250,1405,1300,
Banga,13/10/2018,8.7,Other,1300,1466,1389,
Banga,15/10/2018,5.8,Other,1300,1498,1498,
Banga,17/10/2018,5.2,Other,1300,1800,1800,
Banga,18/10/2018,4.1,Other,1650,2043,1837,
Banga,20/10/2018,5.4,Other,1500,1838,1838,
Banga,22/10/2018,9.2,Other,1500,1834,1834,
Banga,29/10/2018,5.4,Other,850,1907,1500,
Banga,30/10/2018,7.4,Other,1300,1735,1735,
Banur,01/10/2018,0.1,Other,1000,1500,1200,
Banur,02/10/2018,0.1,Other,1000,1500,1200,
Banur,03/10/2018,0.1,Other,1000,1500,1200,
Banur,04/10/2018,0.1,Other,1000,1800,1500,
Banur,05/10/2018,0.1,Other,1000,1800,1500,
Banur,06/10/2018,0.1,Other,1000,1500,1200,
Banur,07/10/2018,0.1,Other,1000,1500,1200,
Banur,08/10/2018,0.1,Other,1000,1500,1200,
Banur,09/10/2018,0.1,Other,1000,1500,1200,
Banur,10/10/2018,0.1,Other,1000,1500,1200,
Banur,11/10/2018,0.1,Other,1000,1500,1200,
Banur,12/10/2018,0.1,Other,1000,1500,1200,
Banur,13/10/2018,0.1,Other,1000,1500,1200,
Banur,14/10/2018,0.1,Other,1000,1500,1200,
Banur,15/10/2018,0.1,Other,1000,1500,1200,
Banur,16/10/2018,0.1,Other,1000,1500,1200,
Banur,17/10/2018,0.1,Other,1500,2000,1800,
Banur,18/10/2018,0.1,Other,1500,2000,1800,
Banur,19/10/2018,0.1,Other,1500,2000,1800,
Banur,20/10/2018,0.1,Other,1500,2000,1800,
Banur,21/10/2018,0.1,Other,1200,1800,1500,
Banur,22/10/2018,0.1,Other,1200,1800,1500,
Banur,23/10/2018,0.1,Other,1200,1800,1500,
Banur,24/10/2018,0.1,Other,1200,1800,1500,
Banur,25/10/2018,0.1,Other,1200,1800,1500,
Banur,26/10/2018,0.1,Other,1200,1800,1500,
Banur,27/10/2018,0.1,Other,1200,1800,1500,
Banur,28/10/2018,0.1,Other,1200,1800,1500,
Banur,29/10/2018,0.2,Other,1200,1800,1500,
Banur,30/10/2018,0.2,Other,1000,1800,1500,
Banur,31/10/2018,0.2,Other,1000,1500,1200,
Banur (Kheragaju),01/10/2018,0.1,1st Sort,1000,1500,1200,
Banur (Kheragaju),02/10/2018,0.1,1st Sort,1000,1500,1200,
Banur (Kheragaju),03/10/2018,0.1, ,NR,NR,NR,
Banur (Kheragaju),04/10/2018,0.1,1st Sort,1000,1500,1200,
Banur (Kheragaju),05/10/2018,0.1,1st Sort,1000,1500,1200,
Banur (Kheragaju),06/10/2018,0.1,1st Sort,1000,1800,1500,
Banur (Kheragaju),07/10/2018,0.1, ,NR,NR,NR,
Banur (Kheragaju),08/10/2018,0.1, ,NR,NR,NR,
Banur (Kheragaju),09/10/2018,0.1,1st Sort,1000,1500,1200,
Banur (Kheragaju),10/10/2018,0.1,1st Sort,1000,1500,1200,
Banur (Kheragaju),11/10/2018,0.1,1st Sort,1000,1500,1200,
Banur (Kheragaju),12/10/2018,0.1,1st Sort,1000,1500,1200,
Banur (Kheragaju),13/10/2018,0.1,1st Sort,1000,1500,1200,
Banur (Kheragaju),14/10/2018,0.1,1st Sort,1000,1500,1200,
