Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Abu Road,01/05/2020,8.34,Other,1275,1325,1300,
Abu Road,02/05/2020,2.8,Other,1175,1225,1200,
Abu Road,03/05/2020,8.63,Other,1175,1225,1200,
Abu Road,04/05/2020,2.64,Other,1175,1225,1200,
Abu Road,05/05/2020,2.73,Other,975,1025,1000,
Abu Road,06/05/2020,2.75,Other,975,1025,1000,
Ajmer(F&V),01/05/2020,33.5,Other,700,1800,1250,
Ajmer(F&V),02/05/2020,21.8,Other,900,1600,1300,
Ajmer(F&V),03/05/2020,24,Other,700,1400,1100,
Ajmer(F&V),04/05/2020,14,Other,700,1300,1000,
Ajmer(F&V),05/05/2020,42,Other,700,1400,1100,
Ajmer(F&V),06/05/2020,41,Other,700,1500,1200,
Alwar(FV),01/05/2020,62.3,Other,900,1500,1300,
Alwar(FV),02/05/2020,87.3,Other,800,1500,1300,
Alwar(FV),03/05/2020,52.4,Other,900,1600,1400,
Alwar(FV),04/05/2020,76,Other,1000,1600,1400,
Alwar(FV),05/05/2020,59.1,Other,1000,1600,1400,
Alwar(FV),06/05/2020,59.7,Other,1000,1600,1400,
Balotra,01/05/2020,39, ,NR,NR,NR,
Balotra,02/05/2020,10, ,NR,NR,NR,
Balotra,03/05/2020,2.1, ,NR,NR,NR,
Balotra,04/05/2020,41.05,1st Sort,780,800,790,
Balotra,05/05/2020,20.05,1st Sort,780,800,790,
Balotra,06/05/2020,49,1st Sort,780,800,790,
Bayana,01/05/2020,3.8, ,NR,NR,NR,
Bayana,07/05/2020,4,Onion,900,900,900,
Bhadara,01/05/2020,3, ,NR,NR,NR,
Bhadara,02/05/2020,3.5, ,NR,NR,NR,
Bhadara,03/05/2020,3.2, ,NR,NR,NR,
Bhadara,04/05/2020,2.7,1st Sort,800,1000,900,
Bhadara,05/05/2020,2.4,1st Sort,700,1000,850,
Bhadara,06/05/2020,2.4,1st Sort,700,1000,850,
Bhadara,07/05/2020,2.6,1st Sort,800,1000,900,
Bhadara,08/05/2020,2.4,1st Sort,800,1000,900,
Bhilwara,03/05/2020,70.3,Other,1500,1800,1650,
Bhilwara,04/05/2020,10.3,Other,1000,1500,1250,
Bhilwara,05/05/2020,19,Other,2000,2500,2250,
Bhilwara,06/05/2020,29.1,Other,1500,2000,1750,
Bhilwara,07/05/2020,16.6,Other,1500,2000,1750,
Bhilwara,08/05/2020,55.5, ,NR,NR,NR,
Bijay Nagar,02/05/2020,8.2, ,NR,NR,NR,
Bijay Nagar,08/05/2020,8.4,1st Sort,600,900,750,
Chittorgarh,04/05/2020,9,Other,500,1000,800,
Chittorgarh,05/05/2020,9,Other,500,1000,800,
Chittorgarh,08/05/2020,40,Other,500,700,600,
Chomu(F&V),01/05/2020,6.6,Other,800,1200,1000,
Chomu(F&V),02/05/2020,3.4,Other,800,1200,1000,
Chomu(F&V),03/05/2020,1.6,Other,800,1200,1000,
Chomu(F&V),04/05/2020,2.8,Other,600,1000,800,
Chomu(F&V),05/05/2020,2.9,Other,600,1000,800,
Chomu(F&V),06/05/2020,4.1,Other,600,1000,800,
Chomu(F&V),07/05/2020,6.1,Other,600,1000,800,
Chomu(F&V),08/05/2020,2.8,Other,600,1000,800,
Churu,02/05/2020,5, ,NR,NR,NR,
Churu,03/05/2020,6, ,NR,NR,NR,
Churu,04/05/2020,5, ,NR,NR,NR,
Churu,08/05/2020,6.5,1st Sort,800,1200,1060,
Hanumangarh,02/05/2020,5,1st Sort,900,900,900,
Hanumangarh,03/05/2020,10,1st Sort,800,800,800,
Hanumangarh Town,02/05/2020,1.8,1st Sort,900,900,900,
Hanumangarh Town,03/05/2020,1.5,1st Sort,900,900,900,
Jaisalmer,01/05/2020,11,Other,1000,1200,1000,
Jaisalmer,02/05/2020,8,Other,1000,1200,1000,
Jaisalmer,03/05/2020,10,Other,1000,1200,1000,
Jaisalmer,04/05/2020,8.5,Other,1000,1200,1000,
Jaisalmer,05/05/2020,2,Other,1000,1200,1000,
Jaisalmer,06/05/2020,10,Other,1000,1200,1000,
Jaisalmer,08/05/2020,14.3,Other,800,1000,900,
Jalore,01/05/2020,0.16, ,NR,NR,NR,
Jalore,03/05/2020,1, ,NR,NR,NR,
Jalore,04/05/2020,1.4, ,NR,NR,NR,
Jalore,06/05/2020,0.65,Other,800,1000,900,
Jalore,09/05/2020,5.56,Other,800,1000,900,
Jhunjhunu,06/05/2020,6.5,1st Sort,700,700,700,
Jhunjhunu,07/05/2020,5.9,1st Sort,800,800,800,
Jhunjhunu,08/05/2020,2,1st Sort,600,600,600,
Kekri,07/05/2020,1.1,1st Sort,950,1125,1040,
Kekri,08/05/2020,1.1,1st Sort,950,1125,1040,
Madanganj Kishanganj,01/05/2020,2,1st Sort,1300,1500,1400,
Madanganj Kishanganj,02/05/2020,1.8,1st Sort,1200,1400,1300,
Madanganj Kishanganj,03/05/2020,1.9,1st Sort,1100,1300,1200,
Madanganj Kishanganj,04/05/2020,2,1st Sort,1000,1200,1100,
Madanganj Kishanganj,05/05/2020,1.8,1st Sort,900,1100,1000,
Madanganj Kishanganj,06/05/2020,1.6,1st Sort,800,1000,900,
Madanganj Kishanganj,07/05/2020,1.4,1st Sort,900,1100,1000,
Madanganj Kishanganj,08/05/2020,1.6,1st Sort,800,1000,900,
Nadwai,02/05/2020,19,Other,1000,1200,1100,
Nadwai,03/05/2020,15,Other,800,1100,950,
Nadwai,04/05/2020,16,Other,1000,1100,1050,
Nadwai,05/05/2020,13,Other,1000,1100,1050,
Nadwai,07/05/2020,14,Other,1000,1000,1000,
Nawalgarh,02/05/2020,188,1st Sort,640,660,650,
Nawalgarh,04/05/2020,30,1st Sort,590,610,600,
Nawalgarh,05/05/2020,233,1st Sort,640,660,650,
Padampur,01/05/2020,0.9, ,NR,NR,NR,
Pilli Banga,01/05/2020,1.9, ,NR,NR,NR,
Pilli Banga,02/05/2020,4.1,Other,725,915,800,
Pilli Banga,03/05/2020,2.7,Other,645,855,750,
Pilli Banga,04/05/2020,2.5,Other,675,860,755,
Pilli Banga,05/05/2020,3,Other,750,915,800,
Pilli Banga,06/05/2020,2.4,Other,557,785,690,
Pilli Banga,07/05/2020,2,Other,765,905,807,
Pilli Banga,08/05/2020,1.9,Other,719,915,820,
Rajasamand,01/05/2020,5.56, ,NR,NR,NR,
Rajasamand,02/05/2020,7, ,NR,NR,NR,
Rajasamand,03/05/2020,25.2, ,NR,NR,NR,
Rajasamand,04/05/2020,10.25, ,NR,NR,NR,
