Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Ajmer(F&V),01/10/2018,21.5, ,NR,NR,NR,
Ajmer(F&V),02/10/2018,98.7,Other,500,1000,950,
Ajmer(F&V),03/10/2018,29.2,Other,500,1300,900,
Ajmer(F&V),04/10/2018,41.4, ,NR,NR,NR,
Ajmer(F&V),05/10/2018,11.2, ,NR,NR,NR,
Ajmer(F&V),06/10/2018,16.7,Other,900,1700,1500,
Ajmer(F&V),07/10/2018,51.5,Other,900,1800,1600,
Ajmer(F&V),08/10/2018,13.6,Other,900,1800,1600,
Ajmer(F&V),09/10/2018,27.7,Other,900,1600,1400,
Ajmer(F&V),10/10/2018,32.5,Other,900,1800,1600,
Ajmer(F&V),11/10/2018,29.4,Other,900,1800,1500,
Ajmer(F&V),12/10/2018,71.4,Other,800,1500,1400,
Ajmer(F&V),13/10/2018,24.5,Other,800,1500,1350,
Ajmer(F&V),14/10/2018,25.2,Other,800,1600,1400,
Ajmer(F&V),15/10/2018,15.5,Other,900,1500,1300,
Ajmer(F&V),16/10/2018,22.2,Other,800,1600,1400,
Ajmer(F&V),18/10/2018,29.9,Other,800,1600,1400,
Ajmer(F&V),19/10/2018,23.9,Other,800,1700,1500,
Ajmer(F&V),20/10/2018,43.3,Other,700,1700,1450,
Ajmer(F&V),21/10/2018,43.3,Other,700,1700,1500,
Ajmer(F&V),22/10/2018,67.8,Other,900,1800,1500,
Ajmer(F&V),23/10/2018,57.7,Other,900,1800,1600,
Ajmer(F&V),26/10/2018,41.2,Other,900,1800,1600,
Ajmer(F&V),27/10/2018,69.7,Other,800,1600,1400,
Ajmer(F&V),28/10/2018,62.9,Other,800,1600,1500,
Ajmer(F&V),29/10/2018,26.9,Other,700,1600,1500,
Ajmer(F&V),30/10/2018,19.4,Other,700,1500,1250,
Ajmer(F&V),31/10/2018,98.2,Other,700,1500,1300,
Alwar(FV),01/10/2018,25.5, ,NR,NR,NR,
Alwar(FV),02/10/2018,36.6, ,NR,NR,NR,
Alwar(FV),03/10/2018,82.3,Other,1200,1700,1450,
Alwar(FV),04/10/2018,30.8, ,NR,NR,NR,
Alwar(FV),05/10/2018,11.2, ,NR,NR,NR,
Alwar(FV),06/10/2018,3.3, ,NR,NR,NR,
Alwar(FV),07/10/2018,8.5, ,NR,NR,NR,
Alwar(FV),08/10/2018,51,Other,1000,1600,1300,
Alwar(FV),09/10/2018,101.4,Other,1100,1500,1300,
Alwar(FV),10/10/2018,30.2,Other,1100,1600,1350,
Alwar(FV),11/10/2018,38.2,Other,1100,1600,1350,
Alwar(FV),12/10/2018,31.3,Other,1200,1600,1400,
Alwar(FV),13/10/2018,50.8,Other,1200,1500,1350,
Alwar(FV),14/10/2018,3.6,Other,1200,1500,1350,
Alwar(FV),15/10/2018,56.8,Other,1200,1500,1350,
Alwar(FV),16/10/2018,4.8,Other,1200,1500,1350,
Alwar(FV),17/10/2018,33.6,Other,1200,1600,1400,
Alwar(FV),18/10/2018,39.9,Other,1400,1800,1600,
Alwar(FV),19/10/2018,34.8,Other,1400,2000,1700,
Alwar(FV),20/10/2018,34.6,Other,1400,2000,1700,
Alwar(FV),21/10/2018,51.5,Other,1200,2000,1600,
Alwar(FV),22/10/2018,342.7,Other,1300,2000,1650,
Alwar(FV),23/10/2018,5510.1,Other,750,1750,1250,
Alwar(FV),25/10/2018,1044.8,Other,812,1676,1244,
Alwar(FV),26/10/2018,823.8,Other,750,1527,1139,
Alwar(FV),27/10/2018,0.8,Other,900,1675,1287,
Alwar(FV),28/10/2018,1034.4,Other,750,1500,1125,
Alwar(FV),29/10/2018,990.4,Other,1000,1625,1312,
Alwar(FV),30/10/2018,1057.7,Other,912,1500,1205,
Alwar(FV),31/10/2018,1108.7,Other,762,1375,850,
Bayana,02/10/2018,1, ,NR,NR,NR,
Bayana,03/10/2018,2, ,NR,NR,NR,
Bayana,04/10/2018,1.5,Onion,1000,1000,1000,
Bayana,05/10/2018,2,Onion,800,800,800,
Bayana,10/10/2018,1.5,Onion,800,800,800,
Bayana,11/10/2018,2.5,Onion,1000,1000,1000,
Bayana,14/10/2018,1,Onion,1200,1200,1200,
Bayana,16/10/2018,2,Onion,800,800,800,
Bayana,19/10/2018,1, ,NR,NR,NR,
Bayana,23/10/2018,1,Onion,1500,1500,1500,
Bayana,24/10/2018,1, ,NR,NR,NR,
Bayana,25/10/2018,1, ,NR,NR,NR,
