Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Barpathari,01/02/2020,0.3,Other,4800,5000,4900,
Barpathari,02/02/2020,0.2,Other,4800,5000,4900,
Barpathari,03/02/2020,1,Other,4800,5000,4900,
Barpathari,04/02/2020,0.3,Other,4800,5000,4900,
Barpathari,05/02/2020,0.3,Other,4300,4500,4400,
Barpathari,06/02/2020,0.4,Other,4300,4500,4400,
Barpathari,07/02/2020,1.1,Other,4300,4500,4400,
Barpathari,08/02/2020,0.3,Other,4300,4500,4400,
Barpathari,09/02/2020,0.4,Other,4300,4500,4400,
Barpathari,10/02/2020,1,Other,4300,4500,4400,
Barpathari,11/02/2020,0.2,Other,4300,4500,4400,
Barpathari,12/02/2020,0.3,Other,4300,4500,4400,
Barpathari,13/02/2020,0.4,Other,4000,4200,4100,
Barpathari,14/02/2020,1,Other,3500,3700,3600,
Barpathari,15/02/2020,0.3,Other,3500,3700,3600,
Barpathari,16/02/2020,0.4,Other,3500,3700,3600,
Barpathari,17/02/2020,1,Other,3500,3700,3600,
Barpathari,18/02/2020,0.3,Other,3500,3700,3600,
Barpathari,19/02/2020,0.4,Other,3500,3700,3600,
Barpathari,20/02/2020,0.3,Other,3500,3700,3600,
Barpathari,21/02/2020,1,Other,3500,3700,3600,
Barpathari,22/02/2020,0.4,Other,3500,3700,3600,
Barpathari,23/02/2020,0.3,Other,3500,3700,3600,
Barpathari,24/02/2020,1.1,Other,3500,3700,3600,
Barpathari,25/02/2020,0.2,Other,3500,3700,3600,
Barpathari,26/02/2020,0.3,Other,3500,3700,3600,
Barpathari,27/02/2020,0.4,Other,3500,3700,3600,
Barpathari,28/02/2020,1,Other,3500,3700,3600,
Barpathari,29/02/2020,0.4,Other,3500,3700,3600,
Kadamtala,05/02/2020,0.5,1st Sort,4500,4560,4530,
Kadamtala,06/02/2020,0.4,1st Sort,4500,4560,4530,
Kadamtala,07/02/2020,0.3,1st Sort,4500,4600,4550,
Kadamtala,08/02/2020,0.3,1st Sort,4550,4650,4600,
Kadamtala,09/02/2020,0.3,1st Sort,4500,4700,4600,
Kadamtala,10/02/2020,0.3,1st Sort,1800,2000,1900,
Kadamtala,12/02/2020,0.2,1st Sort,3300,3500,3400,
Kadamtala,13/02/2020,0.3,1st Sort,3300,3500,3400,
Kadamtala,14/02/2020,0.3,1st Sort,3300,3500,3400,
Kadamtala,15/02/2020,0.2,1st Sort,3300,3500,3400,
Kadamtala,16/02/2020,0.2,1st Sort,3200,3400,3300,
Kadamtala,17/02/2020,0.2,1st Sort,3200,3400,3300,
Kadamtala,18/02/2020,0.2,1st Sort,3200,3400,3300,
Kadamtala,19/02/2020,0.2,1st Sort,3300,3500,3400,
Kadamtala,20/02/2020,0.3,1st Sort,3300,3500,3400,
Kadamtala,21/02/2020,0.5,1st Sort,3300,3500,3400,
Kadamtala,22/02/2020,0.3,1st Sort,3200,3400,3300,
Kadamtala,25/02/2020,0.2,1st Sort,3000,3200,3100,
Kalyanpur,02/02/2020,2,Nasik,4900,5000,4960,
Kalyanpur,06/02/2020,2,Nasik,4200,4250,4225,
Kalyanpur,09/02/2020,2.5,Nasik,3600,3700,3660,
Kalyanpur,13/02/2020,2,Nasik,3400,3500,3440,
Kalyanpur,16/02/2020,2,Nasik,3250,3350,3300,
Kalyanpur,20/02/2020,1,Nasik,3300,3350,3320,
Kalyanpur,23/02/2020,2.2,Nasik,3400,3500,3460,
Kalyanpur,27/02/2020,1,Nasik,3300,3350,3320,
Panisagar,05/02/2020,0.6,Red,4450,4550,4500,
Panisagar,06/02/2020,0.3,Red,4450,4550,4500,
Panisagar,07/02/2020,0.3,Red,4450,4550,4500,
Panisagar,08/02/2020,3,Red,4450,4550,4500,
Panisagar,09/02/2020,0.7,Red,4500,4700,4600,
Panisagar,10/02/2020,0.3,Red,3500,3700,3600,
Panisagar,11/02/2020,0.3,Red,3200,3400,3300,
Panisagar,12/02/2020,0.6,Red,3300,3500,3400,
Panisagar,13/02/2020,0.2,Red,3300,3500,3400,
Panisagar,14/02/2020,0.2,Red,3300,3500,3400,
Panisagar,15/02/2020,0.2,Red,3300,3500,3400,
Panisagar,16/02/2020,0.6,Red,3200,3400,3300,
Panisagar,17/02/2020,0.2,Red,3200,3400,3300,
Panisagar,18/02/2020,0.3,Red,3200,3400,3300,
Panisagar,19/02/2020,0.7,Red,3300,3500,3400,
Panisagar,20/02/2020,0.2,Red,3300,3500,3400,
Panisagar,21/02/2020,0.3,Red,3200,3400,3300,
Panisagar,22/02/2020,0.3,Red,3200,3400,3300,
Panisagar,23/02/2020,5,Red,3000,3200,3100,
Panisagar,24/02/2020,0.2,Red,3000,3200,3100,
Panisagar,25/02/2020,0.3,Red,3100,3300,3200,
Teliamura,03/02/2020,5,Nasik,4900,5200,5000,
Teliamura,07/02/2020,4,Nasik,3800,4000,3900,
Teliamura,10/02/2020,3,Nasik,3500,3700,3600,
Teliamura,14/02/2020,5,Nasik,3400,3600,3500,
Teliamura,17/02/2020,5,Nasik,3300,3500,3400,
Teliamura,21/02/2020,3,Nasik,3400,3600,3500,
Teliamura,24/02/2020,2,Nasik,3400,3600,3500,
Teliamura,28/02/2020,3,Nasik,2900,3100,3000,
