Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Dehradoon,01/01/2018,162.8,Other,1800,3000,2200,
Dehradoon,02/01/2018,121.2,Other,2200,3000,2800,
Dehradoon,03/01/2018,16.8,Other,2600,3200,2800,
Dehradoon,04/01/2018,17.9,Other,2000,3000,2600,
Dehradoon,05/01/2018,58,Other,2000,3200,3000,
Dehradoon,08/01/2018,106.3,Other,1950,3250,2500,
Dehradoon,09/01/2018,78.7,Other,2000,3200,2800,
Dehradoon,10/01/2018,110.4,Other,2600,3150,2800,
Dehradoon,11/01/2018,80.8,Other,2200,3000,2500,
Dehradoon,12/01/2018,16.9,Other,1950,3150,2500,
Dehradoon,13/01/2018,89.1,Other,2200,3200,2500,
Dehradoon,15/01/2018,56.9,Other,2200,3200,2500,
Dehradoon,16/01/2018,124.1,Other,1800,3250,2850,
Dehradoon,17/01/2018,123,Other,1500,3200,2000,
Dehradoon,18/01/2018,78.2,Other,1800,3250,2500,
Dehradoon,19/01/2018,44.8,Other,1950,3000,2600,
Dehradoon,20/01/2018,54,Other,2000,3000,2600,
Dehradoon,22/01/2018,55.8,Other,1950,3000,2600,
Dehradoon,23/01/2018,151.9,Other,1800,3300,2500,
Dehradoon,24/01/2018,32.4,Other,1950,3300,2500,
Dehradoon,25/01/2018,165,Other,2200,3250,2800,
Dehradoon,26/01/2018,43.3,Other,1950,3000,2500,
Dehradoon,27/01/2018,71,Other,2200,3000,2800,
Dehradoon,30/01/2018,54,Other,1950,3000,2800,
Dehradoon,31/01/2018,35.8,Other,1800,3000,2200,
Haldwani,02/01/2018,28.2,Other,2000,2500,2200,
Haldwani,03/01/2018,47.1,Other,2000,3000,2500,
Haldwani,04/01/2018,48,Other,2000,3000,2500,
Haldwani,05/01/2018,3.3,Other,2000,2500,2200,
Haldwani,07/01/2018,41.3,Other,2000,3000,2500,
Haldwani,08/01/2018,35.3,Other,2000,3000,2500,
Haldwani,09/01/2018,45.9,Other,2000,3000,2500,
Haldwani,10/01/2018,91.8,Other,2500,3500,3000,
Haldwani,11/01/2018,65.2,Other,2500,3000,2800,
Haldwani,12/01/2018,16.1,Other,2000,3000,2500,
Haldwani,14/01/2018,75.2,Other,2000,3000,2500,
Haldwani,15/01/2018,36.2,Other,2000,3000,2500,
Haldwani,16/01/2018,91.1,Other,2000,3000,2500,
Haldwani,17/01/2018,29.3,Other,2000,3000,2500,
Haldwani,18/01/2018,44.4, ,NR,NR,NR,
Haldwani,19/01/2018,40.5, ,NR,NR,NR,
Haldwani,22/01/2018,62,Other,2000,3000,2500,
Haldwani,23/01/2018,62,Other,2000,3000,2500,
Haldwani,29/01/2018,9.2,Other,2000,3000,2500,
Haldwani,30/01/2018,2.8,Other,2000,3000,2500,
Haridwar Union,01/01/2018,2.8,Other,1000,1900,1200,
Haridwar Union,02/01/2018,2.5,Other,950,1800,1150,
Haridwar Union,03/01/2018,3,Other,850,1750,1050,
Haridwar Union,04/01/2018,3.7,Other,700,1800,1100,
Haridwar Union,05/01/2018,4.4,Other,1000,2500,1500,
Haridwar Union,06/01/2018,5,Other,1000,3000,1600,
Haridwar Union,07/01/2018,3.5,Other,800,1850,1700,
Haridwar Union,08/01/2018,3.7,Other,800,2050,1650,
Haridwar Union,09/01/2018,3.7,Other,800,2150,1575,
Haridwar Union,10/01/2018,3.5,Other,800,2250,1540,
Haridwar Union,11/01/2018,3.5,Other,800,2400,1650,
Haridwar Union,13/01/2018,4.5,Other,850,1850,1200,
Haridwar Union,14/01/2018,3.5,Other,800,2100,1250,
Haridwar Union,16/01/2018,11.7,Other,600,1450,1230,
Haridwar Union,17/01/2018,5.5,Other,600,1850,1230,
Haridwar Union,19/01/2018,14,Other,1000,3000,2000,
Haridwar Union,20/01/2018,16.5,Other,1500,3000,1850,
Haridwar Union,21/01/2018,12,Other,1500,3000,2000,
Haridwar Union,22/01/2018,6.5,Other,1500,3000,2000,
