Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Dehradoon,02/12/2019,15.1, ,NR,NR,NR,
Dehradoon,03/12/2019,80, ,NR,NR,NR,
Dehradoon,04/12/2019,73.6, ,NR,NR,NR,
Dehradoon,05/12/2019,20.1, ,NR,NR,NR,
Dehradoon,06/12/2019,29.8, ,NR,NR,NR,
Dehradoon,07/12/2019,28.7, ,NR,NR,NR,
Dehradoon,09/12/2019,30.7, ,NR,NR,NR,
Dehradoon,10/12/2019,89, ,NR,NR,NR,
Dehradoon,11/12/2019,67.8, ,NR,NR,NR,
Dehradoon,12/12/2019,28.3, ,NR,NR,NR,
Dehradoon,13/12/2019,73.3, ,NR,NR,NR,
Dehradoon,14/12/2019,0.5, ,NR,NR,NR,
Dehradoon,16/12/2019,25.5, ,NR,NR,NR,
Dehradoon,17/12/2019,50.2, ,NR,NR,NR,
Dehradoon,18/12/2019,30.9, ,NR,NR,NR,
Dehradoon,19/12/2019,9.8, ,NR,NR,NR,
Dehradoon,20/12/2019,63.1, ,NR,NR,NR,
Dehradoon,21/12/2019,76, ,NR,NR,NR,
Dehradoon,23/12/2019,39.2, ,NR,NR,NR,
Dehradoon,24/12/2019,70, ,NR,NR,NR,
Dehradoon,25/12/2019,77.2, ,NR,NR,NR,
Dehradoon,26/12/2019,50.5, ,NR,NR,NR,
Dehradoon,27/12/2019,82.1, ,NR,NR,NR,
Dehradoon,28/12/2019,83.8, ,NR,NR,NR,
Dehradoon,30/12/2019,121.5, ,NR,NR,NR,
Dehradoon,31/12/2019,71.9, ,NR,NR,NR,
Haldwani,01/12/2019,46.6, ,NR,NR,NR,
Haldwani,02/12/2019,25.1, ,NR,NR,NR,
Haldwani,03/12/2019,29.2, ,NR,NR,NR,
Haldwani,04/12/2019,13.5, ,NR,NR,NR,
Haldwani,05/12/2019,20.9, ,NR,NR,NR,
Haldwani,06/12/2019,27.6, ,NR,NR,NR,
Haldwani,08/12/2019,15.2, ,NR,NR,NR,
Haldwani,09/12/2019,9.3, ,NR,NR,NR,
Haldwani,10/12/2019,10.8, ,NR,NR,NR,
Haldwani,11/12/2019,29.7, ,NR,NR,NR,
Haldwani,12/12/2019,35.8, ,NR,NR,NR,
Haldwani,13/12/2019,38.1, ,NR,NR,NR,
Haldwani,16/12/2019,28.5, ,NR,NR,NR,
Haldwani,17/12/2019,12.4, ,NR,NR,NR,
Haldwani,18/12/2019,22.9, ,NR,NR,NR,
Haldwani,19/12/2019,12.6, ,NR,NR,NR,
Haldwani,20/12/2019,23.4, ,NR,NR,NR,
Haldwani,22/12/2019,6.4, ,NR,NR,NR,
Haldwani,23/12/2019,14.4, ,NR,NR,NR,
Haldwani,24/12/2019,11.8, ,NR,NR,NR,
Haldwani,26/12/2019,18.5, ,NR,NR,NR,
Haldwani,27/12/2019,12.3, ,NR,NR,NR,
Haldwani,31/12/2019,11, ,NR,NR,NR,
Haridwar Union,01/12/2019,2, ,NR,NR,NR,
Haridwar Union,02/12/2019,2.4, ,NR,NR,NR,
Haridwar Union,03/12/2019,1, ,NR,NR,NR,
Haridwar Union,04/12/2019,0.6, ,NR,NR,NR,
Haridwar Union,05/12/2019,1.5, ,NR,NR,NR,
Haridwar Union,06/12/2019,0.8, ,NR,NR,NR,
Haridwar Union,07/12/2019,1.2, ,NR,NR,NR,
Haridwar Union,08/12/2019,1, ,NR,NR,NR,
Haridwar Union,09/12/2019,0.8, ,NR,NR,NR,
Haridwar Union,10/12/2019,1, ,NR,NR,NR,
Haridwar Union,11/12/2019,1, ,NR,NR,NR,
Haridwar Union,12/12/2019,1, ,NR,NR,NR,
Haridwar Union,13/12/2019,1, ,NR,NR,NR,
Haridwar Union,14/12/2019,1.5, ,NR,NR,NR,
Haridwar Union,16/12/2019,1.6, ,NR,NR,NR,
Haridwar Union,17/12/2019,1.5, ,NR,NR,NR,
Haridwar Union,18/12/2019,1, ,NR,NR,NR,
Haridwar Union,19/12/2019,1, ,NR,NR,NR,
Haridwar Union,22/12/2019,1, ,NR,NR,NR,
