Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Ballabhgarh,10/01/2019,90,1121,3401,3431,3431,
Ballabhgarh,11/01/2019,165,1121,3351,3451,3431,
Cheeka,28/01/2019,100,1121,3255,3255,3255,
Dhand,01/01/2019,340,1121,5000,5013,5010,
Dhand,02/01/2019,60,1121,4925,4925,4925,
Dhand,03/01/2019,60,1121,3450,3450,3450,
Ellanabad,17/01/2019,7,Basmati 1509,2957,3026,3026,
Ellanabad,19/01/2019,1,Basmati 1509,3065,3065,3065,
Ellanabad,21/01/2019,1.1,Basmati 1509,3041,3041,3041,
Ellanabad,22/01/2019,0.5,Basmati 1509,3021,3021,3021,
Gharaunda,01/01/2019,9,1121,3441,3441,3441,
Gharaunda,03/01/2019,33.5,1121,3261,4800,3471,
Gharaunda,04/01/2019,25,1121,3150,3515,3411,
Jullana,01/01/2019,302,1121,2890,3506,3451,
Jullana,02/01/2019,504,1121,3050,3535,3451,
Jullana,03/01/2019,483,1121,3020,3521,3451,
Jullana,04/01/2019,435,1121,2950,3535,3451,
Jullana,05/01/2019,553,1121,3020,3531,3451,
Jullana,06/01/2019,131,1121,3211,3541,3460,
Jullana,07/01/2019,4190,1121,3250,3581,3470,
Jullana,08/01/2019,425,1121,3210,3540,3451,
Jullana,09/01/2019,555,1121,3010,3535,3470,
Jullana,10/01/2019,456,1121,2901,3525,3451,
Jullana,13/01/2019,285,1121,3052,3501,3471,
Jullana,14/01/2019,251,1121,3301,3505,3451,
Jullana,15/01/2019,125,1121,3101,3521,3310,
Jullana,16/01/2019,275,1121,3100,3521,3450,
Jullana,17/01/2019,365,1121,3271,3481,3451,
Jullana,18/01/2019,42.5,1121,3210,3501,3471,
Jullana,19/01/2019,285,1121,3210,3501,3470,
Jullana,20/01/2019,225,1121,3201,3511,3450,
Jullana,21/01/2019,315,1121,3231,3491,3400,
Jullana,22/01/2019,53,1121,3450,3450,3450,
Jullana,25/01/2019,196,1121,3200,3491,3450,
Jullana,26/01/2019,255,1121,3200,3500,3450,
Jullana,27/01/2019,245,1121,3201,3491,3451,
Jullana,28/01/2019,485,1121,3201,3501,3451,
Jullana,29/01/2019,305,1121,3200,3521,3410,
Jullana,30/01/2019,280,1121,3210,3500,3450,
Jullana,31/01/2019,258,1121,3301,3527,3451,
Madlauda,01/01/2019,920,1121,3200,3458,3325,
Madlauda,02/01/2019,1715,1121,3351,3535,3412,
Madlauda,03/01/2019,2150,1121,3300,3525,3412,
Madlauda,04/01/2019,1520,1121,3350,3525,3465,
Madlauda,05/01/2019,497,1121,3200,3528,3365,
Madlauda,06/01/2019,500,1121,3200,3528,3365,
Madlauda,09/01/2019,1280,1121,3100,3535,3312,
Madlauda,10/01/2019,1265,1121,3341,3525,3401,
Madlauda,11/01/2019,1000,1121,3301,3551,3412,
Madlauda,12/01/2019,580,1121,3400,3531,3495,
Madlauda,14/01/2019,680,1121,3198,3528,3365,
Madlauda,15/01/2019,320,1121,3400,3530,3495,
Madlauda,16/01/2019,600,1121,3400,3450,3400,
Madlauda,17/01/2019,785,1121,2951,3525,3200,
Madlauda,18/01/2019,390,1121,3400,3460,3430,
Madlauda,19/01/2019,590,1121,3300,3521,3411,
Madlauda,21/01/2019,345,1121,3400,3461,3430,
Madlauda,22/01/2019,150,1121,3400,3450,3425,
Madlauda,23/01/2019,275,1121,3400,3455,3427,
Madlauda,24/01/2019,1050,1121,3400,3535,3501,
Madlauda,25/01/2019,70,1121,3511,3520,3515,
Madlauda,28/01/2019,755,1121,3150,3537,3365,
Madlauda,29/01/2019,740,1121,3400,3544,3501,
Madlauda,30/01/2019,625,1121,2800,3537,3165,
Narnaud(Bass),05/01/2019,39.5,1121,3450,3500,3500,
Narnaud(Bass),09/01/2019,41,1121,3400,3500,3500,
Narnaud(Bass),10/01/2019,19,1121,3400,3490,3490,
Narnaud(Bass),12/01/2019,38.5,1121,3425,3500,3500,
Narnaud(Bass),18/01/2019,20,1121,3400,3485,3485,
Narnaud(Bass),30/01/2019,20,1121,3475,3485,3485,
Narnaund,01/01/2019,62,1121,3335,3500,3400,
Narnaund,02/01/2019,124, ,NR,NR,NR,
Narnaund,03/01/2019,67.5,1121,3451,3511,3500,
Narnaund,04/01/2019,81,1121,2965,3511,3350,
Narnaund,05/01/2019,155.5,1121,3200,3531,3400,
Narnaund,06/01/2019,26.5,1121,3050,3461,3300,
Narnaund,07/01/2019,250,1121,3315,3535,3400,
Narnaund,08/01/2019,132,1121,3401,3561,3500,
Narnaund,09/01/2019,63.5,1121,3361,3535,3400,
Narnaund,10/01/2019,61,1121,3500,3535,3535,
Narnaund,13/01/2019,26,1121,3515,3525,3525,
Narnaund,14/01/2019,40.5,1121,3311,3495,3481,
Narnaund,15/01/2019,26.5,1121,3050,3525,3500,
Narnaund,16/01/2019,70,1121,2900,3495,3495,
Narnaund,17/01/2019,11.5,1121,3485,3495,3495,
Narnaund,18/01/2019,54.5,1121,3381,3490,3490,
Narnaund,19/01/2019,41,1121,3435,3485,3485,
Narnaund,20/01/2019,74,1121,3311,3485,3400,
Narnaund,21/01/2019,18,1121,3235,3235,3235,
Narnaund,23/01/2019,13,1121,3470,3490,3490,
Narnaund,24/01/2019,22.5,1121,3475,3475,3475,
Narnaund,25/01/2019,27.5,1121,3400,3500,3500,
Narnaund,26/01/2019,6,1121,3211,3411,3411,
Narnaund,28/01/2019,23.5,1121,3281,3500,3450,
Narnaund,30/01/2019,28,1121,3471,3495,3495,
Narnaund,31/01/2019,11.5,1121,3441,3441,3441,
Narwana,01/01/2019,9.8,1121,3200,3501,3350,
Narwana,02/01/2019,19.45,1121,3200,3501,3350,
Narwana,03/01/2019,22.22,1121,3200,4951,4075,
Narwana,04/01/2019,21.6,1121,3200,4951,4075,
Narwana,23/01/2019,10.6,1121,3200,3490,3345,
Narwana,24/01/2019,12,1121,3200,3490,3345,
Narwana,26/01/2019,6.4,1121,3200,3500,3350,
Narwana,28/01/2019,7.8,1121,3200,3500,3350,
Narwana,29/01/2019,14.4,1121,3200,3481,3340,
Narwana,30/01/2019,6.35,1121,3200,3481,3340,
Narwana,18/01/2019,700,1121,3200,3500,3450,
Narwana,18/01/2019,700,Basumathi,4601,4601,4601,
Narwana,15/01/2019,6.5,1121,3441,3471,3441,
Narwana,16/01/2019,45,1121,3201,3481,3201,
Narwana,16/01/2019,45,Basmati 1509,3111,3141,3111,
Narwana,17/01/2019,45,1121,3201,3481,3201,
Narwana,17/01/2019,45,Basmati 1509,3001,3141,3001,
Narwana,18/01/2019,27.5,1121,3321,3371,3321,
Narwana,19/01/2019,99.7,1121,3251,3481,3251,
Narwana,19/01/2019,99.7,Basmati 1509,3057,3057,3057,
Narwana,21/01/2019,23,1121,3291,3291,3291,
Narwana,21/01/2019,23,Basumathi,3471,3471,3471,
Narwana,22/01/2019,13.5,1121,3435,3491,3435,
Narwana,23/01/2019,3,Basmati 1509,3381,3481,3381,
Narwana,24/01/2019,41,Basmati 1509,3281,3281,3281,
Narwana,26/01/2019,107.4,1121,3381,3481,3381,
Narwana,26/01/2019,107.4,Basumathi,4471,4471,4471,
Narwana,27/01/2019,4,Basmati 1509,3451,3481,3451,
Narwana,28/01/2019,86,1121,3221,3485,3221,
Narwana,28/01/2019,86,Basmati 1509,2915,2915,2915,
Narwana,29/01/2019,63.4,1121,3291,3491,3291,
Pillukhera,01/01/2019,740,1121,3220,3547,3511,
Pillukhera,01/01/2019,740,Basumathi,4851,5061,5000,
Pillukhera,03/01/2019,1135,1121,3351,3522,3450,
Pillukhera,04/01/2019,850,1121,3301,3530,3485,
Pillukhera,05/01/2019,175,1121,3351,3540,3491,
Pillukhera,07/01/2019,365,1121,3221,3506,3400,
Pillukhera,07/01/2019,365,Basumathi,4400,4800,4800,
Pillukhera,08/01/2019,305,1121,3400,3530,3520,
Pillukhera,08/01/2019,305,Basumathi,4800,4800,4800,
Pillukhera,09/01/2019,735,1121,3411,3552,3528,
Pillukhera,11/01/2019,510,1121,3000,3550,3531,
Pillukhera,12/01/2019,510,1121,3321,3515,3500,
Pillukhera,14/01/2019,250,1121,3301,3500,3460,
Pillukhera,17/01/2019,435,1121,3371,3498,3491,
Pillukhera,18/01/2019,160,1121,3451,3515,3500,
Pillukhera,19/01/2019,30,Basumathi,4600,4921,4921,
Pillukhera,21/01/2019,250,1121,3295,3500,3471,
Pillukhera,23/01/2019,375,1121,3151,3361,3361,
Pillukhera,26/01/2019,355,1121,3300,3461,3461,
Pillukhera,31/01/2019,170,1121,3210,3441,3411,
Safidon,03/01/2019,2150,1121,3365,3500,3491,
Safidon,05/01/2019,750,1121,3200,3471,3400,
Safidon,06/01/2019,1000,1121,2700,3445,3350,
Safidon,07/01/2019,300,1121,3200,3481,3400,
Safidon,08/01/2019,1050,1121,3200,3550,3480,
