Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Ankleshwar,01/03/2018,1.06, ,NR,NR,NR,
Ankleshwar,03/03/2018,1.7, ,NR,NR,NR,
Ankleshwar,05/03/2018,1.8, ,NR,NR,NR,
Ankleshwar,06/03/2018,1.45, ,NR,NR,NR,
Ankleshwar,07/03/2018,2, ,NR,NR,NR,
Ankleshwar,08/03/2018,2.1, ,NR,NR,NR,
Ankleshwar,09/03/2018,1.75, ,NR,NR,NR,
Ankleshwar,12/03/2018,2.03, ,NR,NR,NR,
Ankleshwar,13/03/2018,0.96, ,NR,NR,NR,
Ankleshwar,14/03/2018,0.88, ,NR,NR,NR,
Ankleshwar,15/03/2018,1.7, ,NR,NR,NR,
Ankleshwar,16/03/2018,0.9, ,NR,NR,NR,
Ankleshwar,17/03/2018,0.73, ,NR,NR,NR,
Ankleshwar,19/03/2018,0.92, ,NR,NR,NR,
Ankleshwar,20/03/2018,0.66, ,NR,NR,NR,
Ankleshwar,22/03/2018,0.77, ,NR,NR,NR,
Ankleshwar,23/03/2018,0.87, ,NR,NR,NR,
Ankleshwar,30/03/2018,0.96, ,NR,NR,NR,
Ankleshwar,31/03/2018,0.61, ,NR,NR,NR,
Dahod(Veg. Market),04/03/2018,0.1,Other,1000,2500,2000,
Dahod(Veg. Market),15/03/2018,0.03,Other,2500,2500,2500,
Mandvi,05/03/2018,0.16,Other,4005,5950,4977,
Mandvi,06/03/2018,0.48,Other,2050,4650,3350,
Mandvi,08/03/2018,0.13,Other,4395,5005,4700,
Mandvi,09/03/2018,0.24,Other,3385,4780,4082,
Mandvi,10/03/2018,0.25,Other,3410,6500,4955,
Mandvi,11/03/2018,0.27,Other,2535,4995,3765,
Mandvi,13/03/2018,0.19,Other,2250,5500,3875,
Mandvi,15/03/2018,0.18,Other,4050,5500,4755,
Mandvi,16/03/2018,0.36,Other,2200,4880,3540,
Mandvi,17/03/2018,0.35,Other,1665,4805,3235,
Mandvi,18/03/2018,0.06,Other,5250,5995,5622,
Mandvi,19/03/2018,0.13,Other,5665,6095,5880,
Mandvi,20/03/2018,0.07,Other,6000,6250,6125,
Mandvi,21/03/2018,0.15,Other,4600,6000,5700,
Mandvi,22/03/2018,0.1,Other,4000,5750,4875,
Mandvi,23/03/2018,0.24,Other,4500,5500,5000,
Mandvi,27/03/2018,0.24,Other,2250,5225,3737,
Mandvi,28/03/2018,0.26,Other,4000,5170,4585,
Mandvi,29/03/2018,0.2,Other,3110,4250,3680,
Mandvi,30/03/2018,0.33,Other,2510,4890,3700,
Mandvi,31/03/2018,0.4,Other,2810,3205,3007,
Nadiyad(Piplag),05/03/2018,200,Pigeon Pea (Arhar Fali),2000,2750,2350,
Nadiyad(Piplag),06/03/2018,135,Pigeon Pea (Arhar Fali),3500,4000,3750,
Nadiyad(Piplag),07/03/2018,115,Pigeon Pea (Arhar Fali),3200,3800,3400,
Nadiyad(Piplag),08/03/2018,150,Pigeon Pea (Arhar Fali),3400,3600,3500,
Nadiyad(Piplag),09/03/2018,90,Pigeon Pea (Arhar Fali),3400,3600,3500,
Nadiyad(Piplag),10/03/2018,91,Pigeon Pea (Arhar Fali),3200,3600,3400,
Nadiyad(Piplag),11/03/2018,85,Pigeon Pea (Arhar Fali),3400,3600,3500,
Nadiyad(Piplag),13/03/2018,70,Pigeon Pea (Arhar Fali),2800,3000,2900,
Nadiyad(Piplag),14/03/2018,40.9,Pigeon Pea (Arhar Fali),2500,3000,2750,
Nadiyad(Piplag),15/03/2018,100,Pigeon Pea (Arhar Fali),3000,4000,3500,
Nadiyad(Piplag),16/03/2018,57,Pigeon Pea (Arhar Fali),3500,3600,3550,
Nadiyad(Piplag),17/03/2018,65.2,Pigeon Pea (Arhar Fali),3500,4000,3750,
Nadiyad(Piplag),19/03/2018,85,Pigeon Pea (Arhar Fali),3500,3750,3625,
Nadiyad(Piplag),20/03/2018,63.7,Pigeon Pea (Arhar Fali),3400,3800,3600,
Nadiyad(Piplag),22/03/2018,55,Pigeon Pea (Arhar Fali),3800,4000,3900,
Nadiyad(Piplag),23/03/2018,65,Pigeon Pea (Arhar Fali),3500,4000,3750,
Padra,01/03/2018,1.8,Other,2500,2750,2650,
Padra,03/03/2018,1.7, ,NR,NR,NR,
Padra,05/03/2018,1.4, ,NR,NR,NR,
Padra,06/03/2018,1.5, ,NR,NR,NR,
Padra,07/03/2018,1.6, ,NR,NR,NR,
Padra,08/03/2018,1.7, ,NR,NR,NR,
Padra,09/03/2018,1.6, ,NR,NR,NR,
Padra,10/03/2018,1.5, ,NR,NR,NR,
Padra,12/03/2018,1.8, ,NR,NR,NR,
Padra,13/03/2018,1.7, ,NR,NR,NR,
Padra,14/03/2018,2.2, ,NR,NR,NR,
Padra,15/03/2018,2.1, ,NR,NR,NR,
Padra,16/03/2018,2, ,NR,NR,NR,
Padra,17/03/2018,1.7,Other,2000,3000,2500,
Padra,19/03/2018,2, ,NR,NR,NR,
Padra,20/03/2018,2.2, ,NR,NR,NR,
Padra,21/03/2018,1.5, ,NR,NR,NR,
Padra,22/03/2018,1.2, ,NR,NR,NR,
Padra,23/03/2018,1.3, ,NR,NR,NR,
Padra,24/03/2018,1.2, ,NR,NR,NR,
Padra,26/03/2018,1.3, ,NR,NR,NR,
Padra,27/03/2018,1.2, ,NR,NR,NR,
Padra,28/03/2018,1.2, ,NR,NR,NR,
Padra,29/03/2018,1.5, ,NR,NR,NR,
Padra,30/03/2018,1.6, ,NR,NR,NR,
S.Mandvi,05/03/2018,0.16,Other,4005,5950,4977,
S.Mandvi,06/03/2018,0.48,Other,2050,4650,3350,
S.Mandvi,08/03/2018,0.13,Other,4395,5005,4700,
S.Mandvi,09/03/2018,0.24,Other,3385,4780,4082,
S.Mandvi,10/03/2018,0.25,Other,3140,6500,4955,
S.Mandvi,11/03/2018,0.27,Other,2535,4995,3765,
S.Mandvi,13/03/2018,0.19,Other,2250,5500,3875,
S.Mandvi,15/03/2018,0.18,Other,4050,5500,4775,
S.Mandvi,16/03/2018,0.36,Other,2200,4880,3540,
S.Mandvi,17/03/2018,0.35,Other,1665,4805,3235,
S.Mandvi,18/03/2018,0.06,Other,5250,5995,5622,
S.Mandvi,19/03/2018,0.13,Other,5665,6095,5880,
S.Mandvi,20/03/2018,0.07,Other,6000,6250,6125,
S.Mandvi,21/03/2018,0.15,Other,4600,6000,5300,
S.Mandvi,22/03/2018,0.1,Other,4000,5750,4875,
S.Mandvi,23/03/2018,0.24,Other,4500,5500,5000,
S.Mandvi,27/03/2018,0.24,Other,2250,5225,3737,
S.Mandvi,28/03/2018,0.26,Other,4000,5170,4585,
S.Mandvi,29/03/2018,0.2,Other,4000,5170,4585,
S.Mandvi,30/03/2018,0.33,Other,2510,4890,3700,
S.Mandvi,31/03/2018,0.4,Other,2810,3205,3007,
Surat,01/03/2018,6.5, ,NR,NR,NR,
Surat,02/03/2018,6, ,NR,NR,NR,
Surat,03/03/2018,4, ,NR,NR,NR,
Surat,04/03/2018,6.5, ,NR,NR,NR,
Surat,05/03/2018,6, ,NR,NR,NR,
Surat,06/03/2018,6.5, ,NR,NR,NR,
Surat,07/03/2018,5, ,NR,NR,NR,
Surat,08/03/2018,6, ,NR,NR,NR,
Surat,09/03/2018,6, ,NR,NR,NR,
Surat,10/03/2018,7, ,NR,NR,NR,
Surat,11/03/2018,7, ,NR,NR,NR,
